month,date,vol,vol_unadj
60,2005-01,34189993448.3719,29603958888
61,2005-02,34188999671.2322,31239051912
62,2005-03,34185710009.4174,37392213744
63,2005-04,33504788750.0891,34702728756
64,2005-05,33834647878.4358,36109250724
65,2005-06,36702045431.8374,38981303220
66,2005-07,38198821530.5444,41618997400
67,2005-08,34374673906.7073,38321005264
68,2005-09,32956607753.9397,31766543364
69,2005-10,31295014335.6005,29226347436
70,2005-11,32997117865.4572,28770087232
71,2005-12,33184342540.0519,31479450320
72,2006-01,34567469306.6957,29874527172
73,2006-02,33379126834.2688,30479797680
74,2006-03,33703745864.4923,37158735144
75,2006-04,34351340854.3179,34612173096
76,2006-05,34217981341.0852,37144457106
77,2006-06,35555457729.5081,38145229488
78,2006-07,36877377825.4857,40190107244
79,2006-08,36132338714.6212,39836088768
80,2006-09,36026249014.1808,34794555432
81,2006-10,35145739002.5953,32903951708
82,2006-11,35120623099.0432,31179742884
83,2006-12,35062662684.1435,32611077480
84,2007-01,34613091350.7467,30624119856
85,2007-02,36023032372.3605,33156409860
86,2007-03,35402115401.4079,39152875848
87,2007-04,35399039369.3602,35844762840
88,2007-05,36759916974.1771,39536919684
89,2007-06,34910566512.1476,37393433544
90,2007-07,35529429818.8769,38452274772
91,2007-08,35896627916.8997,39586977612
92,2007-09,36508231036.4174,34299513048
93,2007-10,37354710241.977,35770973160
94,2007-11,35167721690.1964,31798005408
95,2007-12,34953436864.9417,32732281512
96,2008-01,34020082523.9044,29962736736
97,2008-02,32829301061.4797,32414879160
98,2008-03,33668172537.5435,36637464600
99,2008-04,33656319650.4768,34531906404
100,2008-05,32189479040.3606,35378675316
101,2008-06,31304688144.9656,32647611636
102,2008-07,29189461074.219,32342082096
103,2008-08,28649508311.1039,31446491376
104,2008-09,28233783129.4876,26921023908
105,2008-10,24046383568.7702,22682351448
106,2008-11,24238562720.4187,20186855556
107,2008-12,23519913849.8567,22097054376
108,2009-01,24457455695.6436,20872494628
109,2009-02,23694496801.5776,20916241752
110,2009-03,21740980836.9487,24684294588
111,2009-04,21966600898.2298,23046626532
112,2009-05,22561396846.5266,24843617208
113,2009-06,23455620687.4635,25228715904
114,2009-07,23898778147.5442,26964670092
115,2009-08,28639144125.4552,31238693448
116,2009-09,23237431326.4023,21738962468
117,2009-10,23715763008.5817,22666511736
118,2009-11,25282528298.0118,21571517592
119,2009-12,25435545396.8332,24171481452
120,2010-01,25615073952.9669,21122768040
121,2010-02,25116521917.8418,22312854612
122,2010-03,27482962505.147,31085367108
123,2010-04,27606233351.339,28956318600
124,2010-05,27396832704.0094,29692531860
125,2010-06,28389074974.2894,29582718372
126,2010-07,28477062769.4533,31642076532
127,2010-08,29160609360.1217,31633935984
128,2010-09,29826615528.9652,28639289364
129,2010-10,30512069858.4251,28632833100
