,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(3),Corr with auto_vol(3),student_vol(-3),Corr with student_vol(-3),credit_tightness(4),Corr with credit_tightness(4),mortgage 30-89(2),Corr with mortgage 30-89(2),mortgage 90(-3),Corr with mortgage 90(-3)
0,2010-09,TX,BEAUMONT,2010-09,4.075,"(-94.12660600000001, 30.045069)",11063.13,All,0.22657136363636363,-0.1209586100953566,0.251059090909091,-0.11770215135159244,0.25699454545454536,-0.1289213902793438,0.2738163636363636,-0.16710901008151324,0.2913659090909092,-0.21673830875540614,0.4777727272727273,-0.3088540390833143,0.8043745454545456,-0.3531723012227592,0.1166666666666667,-0.10684195058633345,0.19333333333333336,-0.14952860848849522,0.2566666666666666,-0.13119966039600905,1.4104761904761904,0.5866613321849153,2.6476190476190475,0.8687578565783362,3.4690476190476183,0.7527269503927928,3.773333333333333,0.7243621957136934,31044830349.9256,-0.051096201371001175,11833891080.8667,-0.7993255404867462,94.0022251537174,-0.25745429509142004,4.6,-0.2341043067351296,2.3,-0.3944015863475073
1,2012-08,TX,BEAUMONT,2012-08,2.325,"(-94.15859, 30.132893)",10805.845,All,0.15374090909090915,-0.1209586100953566,0.18745454545454548,-0.11770215135159244,0.23783863636363634,-0.1289213902793438,0.3331136363636364,-0.16710901008151324,0.43259999999999993,-0.21673830875540614,0.7177749999999997,-0.3088540390833143,1.0426272727272727,-0.3531723012227592,0.09217391304347829,-0.10684195058633345,0.14043478260869566,-0.14952860848849522,0.18347826086956526,-0.13119966039600905,0.7139130434782609,0.5866613321849153,1.6782608695652175,0.8687578565783362,2.3978260869565218,0.7527269503927928,2.7708695652173914,0.7243621957136934,38410438812.4053,-0.051096201371001175,12770391029.1034,-0.7993255404867462,89.2801736441717,-0.25745429509142004,5.7,-0.2341043067351296,2.9,-0.3944015863475073
2,2013-01,TX,BEAUMONT,2013-01,2.5,"(-94.191795, 30.122004999999998)",32476.56,All,0.16043181818181818,-0.1209586100953566,0.17947272727272726,-0.11770215135159244,0.20497272727272725,-0.1289213902793438,0.2497954545454545,-0.16710901008151324,0.30261363636363625,-0.21673830875540614,0.48810454545454546,-0.3088540390833143,0.8142727272727271,-0.3531723012227592,0.05190476190476192,-0.10684195058633345,0.10761904761904766,-0.14952860848849522,0.14523809523809525,-0.13119966039600905,0.8052380952380951,0.5866613321849153,1.9147619047619049,0.8687578565783362,2.681428571428571,0.7527269503927928,3.0804761904761913,0.7243621957136934,40395555554.9932,-0.051096201371001175,12022315813.7363,-0.7993255404867462,88.29263433660921,-0.25745429509142004,4.7,-0.2341043067351296,2.5,-0.3944015863475073
3,2013-09,TX,BEAUMONT,2013-09,4.55,"(-94.14, 30.06)",44348.93,All,0.11272380952380952,-0.1209586100953566,0.14323238095238094,-0.11770215135159244,0.18057476190476196,-0.1289213902793438,0.22133904761904755,-0.16710901008151324,0.2531785714285715,-0.21673830875540614,0.38033809523809525,-0.3088540390833143,0.6526857142857143,-0.3531723012227592,0.017500000000000005,-0.10684195058633345,0.04150000000000001,-0.14952860848849522,0.11850000000000002,-0.13119966039600905,1.5959999999999999,0.5866613321849153,2.8095,0.8687578565783362,3.526,0.7527269503927928,3.7870000000000004,0.7243621957136934,41561863313.5151,-0.051096201371001175,9260696074.4491,-0.7993255404867462,84.4459748156831,-0.25745429509142004,4.1,-0.2341043067351296,2.1,-0.3944015863475073
4,2013-10,TX,BEAUMONT,2013-10,4.25,"(-94.11979000000001, 30.070357)",311199.15,All,0.10426086956521738,-0.1209586100953566,0.13668260869565219,-0.11770215135159244,0.17241521739130433,-0.1289213902793438,0.21265,-0.16710901008151324,0.2417652173913043,-0.21673830875540614,0.36121521739130424,-0.3088540390833143,0.6177847826086957,-0.3531723012227592,0.1059090909090909,-0.10684195058633345,0.07590909090909094,-0.14952860848849522,0.12136363636363635,-0.13119966039600905,1.366818181818182,0.5866613321849153,2.615909090909091,0.8687578565783362,3.3795454545454544,0.7527269503927928,3.6759090909090903,0.7243621957136934,42151687038.4775,-0.051096201371001175,8901986132.75728,-0.7993255404867462,83.69462947740479,-0.25745429509142004,4.6,-0.2341043067351296,2.3,-0.3944015863475073
5,2014-05,TX,BEAUMONT,2014-05,3.81,"(-94.17376800000001, 30.066278999999998)",30440.87,All,0.08842000000000001,-0.1209586100953566,0.1198375,-0.11770215135159244,0.15035749999999998,-0.1289213902793438,0.1914675,-0.16710901008151324,0.22609000000000004,-0.21673830875540614,0.3231200000000001,-0.3088540390833143,0.537955,-0.3531723012227592,0.026666666666666665,-0.10684195058633345,0.05190476190476192,-0.14952860848849522,0.0966666666666667,-0.13119966039600905,1.5928571428571427,0.5866613321849153,2.559047619047619,0.8687578565783362,3.1152380952380954,0.7527269503927928,3.3899999999999997,0.7243621957136934,45277214883.1472,-0.051096201371001175,10011024566.6146,-0.7993255404867462,82.2508390398281,-0.25745429509142004,4.2,-0.2341043067351296,2.0,-0.3944015863475073
6,2015-08,TX,BEAUMONT,2015-08,3.52,"(-94.1018, 30.086)",5285.07,All,0.13010000000000005,-0.1209586100953566,0.151965,-0.11770215135159244,0.1967275,-0.1289213902793438,0.2610100000000001,-0.16710901008151324,0.3207975,-0.21673830875540614,0.5193599999999999,-0.3088540390833143,0.8364375,-0.3531723012227592,0.03523809523809525,-0.10684195058633345,0.22000000000000006,-0.14952860848849522,0.3757142857142857,-0.13119966039600905,1.5414285714285714,0.5866613321849153,2.167142857142857,0.8687578565783362,2.5466666666666664,0.7527269503927928,2.8557142857142854,0.7243621957136934,48491901272.6637,-0.051096201371001175,11119760586.3258,-0.7993255404867462,82.3313446344394,-0.25745429509142004,3.7,-0.2341043067351296,1.8,-0.3944015863475073
7,2015-11,TX,BEAUMONT,2015-11,3.36,"(-94.152233, 30.119964000000003)",38080.98,All,0.13066666666666668,-0.1209586100953566,0.1559214285714286,-0.11770215135159244,0.20844761904761913,-0.1289213902793438,0.286702380952381,-0.16710901008151324,0.3709714285714286,-0.21673830875540614,0.6063738095238096,-0.3088540390833143,0.9343738095238093,-0.3531723012227592,0.07105263157894738,-0.10684195058633345,0.32789473684210524,-0.14952860848849522,0.47684210526315784,-0.13119966039600905,1.6710526315789473,0.5866613321849153,2.2631578947368416,0.8687578565783362,2.6863157894736847,0.7527269503927928,3.03,0.7243621957136934,48927223434.2447,-0.051096201371001175,10986955735.8103,-0.7993255404867462,83.5754036116387,-0.25745429509142004,4.3,-0.2341043067351296,1.9,-0.3944015863475073
8,2016-04,TX,BEAUMONT,2016-04,3.55,"(-94.1227672, 30.0844538)",10341.98,All,0.38031428571428566,-0.1209586100953566,0.39864523809523805,-0.11770215135159244,0.4373976190476192,-0.1289213902793438,0.5229452380952381,-0.16710901008151324,0.6327499999999999,-0.21673830875540614,0.9025404761904764,-0.3088540390833143,1.2222214285714286,-0.3531723012227592,0.18761904761904763,-0.10684195058633345,0.37238095238095237,-0.14952860848849522,0.5557142857142858,-0.13119966039600905,1.2580952380952382,0.5866613321849153,1.8052380952380953,0.8687578565783362,2.2104761904761907,0.7527269503927928,2.6233333333333335,0.7243621957136934,49692544708.3448,-0.051096201371001175,11404853913.5663,-0.7993255404867462,88.1942388876454,-0.25745429509142004,3.4,-0.2341043067351296,1.9,-0.3944015863475073
9,2017-11,TX,BEAUMONT,2017-11,3.33,"(-94.18240300000001, 30.116011)",51228.56,All,1.183300476190476,-0.1209586100953566,1.2036563636363637,-0.11770215135159244,1.2878790909090911,-0.1289213902793438,1.3757831818181818,-0.16710901008151324,1.4342040909090912,-0.21673830875540614,1.6264599999999996,-0.3088540390833143,1.9015695454545458,-0.3531723012227592,1.09,-0.10684195058633345,1.3895238095238096,-0.14952860848849522,1.5600000000000003,-0.13119966039600905,2.05,0.5866613321849153,2.353333333333333,0.8687578565783362,2.6023809523809525,0.7527269503927928,2.801904761904762,0.7243621957136934,49574400061.0285,-0.051096201371001175,12103218541.1776,-0.7993255404867462,88.50967086025801,-0.25745429509142004,1.9,-0.2341043067351296,1.5,-0.3944015863475073
