,PROPERTY STATE,PROPERTY CITY,Month,INTEREST RATE,Category,ON,spread between libor ON,Corr with libor ON,1W,spread between libor 1W,Corr with libor 1W,1M,spread between libor 1M,Corr with libor 1M,2M,spread between libor 2M,Corr with libor 2M,3M,spread between libor 3M,Corr with libor 3M,6M,spread between libor 6M,Corr with libor 6M,12M,spread between libor 12M,Corr with libor 12M,1 Mo,spread between 1 Mo treasury,Corr with 1 Mo treasury,6 Mo,spread between 6 Mo treasury,Corr with 6 Mo treasury,1 Yr,spread between 1 Yr treasury,Corr with 1 Yr treasury,5 Yr,spread between 5 Yr treasury,Corr with 5 Yr treasury,10 Yr,spread between 10 Yr treasury,Corr with 10 Yr treasury,20 Yr,spread between 20 Yr treasury,Corr with 20 Yr treasury,30 Yr,spread between 30 Yr treasury,Corr with 30 Yr treasury,auto_vol,Corr with auto_vol,student_vol(4),Corr with student_vol(4),credit_tightness(-3),Corr with credit_tightness(-3),mortgage 30-89,Corr with mortgage 30-89,mortgage 90(-2),Corr with mortgage 90(-2)
0,IN,BLOOMINGTON,2009-10,4.45,All,0.18474166666666667,4.265258333333334,-0.08092768354521576,0.22661833333333328,4.223381666666667,-0.07710115419320024,0.24403166666666665,4.205968333333334,-0.09100767310396156,0.2545108333333333,4.1954891666666665,-0.13078812097748335,0.2821075,4.1678925,-0.17957596548215518,0.5802633333333334,3.869736666666667,-0.20815970416528704,1.2295858333333334,3.220414166666667,-0.09222188613664976,0.04,4.41,-0.07338083163222853,0.16833333333333333,4.281666666666667,-0.0828667168951968,0.3858333333333334,4.064166666666667,-0.025613306367891005,2.394166666666667,2.055833333333333,0.8196100919531942,3.459166666666667,0.9908333333333332,0.8962234826464935,4.238333333333332,0.21166666666666778,0.8439192411141284,4.263333333333333,0.18666666666666742,0.8252302798924451,23715763008.5817,-0.4802698739476424,14228362706.5907,0.4163383019743949,105.55167238105,0.5239690710005449,1.8,-0.4442471785480204,2.5,0.7131425825737422
1,IN,BLOOMINGTON,2010-05,4.445,All,0.2957715789473684,4.149228421052632,-0.08092768354521576,0.3152057894736842,4.129794210526316,-0.07710115419320024,0.3354642105263158,4.109535789473685,-0.09100767310396156,0.39242105263157895,4.0525789473684215,-0.13078812097748335,0.45851421052631586,3.9864857894736843,-0.17957596548215518,0.6592468421052632,3.785753157894737,-0.20815970416528704,1.129987894736842,3.3150121052631585,-0.09222188613664976,0.147,4.298,-0.07338083163222853,0.22350000000000003,4.221500000000001,-0.0828667168951968,0.37099999999999994,4.074000000000001,-0.025613306367891005,2.1799999999999997,2.2650000000000006,0.8196100919531942,3.4199999999999995,1.0250000000000008,0.8962234826464935,4.1145,0.3305000000000007,0.8439192411141284,4.286,0.1590000000000007,0.8252302798924451,27396832704.0094,-0.4802698739476424,12342273869.2704,0.4163383019743949,97.8799778094334,0.5239690710005449,2.0,-0.4442471785480204,2.4,0.7131425825737422
2,IN,BLOOMINGTON,2012-05,2.99,All,0.15161363636363637,2.838386363636364,-0.08092768354521576,0.19053181818181822,2.799468181818182,-0.07710115419320024,0.23893181818181805,2.7510681818181824,-0.09100767310396156,0.3457045454545453,2.644295454545455,-0.13078812097748335,0.4665318181818183,2.523468181818182,-0.17957596548215518,0.732990909090909,2.257009090909091,-0.20815970416528704,1.0615068181818177,1.9284931818181825,-0.09222188613664976,0.06590909090909093,2.9240909090909093,-0.07338083163222853,0.14545454545454548,2.8445454545454547,-0.0828667168951968,0.19181818181818186,2.7981818181818183,-0.025613306367891005,0.7618181818181818,2.2281818181818185,0.8196100919531942,1.8031818181818189,1.1868181818181813,0.8962234826464935,2.525909090909091,0.46409090909090933,0.8439192411141284,2.930909090909091,0.05909090909090908,0.8252302798924451,36777908030.9335,-0.4802698739476424,11631947675.6117,0.4163383019743949,90.6452366150782,0.5239690710005449,2.9,-0.4442471785480204,1.5,0.7131425825737422
3,IN,BLOOMINGTON,2012-12,2.3,All,0.1631578947368421,2.136842105263158,-0.08092768354521576,0.1875157894736842,2.1124842105263157,-0.07710115419320024,0.21092631578947374,2.089073684210526,-0.09100767310396156,0.2552894736842105,2.0447105263157894,-0.13078812097748335,0.30947368421052623,1.9905263157894737,-0.17957596548215518,0.5145657894736843,1.7854342105263155,-0.20815970416528704,0.8483157894736841,1.4516842105263157,-0.09222188613664976,0.039500000000000014,2.2605,-0.07338083163222853,0.11950000000000005,2.1805,-0.0828667168951968,0.1585,2.1414999999999997,-0.025613306367891005,0.6960000000000001,1.6039999999999996,0.8196100919531942,1.7189999999999999,0.581,0.8962234826464935,2.4675000000000002,-0.16750000000000043,0.8439192411141284,2.8835,-0.5835000000000004,0.8252302798924451,38808856509.5085,-0.4802698739476424,9123117418.53368,0.4163383019743949,89.513287195688,0.5239690710005449,2.7,-0.4442471785480204,1.2,0.7131425825737422
4,IN,BLOOMINGTON,2013-08,3.78,All,0.11782999999999999,3.6621699999999997,-0.08092768354521576,0.1493142857142857,3.6306857142857143,-0.07710115419320024,0.1840704761904762,3.5959295238095237,-0.09100767310396156,0.22633523809523812,3.553664761904762,-0.13078812097748335,0.2633952380952381,3.5166047619047616,-0.17957596548215518,0.3949285714285714,3.3850714285714285,-0.20815970416528704,0.6679499999999999,3.11205,-0.09222188613664976,0.03681818181818183,3.743181818181818,-0.07338083163222853,0.07181818181818184,3.708181818181818,-0.0828667168951968,0.12681818181818183,3.653181818181818,-0.025613306367891005,1.5204545454545455,2.2595454545454543,0.8196100919531942,2.7372727272727273,1.0427272727272725,0.8962234826464935,3.488181818181818,0.291818181818182,0.8439192411141284,3.757727272727273,0.022272727272727,0.8252302798924451,41334062733.8549,-0.4802698739476424,9402239044.86975,0.4163383019743949,88.29263433660921,0.5239690710005449,2.6,-0.4442471785480204,1.6,0.7131425825737422
5,IN,BLOOMINGTON,2013-12,4.35,All,0.10022500000000001,4.249775,-0.08092768354521576,0.1273025,4.2226975,-0.07710115419320024,0.16723,4.18277,-0.09100767310396156,0.2127325,4.1372675,-0.13078812097748335,0.24389749999999996,4.1061024999999995,-0.17957596548215518,0.34639499999999995,4.003604999999999,-0.20815970416528704,0.579045,3.770955,-0.09222188613664976,0.019047619047619053,4.330952380952381,-0.07338083163222853,0.09523809523809526,4.254761904761905,-0.0828667168951968,0.13285714285714287,4.217142857142857,-0.025613306367891005,1.5761904761904764,2.7738095238095233,0.8196100919531942,2.901904761904762,1.4480952380952377,0.8962234826464935,3.6266666666666674,0.7233333333333323,0.8439192411141284,3.889047619047619,0.46095238095238056,0.8252302798924451,41561863313.5151,-0.4802698739476424,11032404366.8063,0.4163383019743949,86.47441597957871,0.5239690710005449,2.4,-0.4442471785480204,1.5,0.7131425825737422
6,IN,BLOOMINGTON,2014-02,4.08,All,0.08627,3.9937300000000002,-0.08092768354521576,0.11939250000000004,3.9606075,-0.07710115419320024,0.155105,3.9248950000000002,-0.09100767310396156,0.19663749999999997,3.8833625,-0.13078812097748335,0.23520249999999998,3.8447975000000003,-0.17957596548215518,0.3308,3.7492,-0.20815970416528704,0.554605,3.525395,-0.09222188613664976,0.046842105263157914,4.033157894736842,-0.07338083163222853,0.08105263157894738,3.9989473684210526,-0.0828667168951968,0.11684210526315793,3.963157894736842,-0.025613306367891005,1.5157894736842106,2.5642105263157893,0.8196100919531942,2.7094736842105265,1.3705263157894736,0.8962234826464935,3.3847368421052626,0.6952631578947375,0.8439192411141284,3.6626315789473685,0.4173684210526316,0.8252302798924451,43204378466.7468,-0.4802698739476424,10121843859.6075,0.4163383019743949,88.4263020205016,0.5239690710005449,2.3,-0.4442471785480204,1.7,0.7131425825737422
7,IN,BLOOMINGTON,2015-05,2.95,All,0.12315789473684212,2.8268421052631583,-0.08092768354521576,0.14795,2.8020500000000004,-0.07710115419320024,0.1842289473684211,2.765771052631579,-0.09100767310396156,0.2296,2.7204,-0.13078812097748335,0.2795368421052632,2.670463157894737,-0.17957596548215518,0.41659473684210524,2.5334052631578947,-0.20815970416528704,0.7346236842105265,2.2153763157894737,-0.09222188613664976,0.013000000000000001,2.9370000000000003,-0.07338083163222853,0.07950000000000002,2.8705000000000003,-0.0828667168951968,0.24100000000000002,2.709,-0.025613306367891005,1.5385000000000002,1.4115,0.8196100919531942,2.1975000000000002,0.7525,0.8962234826464935,2.692,0.258,0.8439192411141284,2.9550000000000005,-0.0050000000000003375,0.8252302798924451,47692027772.9219,-0.4802698739476424,11492007418.0579,0.4163383019743949,82.122236078369,0.5239690710005449,2.0,-0.4442471785480204,1.3,0.7131425825737422
8,IN,BLOOMINGTON,2016-08,3.24,All,0.41817045454545454,2.8218295454545457,-0.08092768354521576,0.4429568181818182,2.7970431818181822,-0.07710115419320024,0.5122418181818182,2.727758181818182,-0.09100767310396156,0.6351372727272727,2.6048627272727276,-0.13078812097748335,0.810223181818182,2.4297768181818182,-0.17957596548215518,1.1977463636363632,2.042253636363637,-0.20815970416528704,1.5097959090909088,1.7302040909090914,-0.09222188613664976,0.2608695652173914,2.9791304347826086,-0.07338083163222853,0.4460869565217393,2.793913043478261,-0.0828667168951968,0.5682608695652173,2.671739130434783,-0.025613306367891005,1.1330434782608694,2.106956521739131,0.8196100919531942,1.5565217391304347,1.6834782608695655,0.8962234826464935,1.8895652173913038,1.3504347826086964,0.8439192411141284,2.261739130434783,0.9782608695652173,0.8252302798924451,50596067254.1766,-0.4802698739476424,12605986919.9069,0.4163383019743949,85.2359522201137,0.5239690710005449,2.0,-0.4442471785480204,1.1,0.7131425825737422
9,IN,BLOOMINGTON,2017-06,3.45,All,1.0640909090909094,2.3859090909090908,-0.08092768354521576,1.1183336363636365,2.331666363636364,-0.07710115419320024,1.1714068181818182,2.2785931818181817,-0.09100767310396156,1.2101513636363637,2.2398486363636367,-0.13078812097748335,1.2624095454545452,2.1875904545454548,-0.17957596548215518,1.4322822727272726,2.0177177272727276,-0.20815970416528704,1.7322577272727273,1.7177422727272729,-0.09222188613664976,0.8413636363636363,2.608636363636364,-0.07338083163222853,1.1095454545454546,2.340454545454546,-0.0828667168951968,1.200909090909091,2.249090909090909,-0.025613306367891005,1.7740909090909094,1.6759090909090908,0.8196100919531942,2.186818181818182,1.2631818181818182,0.8962234826464935,2.5399999999999996,0.9100000000000006,0.8439192411141284,2.796363636363637,0.6536363636363633,0.8252302798924451,49068548953.9206,-0.4802698739476424,11537595366.1601,0.4163383019743949,88.7707153640316,0.5239690710005449,2.0,-0.4442471785480204,0.9,0.7131425825737422
