,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('PROPERTY ZIP', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(-1),Corr with auto_vol(-1),student_vol(-3),Corr with student_vol(-3),credit_tightness(2),Corr with credit_tightness(2),mortgage 30-89(1),Corr with mortgage 30-89(1),mortgage 90(4),Corr with mortgage 90(4),long,lat
0,2009-11,MN,DULUTH,2009-11,4.39,"(-92.1314, 46.8011)",55811,23259.55,All,0.1780742857142857,0.044473803280367076,0.21678666666666663,0.03731870808859772,0.2378266666666667,0.025193304916973087,0.24931714285714288,0.009918331690681943,0.2681409523809524,-0.009743871872194965,0.516785238095238,-0.028591225481366462,1.0843766666666663,-0.017397932650093997,0.052631578947368446,0.04218290655877961,0.15473684210526314,-0.019887978142185864,0.3131578947368421,-0.05142372185322442,2.230526315789474,0.07733091378035971,3.402631578947368,0.28375277554855555,4.235263157894737,0.3717495108403403,4.314736842105263,0.33664662965529024,23715763008.5817,-0.481997572750789,12931336765.2583,0.7110135294690891,97.9962893430168,0.5708477000808955,2.7,0.5878702586969027,3.1,0.5502603823163684,-92.1314,46.8011
1,2010-08,MN,DULUTH,2010-08,4.12,"(-92.116268, 46.807302)",55811,28575.08,All,0.23101619047619049,0.044473803280367076,0.2659952380952381,0.03731870808859772,0.27546238095238096,0.025193304916973087,0.3123080952380952,0.009918331690681943,0.3625466666666667,-0.009743871872194965,0.5790957142857143,-0.028591225481366462,0.9435780952380955,-0.017397932650093997,0.15409090909090908,0.04218290655877961,0.19136363636363637,-0.019887978142185864,0.25909090909090904,-0.05142372185322442,1.4654545454545451,0.07733091378035971,2.6986363636363637,0.28375277554855555,3.516818181818181,0.3717495108403403,3.8031818181818178,0.33664662965529024,28477062769.4533,-0.481997572750789,11978266411.3233,0.7110135294690891,92.4549564204629,0.5708477000808955,3.2,0.5878702586969027,2.3,0.5502603823163684,-92.116268,46.807302
2,2011-12,MN,DULUTH,2011-12,3.91,"(-92.071022, 46.82144)",55802,44716.14,All,0.1499335,0.044473803280367076,0.2029985,0.03731870808859772,0.2836085,0.025193304916973087,0.40829250000000006,0.009918331690681943,0.5557375,-0.009743871872194965,0.7798775000000001,-0.028591225481366462,1.1003555000000003,-0.017397932650093997,0.0033333333333333335,0.04218290655877961,0.048571428571428585,-0.019887978142185864,0.11523809523809528,-0.05142372185322442,0.8914285714285713,0.07733091378035971,1.9780952380952384,0.28375277554855555,2.6676190476190476,0.3717495108403403,2.9823809523809524,0.33664662965529024,34825519831.2788,-0.481997572750789,11655650147.2578,0.7110135294690891,90.6452366150782,0.5708477000808955,2.8,0.5878702586969027,1.9,0.5502603823163684,-92.071022,46.82144
3,2012-05,MN,DULUTH,2012-05,2.54,"(-92.116618, 46.80672)",55558,22801.35,All,0.15161363636363637,0.044473803280367076,0.19053181818181822,0.03731870808859772,0.23893181818181805,0.025193304916973087,0.3457045454545453,0.009918331690681943,0.4665318181818183,-0.009743871872194965,0.732990909090909,-0.028591225481366462,1.0615068181818177,-0.017397932650093997,0.06590909090909093,0.04218290655877961,0.14545454545454548,-0.019887978142185864,0.19181818181818186,-0.05142372185322442,0.7618181818181818,0.07733091378035971,1.8031818181818189,0.28375277554855555,2.525909090909091,0.3717495108403403,2.930909090909091,0.33664662965529024,36623269866.4569,-0.481997572750789,10728874885.7875,0.7110135294690891,89.02745876405929,0.5708477000808955,2.5,0.5878702586969027,1.9,0.5502603823163684,-92.116618,46.80672
4,2012-08,MN,DULUTH,2012-08,4.75,"(-92.0824, 46.846000000000004)",55803,4563.65,All,0.15374090909090915,0.044473803280367076,0.18745454545454548,0.03731870808859772,0.23783863636363634,0.025193304916973087,0.3331136363636364,0.009918331690681943,0.43259999999999993,-0.009743871872194965,0.7177749999999997,-0.028591225481366462,1.0426272727272727,-0.017397932650093997,0.09217391304347829,0.04218290655877961,0.14043478260869566,-0.019887978142185864,0.18347826086956526,-0.05142372185322442,0.7139130434782609,0.07733091378035971,1.6782608695652175,0.28375277554855555,2.3978260869565218,0.3717495108403403,2.7708695652173914,0.33664662965529024,36601383816.48,-0.481997572750789,12770391029.1034,0.7110135294690891,90.37816904639429,0.5708477000808955,3.3,0.5878702586969027,2.2,0.5502603823163684,-92.0824,46.846000000000004
5,2013-02,MN,DULUTH,2013-02,3.81,"(-92.1314, 46.8011)",55811,24895.95,All,0.15464999999999998,0.044473803280367076,0.17315,0.03731870808859772,0.20129999999999998,0.025193304916973087,0.2455,0.009918331690681943,0.29049499999999995,-0.009743871872194965,0.463425,-0.028591225481366462,0.761875,-0.017397932650093997,0.0768421052631579,0.04218290655877961,0.12421052631578947,-0.019887978142185864,0.15736842105263157,-0.05142372185322442,0.8463157894736841,0.07733091378035971,1.9842105263157896,0.28375277554855555,2.782631578947368,0.3717495108403403,3.165263157894737,0.33664662965529024,39268596272.9965,-0.481997572750789,10740081615.3953,0.7110135294690891,86.5850023909696,0.5708477000808955,2.8,0.5878702586969027,1.6,0.5502603823163684,-92.1314,46.8011
6,2015-12,MN,DULUTH,2015-12,3.19,"(-92.168446, 46.802615)",55811,12953.67,All,0.2286238095238095,0.044473803280367076,0.289352380952381,0.03731870808859772,0.3523071428571429,0.025193304916973087,0.44092857142857156,0.009918331690681943,0.5332357142857143,-0.009743871872194965,0.7638285714285715,-0.028591225481366462,1.0841380952380955,-0.017397932650093997,0.17181818181818184,0.04218290655877961,0.4990909090909091,-0.019887978142185864,0.6536363636363638,-0.05142372185322442,1.6986363636363635,0.07733091378035971,2.2427272727272736,0.28375277554855555,2.6072727272727274,0.3717495108403403,2.97,0.33664662965529024,48491901272.6637,-0.481997572750789,11492007418.0579,0.7110135294690891,85.06205357591242,0.5708477000808955,2.0,0.5878702586969027,0.8,0.5502603823163684,-92.168446,46.802615
7,2016-06,MN,DULUTH,2016-06,3.04,"(-92.1314, 46.8011)",55811,17589.19,All,0.3904409090909091,0.044473803280367076,0.41572500000000007,0.03731870808859772,0.4527090909090909,0.025193304916973087,0.5394386363636363,0.009918331690681943,0.6516204545454546,-0.009743871872194965,0.9360386363636366,-0.028591225481366462,1.2592227272727274,-0.017397932650093997,0.22136363636363632,0.04218290655877961,0.40409090909090906,-0.019887978142185864,0.5522727272727272,-0.05142372185322442,1.1663636363636367,0.07733091378035971,1.6440909090909095,0.28375277554855555,2.019090909090909,0.3717495108403403,2.452272727272727,0.33664662965529024,49276189942.4712,-0.481997572750789,11362184412.0981,0.7110135294690891,88.1942388876454,0.5708477000808955,1.9,0.5878702586969027,0.8,0.5502603823163684,-92.1314,46.8011
8,2016-09,MN,DULUTH,2016-09,3.9,"(-92.184296, 46.730602000000005)",55807,4722.64,All,0.42159363636363634,0.044473803280367076,0.4495609090909092,0.03731870808859772,0.5270018181818182,0.025193304916973087,0.6625254545454545,0.009918331690681943,0.8496804545454547,-0.009743871872194965,1.2471445454545458,-0.028591225481366462,1.5560313636363639,-0.017397932650093997,0.1914285714285715,0.04218290655877961,0.4671428571428572,-0.019887978142185864,0.5933333333333333,-0.05142372185322442,1.178095238095238,0.07733091378035971,1.6304761904761906,0.28375277554855555,2.0152380952380957,0.3717495108403403,2.350476190476191,0.33664662965529024,50596067254.1766,-0.481997572750789,11496937509.4445,0.7110135294690891,89.2057504560787,0.5708477000808955,1.9,0.5878702586969027,0.8,0.5502603823163684,-92.184296,46.730602000000005
9,2017-03,MN,DULUTH,2017-03,3.74,"(-92.156075, 46.806921)",55811,48633.0,All,0.8095565217391305,0.044473803280367076,0.8706386956521739,0.03731870808859772,0.9286352173913045,0.025193304916973087,0.982656956521739,0.009918331690681943,1.134713043478261,-0.009743871872194965,1.4258673913043478,-0.028591225481366462,1.8069104347826086,-0.017397932650093997,0.662608695652174,0.04218290655877961,0.8856521739130436,-0.019887978142185864,1.0104347826086957,-0.05142372185322442,2.013478260869565,0.07733091378035971,2.4817391304347827,0.28375277554855555,2.8317391304347823,0.3717495108403403,3.0813043478260873,0.33664662965529024,48913265551.9221,-0.481997572750789,12605986919.9069,0.7110135294690891,89.1832712740787,0.5708477000808955,1.8,0.5878702586969027,1.0,0.5502603823163684,-92.156075,46.806921
