,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('PROPERTY ZIP', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(3),Corr with auto_vol(3),student_vol(1),Corr with student_vol(1),credit_tightness(-2),Corr with credit_tightness(-2),mortgage 30-89(4),Corr with mortgage 30-89(4),mortgage 90(3),Corr with mortgage 90(3),long,lat
0,2010-09,WA,SPOKANE,2010-09,4.24,"(-85.4202, 31.2488)",99216,15246.32,All,0.22657136363636363,-0.2749077828737156,0.251059090909091,-0.27250152447391796,0.25699454545454536,-0.2673464821107828,0.2738163636363636,-0.2647463581298926,0.2913659090909092,-0.24898607371463027,0.4777727272727273,-0.2127113556749968,0.8043745454545456,-0.15179376754808444,0.1166666666666667,-0.2941557542699788,0.19333333333333336,-0.2499664517945787,0.2566666666666666,-0.2107457786034299,1.4104761904761904,0.26851991734770825,2.6476190476190475,0.6695894258036722,3.4690476190476183,0.7317282087359178,3.773333333333333,0.7382795200575222,31044830349.9256,-0.617238715462196,11822726022.5574,0.4412001615810826,95.21340255359091,0.5619395616015384,2.5,0.744189666280522,2.4,0.35576223228196197,-85.4202,31.2488
1,2010-12,WA,SPOKANE,2010-12,4.2,"(-117.39561499999999, 47.769861999999996)",99218,16044.85,All,0.24122190476190472,-0.2749077828737156,0.25412380952380953,-0.27250152447391796,0.26178857142857137,-0.2673464821107828,0.28196571428571415,-0.2647463581298926,0.30272333333333334,-0.24898607371463027,0.4583942857142857,-0.2127113556749968,0.7839004761904763,-0.15179376754808444,0.0854166666666667,-0.2941557542699788,0.19333333333333338,-0.2499664517945787,0.2937499999999999,-0.2107457786034299,1.9429166666666664,0.26851991734770825,3.2949999999999995,0.6695894258036722,4.173333333333333,0.7317282087359178,4.415,0.7382795200575222,31565012894.7234,-0.617238715462196,11568364841.7538,0.4412001615810826,92.4549564204629,0.5619395616015384,2.0,0.744189666280522,2.4,0.35576223228196197,-117.39561499999999,47.769861999999996
2,2011-03,WA,SPOKANE,2011-03,4.7,"(-117.356866, 47.649821)",99202,40623.59,All,0.2076739130434783,-0.2749077828737156,0.23889782608695653,-0.27250152447391796,0.2532847826086956,-0.2673464821107828,0.2829456521739131,-0.2647463581298926,0.30843478260869567,-0.24898607371463027,0.4607826086956522,-0.2127113556749968,0.7797065217391305,-0.15179376754808444,0.06478260869565221,-0.2941557542699788,0.15652173913043482,-0.2499664517945787,0.25913043478260867,-0.2107457786034299,2.1134782608695653,0.26851991734770825,3.414347826086956,0.6695894258036722,4.26608695652174,0.7317282087359178,4.5139130434782615,0.7382795200575222,31300541846.2612,-0.617238715462196,15995126134.7035,0.4412001615810826,94.0022251537174,0.5619395616015384,2.3,0.744189666280522,2.7,0.35576223228196197,-117.356866,47.649821
3,2011-06,WA,SPOKANE,2011-06,4.05,"(-117.27918000000001, 47.67873)",99206,13642.17,All,0.12706818181818183,-0.2749077828737156,0.1615431818181819,-0.27250152447391796,0.18716409090909092,-0.2673464821107828,0.21923909090909086,-0.2647463581298926,0.24782409090909094,-0.24898607371463027,0.39758,-0.2127113556749968,0.7268749999999999,-0.15179376754808444,0.0190909090909091,-0.2941557542699788,0.1013636363636364,-0.2499664517945787,0.18090909090909094,-0.2107457786034299,1.5799999999999998,0.26851991734770825,3.002272727272727,0.6695894258036722,3.9145454545454546,0.7317282087359178,4.2327272727272724,0.7382795200575222,33690910289.8878,-0.617238715462196,13238482167.5647,0.4412001615810826,92.5881563190625,0.5619395616015384,2.2,0.744189666280522,2.9,0.35576223228196197,-117.27918000000001,47.67873
4,2011-12,WA,SPOKANE,2011-12,4.48,"(-104.3641959, 33.00094191)",99218,46650.5,All,0.1499335,-0.2749077828737156,0.2029985,-0.27250152447391796,0.2836085,-0.2673464821107828,0.40829250000000006,-0.2647463581298926,0.5557375,-0.24898607371463027,0.7798775000000001,-0.2127113556749968,1.1003555000000003,-0.15179376754808444,0.0033333333333333335,-0.2941557542699788,0.048571428571428585,-0.2499664517945787,0.11523809523809528,-0.2107457786034299,0.8914285714285713,0.26851991734770825,1.9780952380952384,0.6695894258036722,2.6676190476190476,0.7317282087359178,2.9823809523809524,0.7382795200575222,35767585536.868996,-0.617238715462196,11510278467.2037,0.4412001615810826,91.3646878868074,0.5619395616015384,1.9,0.744189666280522,3.3,0.35576223228196197,-104.3641959,33.00094191
5,2012-02,WA,SPOKANE,2012-02,3.47,"(-117.262165, 47.652765)",99206,32381.745,All,0.1410714285714286,-0.2749077828737156,0.19146190476190478,-0.27250152447391796,0.2500238095238095,-0.2673464821107828,0.3686547619047619,-0.2647463581298926,0.5032404761904763,-0.24898607371463027,0.7572880952380953,-0.2127113556749968,1.0711880952380954,-0.15179376754808444,0.06350000000000003,-0.2941557542699788,0.124,-0.2499664517945787,0.161,-0.2107457786034299,0.8310000000000001,0.26851991734770825,1.9674999999999998,0.6695894258036722,2.7479999999999998,0.7317282087359178,3.109,0.7382795200575222,36777908030.9335,-0.617238715462196,11251067892.2966,0.4412001615810826,90.48744874686929,0.5619395616015384,1.8,0.744189666280522,3.2,0.35576223228196197,-117.262165,47.652765
6,2012-05,WA,SPOKANE,2012-05,3.75,"(-117.45200700000001, 47.632385)",99224,52870.58,All,0.15161363636363637,-0.2749077828737156,0.19053181818181822,-0.27250152447391796,0.23893181818181805,-0.2673464821107828,0.3457045454545453,-0.2647463581298926,0.4665318181818183,-0.24898607371463027,0.732990909090909,-0.2127113556749968,1.0615068181818177,-0.15179376754808444,0.06590909090909093,-0.2941557542699788,0.14545454545454548,-0.2499664517945787,0.19181818181818186,-0.2107457786034299,0.7618181818181818,0.26851991734770825,1.8031818181818189,0.6695894258036722,2.525909090909091,0.7317282087359178,2.930909090909091,0.7382795200575222,37160101000.5239,-0.617238715462196,14585937143.4485,0.4412001615810826,90.0868950067716,0.5619395616015384,1.9,0.744189666280522,2.8,0.35576223228196197,-117.45200700000001,47.632385
7,2012-11,WA,SPOKANE,2012-11,3.18,"(-117.450382, 47.63393)",99224,12957.88,All,0.1555,-0.2749077828737156,0.18060909090909089,-0.27250152447391796,0.20888636363636362,-0.2673464821107828,0.25813636363636355,-0.2647463581298926,0.31102272727272723,-0.24898607371463027,0.528347727272727,-0.2127113556749968,0.8631931818181818,-0.15179376754808444,0.12449999999999999,-0.2941557542699788,0.14450000000000002,-0.2499664517945787,0.17850000000000002,-0.2107457786034299,0.665,0.26851991734770825,1.654,0.6695894258036722,2.3894999999999995,0.7317282087359178,2.8034999999999997,0.7382795200575222,39658399389.4891,-0.617238715462196,11337096053.4966,0.4412001615810826,89.513287195688,0.5619395616015384,1.6,0.744189666280522,2.8,0.35576223228196197,-117.450382,47.63393
8,2014-04,WA,SPOKANE,2014-04,3.8,"(-117.414303, 47.659841)",99201,17959.91,All,0.08864000000000001,-0.2749077828737156,0.120115,-0.27250152447391796,0.1517,-0.2673464821107828,0.1918625,-0.2647463581298926,0.227495,-0.24898607371463027,0.32422500000000004,-0.2127113556749968,0.550005,-0.15179376754808444,0.023333333333333345,-0.2941557542699788,0.05333333333333336,-0.2499664517945787,0.10761904761904763,-0.2107457786034299,1.7009523809523805,0.26851991734770825,2.705238095238095,0.6695894258036722,3.265238095238095,0.7317282087359178,3.5176190476190476,0.7382795200575222,44931729222.7983,-0.617238715462196,9507943209.106209,0.4412001615810826,83.69462947740479,0.5619395616015384,1.8,0.744189666280522,1.9,0.35576223228196197,-117.414303,47.659841
9,2014-12,WA,SPOKANE,2014-12,3.2,"(-117.361869, 47.611573)",99223,56394.5,All,0.1101,-0.2749077828737156,0.1330809523809524,-0.27250152447391796,0.16305,-0.2673464821107828,0.20744285714285715,-0.2647463581298926,0.2446071428571429,-0.24898607371463027,0.34302142857142864,-0.2127113556749968,0.6021190476190476,-0.15179376754808444,0.02500000000000001,-0.2941557542699788,0.1063636363636364,-0.2499664517945787,0.21454545454545454,-0.2107457786034299,1.64,0.26851991734770825,2.2072727272727275,0.6695894258036722,2.5504545454545453,0.7317282087359178,2.8331818181818185,0.7382795200575222,47944164595.1044,-0.617238715462196,11733364706.6996,0.4412001615810826,82.08517590205541,0.5619395616015384,1.2,0.744189666280522,1.5,0.35576223228196197,-117.361869,47.611573
