,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(-1),Corr with auto_vol(-1),student_vol(-3),Corr with student_vol(-3),credit_tightness(3),Corr with credit_tightness(3),mortgage 30-89(4),Corr with mortgage 30-89(4),mortgage 90(-4),Corr with mortgage 90(-4),long,lat
0,2011-10,AZ,TUCSON,2011-10,4.1,"(-110.90050600000001, 32.25022)",20835.21,Health Care Facilities,0.1416352380952381,0.4096525315950156,0.19074095238095234,0.4102894625267689,0.24373904761904758,0.41468183026849625,0.3185252380952381,0.41103794023349266,0.4064785714285714,0.40996976778518496,0.59521,0.36837621369336926,0.9086428571428572,0.34827455816763225,0.013500000000000003,0.3986445825120823,0.05450000000000003,0.41890101786951905,0.1145,0.43946080952164057,1.0614999999999999,0.666392347359233,2.1519999999999997,0.6319262941336528,2.8695,0.34483129243984273,3.128,0.09185924273027692,33690910289.8878,0.5335153297610102,13238482167.5647,-0.7936566827363685,90.7743282432688,-0.4850701627254818,2.9,-0.6252743572448084,3.4,-0.645077553145759,-110.90050600000001,32.25022
1,2012-09,AZ,TUCSON,2012-09,2.55,"(-110.821775, 32.219561)",16334.39,Health Care Facilities,0.15189500000000006,0.4096525315950156,0.183625,0.4102894625267689,0.22133750000000002,0.41468183026849625,0.3079875,0.41103794023349266,0.3856325000000001,0.40996976778518496,0.6716749999999999,0.36837621369336926,0.9997750000000002,0.34827455816763225,0.07526315789473685,0.3986445825120823,0.13736842105263158,0.41890101786951905,0.17578947368421055,0.43946080952164057,0.6689473684210526,0.666392347359233,1.7231578947368422,0.6319262941336528,2.488421052631579,0.34483129243984273,2.8815789473684212,0.09185924273027692,37160101000.5239,0.5335153297610102,14585937143.4485,-0.7936566827363685,89.2801736441717,-0.4850701627254818,3.2,-0.6252743572448084,3.1,-0.645077553145759,-110.821775,32.219561
2,2012-10,AZ,TUCSON,2012-10,2.33,"(-110.99877, 32.332190000000004)",23540.83,Health Care Facilities,0.15320434782608702,0.4096525315950156,0.17955217391304346,0.4102894625267689,0.21346521739130433,0.41468183026849625,0.2717391304347827,0.41103794023349266,0.3304891304347827,0.40996976778518496,0.5823021739130435,0.36837621369336926,0.9185760869565219,0.34827455816763225,0.10952380952380951,0.3986445825120823,0.14904761904761904,0.41890101786951905,0.17952380952380956,0.43946080952164057,0.7085714285714285,0.666392347359233,1.7461904761904758,0.6319262941336528,2.505714285714286,0.34483129243984273,2.90047619047619,0.09185924273027692,37571290060.6541,0.5335153297610102,16111780903.4699,-0.7936566827363685,91.578064558499,-0.4850701627254818,2.9,-0.6252743572448084,3.4,-0.645077553145759,-110.99877,32.332190000000004
3,2014-08,AZ,TUCSON,2014-08,3.85,"(-110.84852, 32.224395)",69955.19,Health Care Facilities,0.090785,0.4096525315950156,0.121725,0.4102894625267689,0.15602,0.41468183026849625,0.19527250000000002,0.41103794023349266,0.23465000000000003,0.40996976778518496,0.32965500000000003,0.36837621369336926,0.55889,0.34827455816763225,0.030000000000000006,0.3986445825120823,0.0523809523809524,0.41890101786951905,0.10714285714285714,0.43946080952164057,1.6314285714285717,0.666392347359233,2.42,0.6319262941336528,2.9366666666666665,0.34483129243984273,3.2009523809523808,0.09185924273027692,44931729222.7983,0.5335153297610102,9507943209.106209,-0.7936566827363685,82.72786465890579,-0.4850701627254818,2.5,-0.6252743572448084,1.5,-0.645077553145759,-110.84852,32.224395
4,2015-01,AZ,TUCSON,2015-01,4.45,"(-110.99877, 32.332190000000004)",19726.95,Health Care Facilities,0.11871428571428574,0.4096525315950156,0.1349785714285714,0.4102894625267689,0.16807857142857144,0.41468183026849625,0.2135952380952381,0.41103794023349266,0.2543190476190476,0.40996976778518496,0.35825714285714294,0.36837621369336926,0.6221666666666666,0.34827455816763225,0.018000000000000006,0.3986445825120823,0.08300000000000003,0.41890101786951905,0.19549999999999998,0.43946080952164057,1.3744999999999998,0.666392347359233,1.8814999999999997,0.6319262941336528,2.199,0.34483129243984273,2.455,0.09185924273027692,45241950015.4561,0.5335153297610102,10950177839.1879,-0.7936566827363685,79.25862065623551,-0.4850701627254818,2.0,-0.6252743572448084,1.6,-0.645077553145759,-110.99877,32.332190000000004
5,2015-03,AZ,TUCSON,2015-03,3.23,"(-110.87735500000001, 32.234846000000005)",14933.36,Health Care Facilities,0.12134999999999999,0.4096525315950156,0.14022954545454547,0.4102894625267689,0.17560000000000003,0.41468183026849625,0.21958181818181813,0.41103794023349266,0.26829772727272727,0.40996976778518496,0.39945,0.36837621369336926,0.700025,0.34827455816763225,0.02272727272727273,0.3986445825120823,0.11000000000000001,0.41890101786951905,0.25363636363636366,0.43946080952164057,1.5190909090909088,0.666392347359233,2.042727272727273,0.6319262941336528,2.4068181818181817,0.34483129243984273,2.626363636363636,0.09185924273027692,45758876905.2845,0.5335153297610102,14245911418.8887,-0.7936566827363685,82.75451956383341,-0.4850701627254818,2.0,-0.6252743572448084,1.7,-0.645077553145759,-110.87735500000001,32.234846000000005
6,2015-06,AZ,TUCSON,2015-06,3.5,"(-111.00422900000001, 32.310221999999996)",17988.47,Health Care Facilities,0.12293636363636364,0.4096525315950156,0.14681590909090908,0.4102894625267689,0.1858840909090909,0.41468183026849625,0.23472954545454539,0.41103794023349266,0.2827113636363637,0.40996976778518496,0.43974545454545466,0.36837621369336926,0.7702659090909093,0.34827455816763225,0.007727272727272728,0.3986445825120823,0.08681818181818185,0.41890101786951905,0.2754545454545455,0.43946080952164057,1.6836363636363636,0.666392347359233,2.3636363636363638,0.6319262941336528,2.8454545454545452,0.34483129243984273,3.1118181818181814,0.09185924273027692,47692027772.9219,0.5335153297610102,12019442988.8631,-0.7936566827363685,81.36742750908279,-0.4850701627254818,2.3,-0.6252743572448084,1.6,-0.645077553145759,-111.00422900000001,32.310221999999996
7,2015-11,AZ,TUCSON,2015-11,4.15,"(-110.85690100000001, 32.247268)",73417.97,Health Care Facilities,0.13066666666666668,0.4096525315950156,0.1559214285714286,0.4102894625267689,0.20844761904761913,0.41468183026849625,0.286702380952381,0.41103794023349266,0.3709714285714286,0.40996976778518496,0.6063738095238096,0.36837621369336926,0.9343738095238093,0.34827455816763225,0.07105263157894738,0.3986445825120823,0.32789473684210524,0.41890101786951905,0.47684210526315784,0.43946080952164057,1.6710526315789473,0.666392347359233,2.2631578947368416,0.6319262941336528,2.6863157894736847,0.34483129243984273,3.03,0.09185924273027692,48752987466.2114,0.5335153297610102,10986955735.8103,-0.7936566827363685,85.06205357591242,-0.4850701627254818,2.1,-0.6252743572448084,1.4,-0.645077553145759,-110.85690100000001,32.247268
8,2017-10,AZ,TUCSON,2017-10,3.85,"(-111.0241832, 32.256320699999996)",44416.16,Health Care Facilities,1.1834895238095235,0.4096525315950156,1.2040609090909093,0.4102894625267689,1.2385486363636362,0.41468183026849625,1.287584090909091,0.41103794023349266,1.3607931818181818,0.40996976778518496,1.541957272727273,0.36837621369336926,1.8208568181818179,0.34827455816763225,0.9957142857142858,0.3986445825120823,1.2495238095238093,0.41890101786951905,1.3976190476190478,0.43946080952164057,1.9809523809523806,0.666392347359233,2.3600000000000003,0.6319262941336528,2.649047619047619,0.34483129243984273,2.8780952380952383,0.09185924273027692,49256214828.7987,0.5335153297610102,11814606928.6527,-0.7936566827363685,88.1148323663994,-0.4850701627254818,2.1,-0.6252743572448084,0.9,-0.645077553145759,-111.0241832,32.256320699999996
9,2018-05,AZ,TUCSON,2018-05,4.17,"(-110.86091, 32.249925)",101351.7,Health Care Facilities,1.7065971428571427,0.4096525315950156,1.7524533333333332,0.4102894625267689,1.94629,0.41468183026849625,2.0937409523809523,0.41103794023349266,2.3356085714285713,0.40996976778518496,2.499740476190476,0.36837621369336926,2.754757142857143,0.34827455816763225,1.706818181818182,0.3986445825120823,2.0731818181818187,0.41890101786951905,2.2736363636363635,0.43946080952164057,2.816818181818181,0.666392347359233,2.977727272727273,0.6319262941336528,3.0518181818181818,0.34483129243984273,3.1318181818181827,0.09185924273027692,50505964400.0098,0.5335153297610102,11318405616.2761,-0.7936566827363685,85.8866598662335,-0.4850701627254818,2.1,-0.6252743572448084,0.9,-0.645077553145759,-110.86091,32.249925
