,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('PROPERTY ZIP', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(3),Corr with auto_vol(3),student_vol(4),Corr with student_vol(4),credit_tightness(-3),Corr with credit_tightness(-3),mortgage 30-89(4),Corr with mortgage 30-89(4),mortgage 90(-4),Corr with mortgage 90(-4),long,lat
0,2010-04,IN,FORT WAYNE,2010-04,4.85,"(-85.129428, 41.147276)",46825,12794.98,Improvements_Additions for Apartments_Coops,0.24183250000000003,-0.01839425505739591,0.2495495,-0.012480641537730418,0.2597455000000001,-0.007831624754618436,0.2840375,-0.003271886601682747,0.3116065,0.00761977774947761,0.4758610000000001,0.0154444876044633,0.9598030000000002,0.05476020111971431,0.15045454545454548,-0.004286376119296504,0.2440909090909091,0.004028516124592049,0.44499999999999995,0.03238100049844262,2.581363636363637,0.46201719723669593,3.8468181818181817,0.6449648129894837,4.531363636363637,0.5713214224837152,4.693181818181819,0.5184979139714162,28477062769.4533,-0.3746863089365676,11556490165.0911,0.4149135045398937,97.9962893430168,0.412391804832144,4.3,0.3256675251883153,3.3,0.2383499136467316,-85.129428,41.147276
1,2010-07,IN,FORT WAYNE,2010-07,3.8,"(-85.018803, 41.115151000000004)",46815,11935.33,Improvements_Additions for Apartments_Coops,0.26711500000000005,-0.01839425505739591,0.31483090909090916,-0.012480641537730418,0.3341213636363637,-0.007831624754618436,0.41480272727272727,-0.003271886601682747,0.5103277272727272,0.00761977774947761,0.7185045454545452,0.0154444876044633,1.117797727272727,0.05476020111971431,0.15666666666666668,-0.004286376119296504,0.20047619047619053,0.004028516124592049,0.2914285714285714,0.03238100049844262,1.7628571428571433,0.46201719723669593,3.0114285714285716,0.6449648129894837,3.796190476190476,0.5713214224837152,3.994285714285714,0.5184979139714162,30512069858.4251,-0.3746863089365676,11082139451.8714,0.4149135045398937,99.0214107435932,0.412391804832144,3.8,0.3256675251883153,3.1,0.2383499136467316,-85.018803,41.115151000000004
2,2010-08,IN,FORT WAYNE,2010-08,4.85,"(-85.09805300000001, 41.094466)",46805,20202.6,Improvements_Additions for Apartments_Coops,0.23101619047619049,-0.01839425505739591,0.2659952380952381,-0.012480641537730418,0.27546238095238096,-0.007831624754618436,0.3123080952380952,-0.003271886601682747,0.3625466666666667,0.00761977774947761,0.5790957142857143,0.0154444876044633,0.9435780952380955,0.05476020111971431,0.15409090909090908,-0.004286376119296504,0.19136363636363637,0.004028516124592049,0.25909090909090904,0.03238100049844262,1.4654545454545451,0.46201719723669593,2.6986363636363637,0.6449648129894837,3.516818181818181,0.5713214224837152,3.8031818181818178,0.5184979139714162,30207558860.6451,-0.3746863089365676,10792773250.4017,0.4149135045398937,98.6449594200431,0.412391804832144,3.9,0.3256675251883153,2.8,0.2383499136467316,-85.09805300000001,41.094466
3,2010-10,IN,FORT WAYNE,2010-10,3.755,"(-85.24197, 41.037194)",46804,42207.875,Improvements_Additions for Apartments_Coops,0.22598619047619048,-0.01839425505739591,0.25051619047619045,-0.012480641537730418,0.25605714285714287,-0.007831624754618436,0.2720304761904762,-0.003271886601682747,0.28884,0.00761977774947761,0.45499142857142844,0.0154444876044633,0.7680966666666665,0.05476020111971431,0.14050000000000004,-0.004286376119296504,0.17650000000000005,0.004028516124592049,0.22800000000000006,0.03238100049844262,1.1824999999999999,0.46201719723669593,2.54,0.6449648129894837,3.524,0.5713214224837152,3.8724999999999996,0.5184979139714162,31618591270.7387,-0.3746863089365676,11726514214.1317,0.4149135045398937,95.21340255359091,0.412391804832144,3.3,0.3256675251883153,2.7,0.2383499136467316,-85.24197,41.037194
4,2010-11,IN,FORT WAYNE,2010-11,3.4,"(-85.045407, 41.109631)",46815,10509.88,Improvements_Additions for Apartments_Coops,0.22869727272727272,-0.01839425505739591,0.24913818181818187,-0.012480641537730418,0.2541922727272727,-0.007831624754618436,0.27004181818181816,-0.003271886601682747,0.2871204545454545,0.00761977774947761,0.44597000000000014,0.0154444876044633,0.7651345454545454,0.05476020111971431,0.13400000000000004,-0.004286376119296504,0.182,0.004028516124592049,0.25200000000000006,0.03238100049844262,1.35,0.46201719723669593,2.7630000000000003,0.6449648129894837,3.817999999999999,0.5713214224837152,4.186,0.5184979139714162,32217867353.4185,-0.3746863089365676,11311909309.5948,0.4149135045398937,95.6415096715633,0.412391804832144,2.8,0.3256675251883153,2.5,0.2383499136467316,-85.045407,41.109631
5,2011-11,IN,FORT WAYNE,2011-11,3.73,"(-85.10305699999999, 41.129563)",46835,22058.5,Improvements_Additions for Apartments_Coops,0.14255090909090912,-0.01839425505739591,0.19244863636363635,-0.012480641537730418,0.2536463636363637,-0.007831624754618436,0.3593790909090909,-0.003271886601682747,0.47529181818181826,0.00761977774947761,0.6805422727272729,0.0154444876044633,1.000305,0.05476020111971431,0.013999999999999999,-0.004286376119296504,0.04650000000000002,0.004028516124592049,0.11200000000000002,0.03238100049844262,0.908,0.46201719723669593,2.0134999999999996,0.6449648129894837,2.7180000000000004,0.5713214224837152,3.0155000000000003,0.5184979139714162,35532707747.113,-0.3746863089365676,11251067892.2966,0.4149135045398937,88.33905735772379,0.412391804832144,2.9,0.3256675251883153,2.3,0.2383499136467316,-85.10305699999999,41.129563
6,2011-12,IN,FORT WAYNE,2011-12,4.25,"(-85.096298, 41.031138)",46816,8377.17,Improvements_Additions for Apartments_Coops,0.1499335,-0.01839425505739591,0.2029985,-0.012480641537730418,0.2836085,-0.007831624754618436,0.40829250000000006,-0.003271886601682747,0.5557375,0.00761977774947761,0.7798775000000001,0.0154444876044633,1.1003555000000003,0.05476020111971431,0.0033333333333333335,-0.004286376119296504,0.048571428571428585,0.004028516124592049,0.11523809523809528,0.03238100049844262,0.8914285714285713,0.46201719723669593,1.9780952380952384,0.6449648129894837,2.6676190476190476,0.5713214224837152,2.9823809523809524,0.5184979139714162,35767585536.868996,-0.3746863089365676,11641401212.0971,0.4149135045398937,90.4806728327692,0.412391804832144,2.9,0.3256675251883153,2.4,0.2383499136467316,-85.096298,41.031138
7,2012-11,IN,FORT WAYNE,2012-11,2.84,"(-85.017052, 41.126791)",46835,48876.96,Improvements_Additions for Apartments_Coops,0.1555,-0.01839425505739591,0.18060909090909089,-0.012480641537730418,0.20888636363636362,-0.007831624754618436,0.25813636363636355,-0.003271886601682747,0.31102272727272723,0.00761977774947761,0.528347727272727,0.0154444876044633,0.8631931818181818,0.05476020111971431,0.12449999999999999,-0.004286376119296504,0.14450000000000002,0.004028516124592049,0.17850000000000002,0.03238100049844262,0.665,0.46201719723669593,1.654,0.6449648129894837,2.3894999999999995,0.5713214224837152,2.8034999999999997,0.5184979139714162,39658399389.4891,-0.3746863089365676,9855625468.0504,0.4149135045398937,89.6061116730853,0.412391804832144,2.8,0.3256675251883153,2.3,0.2383499136467316,-85.017052,41.126791
8,2013-01,IN,FORT WAYNE,2013-01,2.35,"(-85.14200600000001, 41.133198)",46825,17632.58,Improvements_Additions for Apartments_Coops,0.16043181818181818,-0.01839425505739591,0.17947272727272726,-0.012480641537730418,0.20497272727272725,-0.007831624754618436,0.2497954545454545,-0.003271886601682747,0.30261363636363625,0.00761977774947761,0.48810454545454546,0.0154444876044633,0.8142727272727271,0.05476020111971431,0.05190476190476192,-0.004286376119296504,0.10761904761904766,0.004028516124592049,0.14523809523809525,0.03238100049844262,0.8052380952380951,0.46201719723669593,1.9147619047619049,0.6449648129894837,2.681428571428571,0.5713214224837152,3.0804761904761913,0.5184979139714162,40395555554.9932,-0.3746863089365676,9498561196.652071,0.4149135045398937,90.37816904639429,0.412391804832144,3.0,0.3256675251883153,2.2,0.2383499136467316,-85.14200600000001,41.133198
9,2013-03,IN,FORT WAYNE,2013-03,2.55,"(-85.18496800000001, 41.017084000000004)",46809,12410.3,Improvements_Additions for Apartments_Coops,0.15505000000000002,-0.01839425505739591,0.17309999999999998,-0.012480641537730418,0.20345,-0.007831624754618436,0.2419,-0.003271886601682747,0.28190000000000004,0.00761977774947761,0.44782500000000003,0.0154444876044633,0.7351250000000001,0.05476020111971431,0.07800000000000003,-0.004286376119296504,0.11450000000000005,0.004028516124592049,0.14750000000000002,0.03238100049844262,0.8185000000000002,0.46201719723669593,1.9575,0.6449648129894837,2.7840000000000003,0.5713214224837152,3.1625000000000005,0.5184979139714162,41507587847.7023,-0.3746863089365676,8901986132.75728,0.4149135045398937,89.2801736441717,0.412391804832144,2.9,0.3256675251883153,2.3,0.2383499136467316,-85.18496800000001,41.017084000000004
