,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(4),Corr with auto_vol(4),student_vol(4),Corr with student_vol(4),credit_tightness(-4),Corr with credit_tightness(-4),mortgage 30-89(-1),Corr with mortgage 30-89(-1),mortgage 90(2),Corr with mortgage 90(2)
0,2010-11,NE,OMAHA,2010-11,4.85,"(-96.051645, 41.269006)",22307.04,Improvements_Additions for Apartments_Coops,0.22869727272727272,0.2488482123787203,0.24913818181818187,0.24557944708718296,0.2541922727272727,0.23565344510239603,0.27004181818181816,0.22150004636174458,0.2871204545454545,0.2047811816686396,0.44597000000000014,0.17722105505418356,0.7651345454545454,0.17112582790119954,0.13400000000000004,0.23264823946926955,0.182,0.23950025496754687,0.25200000000000006,0.25259286329847486,1.35,0.5392842556083622,2.7630000000000003,0.7788337564460273,3.817999999999999,0.7901108193096461,4.186,0.7595082083586137,31565012894.7234,-0.3252822728149184,11311909309.5948,0.4817593902062436,95.21340255359091,0.40839432448863183,3.2,0.15683317008027803,2.2,0.19314165189046528
1,2010-12,NE,OMAHA,2010-12,5.25,"(-96.1664, 41.2183)",10906.3,Improvements_Additions for Apartments_Coops,0.24122190476190472,0.2488482123787203,0.25412380952380953,0.24557944708718296,0.26178857142857137,0.23565344510239603,0.28196571428571415,0.22150004636174458,0.30272333333333334,0.2047811816686396,0.4583942857142857,0.17722105505418356,0.7839004761904763,0.17112582790119954,0.0854166666666667,0.23264823946926955,0.19333333333333338,0.23950025496754687,0.2937499999999999,0.25259286329847486,1.9429166666666664,0.5392842556083622,3.2949999999999995,0.7788337564460273,4.173333333333333,0.7901108193096461,4.415,0.7595082083586137,31252070876.7547,-0.3252822728149184,15995126134.7035,0.4817593902062436,95.6415096715633,0.40839432448863183,2.9,0.15683317008027803,2.1,0.19314165189046528
2,2011-08,NE,OMAHA,2011-08,4.125,"(-95.92943299999999, 41.239391)",31787.33,Improvements_Additions for Apartments_Coops,0.14468363636363638,0.2488482123787203,0.18038681818181818,0.24557944708718296,0.21116590909090904,0.23565344510239603,0.24895727272727275,0.22150004636174458,0.29323772727272723,0.2047811816686396,0.45919454545454547,0.17722105505418356,0.7783581818181818,0.17112582790119954,0.017391304347826094,0.23264823946926955,0.06217391304347828,0.23950025496754687,0.11478260869565218,0.25259286329847486,1.021304347826087,0.5392842556083622,2.303043478260869,0.7788337564460273,3.244782608695652,0.7901108193096461,3.6513043478260867,0.7595082083586137,35344521679.5642,-0.3252822728149184,11508699084.1195,0.4817593902062436,92.5881563190625,0.40839432448863183,2.8,0.15683317008027803,1.9,0.19314165189046528
3,2012-02,NE,OMAHA,2012-02,3.61,"(-96.068565, 41.203945000000004)",25612.59,Improvements_Additions for Apartments_Coops,0.1410714285714286,0.2488482123787203,0.19146190476190478,0.24557944708718296,0.2500238095238095,0.23565344510239603,0.3686547619047619,0.22150004636174458,0.5032404761904763,0.2047811816686396,0.7572880952380953,0.17722105505418356,1.0711880952380954,0.17112582790119954,0.06350000000000003,0.23264823946926955,0.124,0.23950025496754687,0.161,0.25259286329847486,0.8310000000000001,0.5392842556083622,1.9674999999999998,0.7788337564460273,2.7479999999999998,0.7901108193096461,3.109,0.7595082083586137,36186315501.0541,-0.3252822728149184,14585937143.4485,0.4817593902062436,91.3646878868074,0.40839432448863183,2.7,0.15683317008027803,1.8,0.19314165189046528
4,2012-03,NE,OMAHA,2012-03,3.4,"(-95.937576, 41.267953999999996)",39038.15,Improvements_Additions for Apartments_Coops,0.14720000000000003,0.2488482123787203,0.1893409090909091,0.24557944708718296,0.24185227272727275,0.23565344510239603,0.35079999999999995,0.22150004636174458,0.4732886363636363,0.2047811816686396,0.741275,0.17722105505418356,1.0534477272727274,0.17112582790119954,0.06363636363636366,0.23264823946926955,0.14227272727272727,0.23950025496754687,0.19000000000000003,0.25259286329847486,1.0172727272727273,0.5392842556083622,2.1727272727272724,0.7788337564460273,2.9404545454545454,0.7901108193096461,3.281363636363636,0.7595082083586137,36601383816.48,-0.3252822728149184,16111780903.4699,0.4817593902062436,90.35087768078328,0.40839432448863183,2.3,0.15683317008027803,1.9,0.19314165189046528
5,2012-06,NE,OMAHA,2012-06,3.1,"(-96.17813199999999, 41.278724)",50624.54,Improvements_Additions for Apartments_Coops,0.163,0.2488482123787203,0.19464736842105262,0.24557944708718296,0.24319736842105263,0.23565344510239603,0.3459342105263157,0.22150004636174458,0.46558684210526313,0.2047811816686396,0.7364000000000004,0.17722105505418356,1.0691894736842107,0.17112582790119954,0.05190476190476193,0.23264823946926955,0.14809523809523809,0.23950025496754687,0.18904761904761905,0.25259286329847486,0.7114285714285714,0.5392842556083622,1.6223809523809525,0.7788337564460273,2.3061904761904763,0.7901108193096461,2.698095238095238,0.7595082083586137,37685204803.0042,-0.3252822728149184,12022315813.7363,0.4817593902062436,90.6452366150782,0.40839432448863183,2.6,0.15683317008027803,1.8,0.19314165189046528
6,2012-09,NE,OMAHA,2012-09,3.14,"(-95.937314, 41.256363)",38549.24,Improvements_Additions for Apartments_Coops,0.15189500000000006,0.2488482123787203,0.183625,0.24557944708718296,0.22133750000000002,0.23565344510239603,0.3079875,0.22150004636174458,0.3856325000000001,0.2047811816686396,0.6716749999999999,0.17722105505418356,0.9997750000000002,0.17112582790119954,0.07526315789473685,0.23264823946926955,0.13736842105263158,0.23950025496754687,0.17578947368421055,0.25259286329847486,0.6689473684210526,0.5392842556083622,1.7231578947368422,0.7788337564460273,2.488421052631579,0.7901108193096461,2.8815789473684212,0.7595082083586137,39268596272.9965,-0.3252822728149184,11154944519.578999,0.4817593902062436,89.6038877472871,0.40839432448863183,2.7,0.15683317008027803,1.8,0.19314165189046528
7,2012-10,NE,OMAHA,2012-10,2.43,"(-95.941252, 41.258474)",33218.94,Improvements_Additions for Apartments_Coops,0.15320434782608702,0.2488482123787203,0.17955217391304346,0.24557944708718296,0.21346521739130433,0.23565344510239603,0.2717391304347827,0.22150004636174458,0.3304891304347827,0.2047811816686396,0.5823021739130435,0.17722105505418356,0.9185760869565219,0.17112582790119954,0.10952380952380951,0.23264823946926955,0.14904761904761904,0.23950025496754687,0.17952380952380956,0.25259286329847486,0.7085714285714285,0.5392842556083622,1.7461904761904758,0.7788337564460273,2.505714285714286,0.7901108193096461,2.90047619047619,0.7595082083586137,39658399389.4891,-0.3252822728149184,11080080767.5225,0.4817593902062436,89.56768058609659,0.40839432448863183,3.0,0.15683317008027803,1.8,0.19314165189046528
8,2012-11,NE,OMAHA,2012-11,2.73,"(-96.038578, 41.278110999999996)",13127.16,Improvements_Additions for Apartments_Coops,0.1555,0.2488482123787203,0.18060909090909089,0.24557944708718296,0.20888636363636362,0.23565344510239603,0.25813636363636355,0.22150004636174458,0.31102272727272723,0.2047811816686396,0.528347727272727,0.17722105505418356,0.8631931818181818,0.17112582790119954,0.12449999999999999,0.23264823946926955,0.14450000000000002,0.23950025496754687,0.17850000000000002,0.25259286329847486,0.665,0.5392842556083622,1.654,0.7788337564460273,2.3894999999999995,0.7901108193096461,2.8034999999999997,0.7595082083586137,39298206327.5877,-0.3252822728149184,9855625468.0504,0.4817593902062436,89.02745876405929,0.40839432448863183,2.8,0.15683317008027803,1.7,0.19314165189046528
9,2012-12,NE,OMAHA,2012-12,2.81,"(9.39306, 52.75611)",12170.64,Improvements_Additions for Apartments_Coops,0.1631578947368421,0.2488482123787203,0.1875157894736842,0.24557944708718296,0.21092631578947374,0.23565344510239603,0.2552894736842105,0.22150004636174458,0.30947368421052623,0.2047811816686396,0.5145657894736843,0.17722105505418356,0.8483157894736841,0.17112582790119954,0.039500000000000014,0.23264823946926955,0.11950000000000005,0.23950025496754687,0.1585,0.25259286329847486,0.6960000000000001,0.5392842556083622,1.7189999999999999,0.7788337564460273,2.4675000000000002,0.7901108193096461,2.8835,0.7595082083586137,40395555554.9932,-0.3252822728149184,9123117418.53368,0.4817593902062436,89.6061116730853,0.40839432448863183,2.7,0.15683317008027803,1.9,0.19314165189046528
