,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(-2),Corr with auto_vol(-2),student_vol(-1),Corr with student_vol(-1),credit_tightness(-4),Corr with credit_tightness(-4),mortgage 30-89(-4),Corr with mortgage 30-89(-4),mortgage 90(-1),Corr with mortgage 90(-1),long,lat
0,2010-02,TX,AUSTIN,2010-02,5.56,"(-96.304174, 30.628077)",27422.56,New Construction,0.172487,0.23988732297771354,0.20809400000000006,0.2407943066848382,0.22906349999999992,0.2311236109142059,0.23978050000000012,0.21106684081700272,0.25051950000000006,0.18351734395032296,0.38779850000000005,0.13697025060288381,0.8515799999999999,0.15469854562676083,0.05736842105263157,0.2542512630815687,0.18105263157894735,0.2289410317260731,0.34578947368421054,0.22453929857558838,2.363684210526315,0.5642073989299897,3.691052631578947,0.7491223093891912,4.481052631578947,0.6879696520984986,4.619473684210526,0.605583638367221,25435545396.8332,-0.5478755004422321,14107591663.4702,0.6028114228145056,101.129830992893,0.6305191669451066,3.5,0.5189860879564375,2.8,0.5083661087650697,-96.304174,30.628077
1,2012-10,TX,AUSTIN,2012-10,3.35,"(-73.9866095, 40.763439899999995)",55840.9,New Construction,0.15320434782608702,0.23988732297771354,0.17955217391304346,0.2407943066848382,0.21346521739130433,0.2311236109142059,0.2717391304347827,0.21106684081700272,0.3304891304347827,0.18351734395032296,0.5823021739130435,0.13697025060288381,0.9185760869565219,0.15469854562676083,0.10952380952380951,0.2542512630815687,0.14904761904761904,0.2289410317260731,0.17952380952380956,0.22453929857558838,0.7085714285714285,0.5642073989299897,1.7461904761904758,0.7491223093891912,2.505714285714286,0.6879696520984986,2.90047619047619,0.605583638367221,37160101000.5239,-0.5478755004422321,11631947675.6117,0.6028114228145056,89.56768058609659,0.6305191669451066,2.6,0.5189860879564375,1.7,0.5083661087650697,-73.9866095,40.763439899999995
2,2013-07,TX,AUSTIN,2013-07,3.5999999999999996,"(-97.68467, 30.3498)",87370.10500000001,New Construction,0.12117913043478262,0.23988732297771354,0.15611695652173913,0.2407943066848382,0.19111913043478265,0.2311236109142059,0.232388695652174,0.21106684081700272,0.26758260869565215,0.18351734395032296,0.40307869565217386,0.13697025060288381,0.6838491304347826,0.15469854562676083,0.020909090909090912,0.2542512630815687,0.07363636363636367,0.2289410317260731,0.12181818181818184,0.22453929857558838,1.4031818181818183,0.5642073989299897,2.5822727272727275,0.7491223093891912,3.3072727272727276,0.6879696520984986,3.605,0.605583638367221,40995097959.5386,-0.5478755004422321,9260696074.4491,0.6028114228145056,88.920473853359,0.6305191669451066,2.4,0.5189860879564375,1.4,0.5083661087650697,-97.68467,30.3498
3,2013-09,TX,AUSTIN,2013-09,3.8,"(-97.6939, 30.464177000000003)",90500.17,New Construction,0.11272380952380952,0.23988732297771354,0.14323238095238094,0.2407943066848382,0.18057476190476196,0.2311236109142059,0.22133904761904755,0.21106684081700272,0.2531785714285715,0.18351734395032296,0.38033809523809525,0.13697025060288381,0.6526857142857143,0.15469854562676083,0.017500000000000005,0.2542512630815687,0.04150000000000001,0.2289410317260731,0.11850000000000002,0.22453929857558838,1.5959999999999999,0.5642073989299897,2.8095,0.7491223093891912,3.526,0.6879696520984986,3.7870000000000004,0.605583638367221,41471481477.9035,-0.5478755004422321,10210246554.7955,0.6028114228145056,88.29263433660921,0.6305191669451066,2.3,0.5189860879564375,1.3,0.5083661087650697,-97.6939,30.464177000000003
4,2014-08,TX,AUSTIN,2014-08,3.785,"(-97.692516, 30.270297999999997)",21231.655,New Construction,0.090785,0.23988732297771354,0.121725,0.2407943066848382,0.15602,0.2311236109142059,0.19527250000000002,0.21106684081700272,0.23465000000000003,0.18351734395032296,0.32965500000000003,0.13697025060288381,0.55889,0.15469854562676083,0.030000000000000006,0.2542512630815687,0.0523809523809524,0.2289410317260731,0.10714285714285714,0.22453929857558838,1.6314285714285717,0.5642073989299897,2.42,0.7491223093891912,2.9366666666666665,0.6879696520984986,3.2009523809523808,0.605583638367221,43938467193.2505,-0.5478755004422321,10638305940.4607,0.6028114228145056,82.56600445924391,0.6305191669451066,1.6,0.5189860879564375,1.0,0.5083661087650697,-97.692516,30.270297999999997
5,2015-03,TX,AUSTIN,2015-03,4.0,"(-97.7257, 30.2226)",112007.51,New Construction,0.12134999999999999,0.23988732297771354,0.14022954545454547,0.2407943066848382,0.17560000000000003,0.2311236109142059,0.21958181818181813,0.21106684081700272,0.26829772727272727,0.18351734395032296,0.39945,0.13697025060288381,0.700025,0.15469854562676083,0.02272727272727273,0.2542512630815687,0.11000000000000001,0.2289410317260731,0.25363636363636366,0.22453929857558838,1.5190909090909088,0.5642073989299897,2.042727272727273,0.7491223093891912,2.4068181818181817,0.6879696520984986,2.626363636363636,0.605583638367221,45667781053.6763,-0.5478755004422321,11837215038.8922,0.6028114228145056,82.72786465890579,0.6305191669451066,2.0,0.5189860879564375,1.0,0.5083661087650697,-97.7257,30.2226
6,2015-08,TX,AUSTIN,2015-08,3.65,"(-97.64670699999999, 30.389764000000003)",91074.55,New Construction,0.13010000000000005,0.23988732297771354,0.151965,0.2407943066848382,0.1967275,0.2311236109142059,0.2610100000000001,0.21106684081700272,0.3207975,0.18351734395032296,0.5193599999999999,0.13697025060288381,0.8364375,0.15469854562676083,0.03523809523809525,0.2542512630815687,0.22000000000000006,0.2289410317260731,0.3757142857142857,0.22453929857558838,1.5414285714285714,0.5642073989299897,2.167142857142857,0.7491223093891912,2.5466666666666664,0.6879696520984986,2.8557142857142854,0.605583638367221,48997735451.5931,-0.5478755004422321,11834405659.8436,0.6028114228145056,79.25862065623551,0.6305191669451066,1.6,0.5189860879564375,0.9,0.5083661087650697,-97.64670699999999,30.389764000000003
7,2015-09,TX,AUSTIN,2015-09,3.6,"(-97.704338, 30.354659)",63745.99,New Construction,0.1344409090909091,0.23988732297771354,0.15661363636363634,0.2407943066848382,0.20107727272727274,0.2311236109142059,0.26589318181818195,0.21106684081700272,0.3311113636363637,0.18351734395032296,0.5371681818181817,0.13697025060288381,0.8526636363636364,0.15469854562676083,0.008571428571428572,0.2542512630815687,0.17952380952380947,0.2289410317260731,0.3733333333333333,0.22453929857558838,1.4900000000000002,0.5642073989299897,2.1728571428571435,0.7491223093891912,2.618095238095238,0.6879696520984986,2.9528571428571433,0.605583638367221,48668534366.8701,-0.5478755004422321,10986955735.8103,0.6028114228145056,83.34061286074021,0.6305191669451066,1.7,0.5189860879564375,0.8,0.5083661087650697,-97.704338,30.354659
8,2016-10,TX,AUSTIN,2016-10,2.5,"(-97.8017, 30.2307)",62339.3,New Construction,0.4307719047619048,0.23988732297771354,0.457582380952381,0.2407943066848382,0.5307795238095238,0.2311236109142059,0.6609890476190475,0.21106684081700272,0.8786828571428573,0.18351734395032296,1.258856666666667,0.13697025060288381,1.577814761904762,0.15469854562676083,0.24400000000000005,0.2542512630815687,0.47700000000000004,0.2289410317260731,0.6595000000000001,0.22453929857558838,1.2719999999999998,0.5642073989299897,1.7645000000000004,0.7491223093891912,2.1705,0.6879696520984986,2.5004999999999997,0.605583638367221,50596067254.1766,-0.5478755004422321,11482367114.4991,0.6028114228145056,85.1896726255448,0.6305191669451066,1.5,0.5189860879564375,0.6,0.5083661087650697,-97.8017,30.2307
9,2017-11,TX,AUSTIN,2017-11,3.4,"(-97.686098, 30.41115)",41305.11,New Construction,1.183300476190476,0.23988732297771354,1.2036563636363637,0.2407943066848382,1.2878790909090911,0.2311236109142059,1.3757831818181818,0.21106684081700272,1.4342040909090912,0.18351734395032296,1.6264599999999996,0.13697025060288381,1.9015695454545458,0.15469854562676083,1.09,0.2542512630815687,1.3895238095238096,0.2289410317260731,1.5600000000000003,0.22453929857558838,2.05,0.5642073989299897,2.353333333333333,0.7491223093891912,2.6023809523809525,0.6879696520984986,2.801904761904762,0.605583638367221,49256214828.7987,-0.5478755004422321,11537595366.1601,0.6028114228145056,88.11497433433529,0.6305191669451066,1.7,0.5189860879564375,0.5,0.5083661087650697,-97.686098,30.41115
