,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(2),Corr with auto_vol(2),student_vol(3),Corr with student_vol(3),credit_tightness(-4),Corr with credit_tightness(-4),mortgage 30-89(4),Corr with mortgage 30-89(4),mortgage 90(4),Corr with mortgage 90(4)
0,2011-05,NY,NEW YORK,2011-05,4.51,"(-73.90195200000001, 40.740414)",27401.42,Other FHA,0.130775,0.20253228771716847,0.16787249999999998,0.2096263504660571,0.1978005,0.22098215627505344,0.23078799999999994,0.22771860734508811,0.260713,0.23754669240548557,0.41407550000000004,0.25111563390294767,0.7391499999999999,0.27286130112818213,0.024285714285714285,0.2239139427835145,0.0866666666666667,0.23744908134130482,0.18809523809523812,0.25967145291594323,1.8423809523809527,0.440285110913987,3.168571428571429,0.6304864260470624,4.011428571428572,0.6043093582189949,4.293333333333333,0.5359617777252295,31992172727.7437,-0.16399454928616844,12477113046.1263,0.437329945248184,94.0022251537174,0.3768531308544012,3.0,0.23183474781204308,5.7,0.09783877939676344
1,2011-08,NY,NEW YORK,2011-08,3.95,"(-73.92, 40.87)",35233.91,Other FHA,0.14468363636363638,0.20253228771716847,0.18038681818181818,0.2096263504660571,0.21116590909090904,0.22098215627505344,0.24895727272727275,0.22771860734508811,0.29323772727272723,0.23754669240548557,0.45919454545454547,0.25111563390294767,0.7783581818181818,0.27286130112818213,0.017391304347826094,0.2239139427835145,0.06217391304347828,0.23744908134130482,0.11478260869565218,0.25967145291594323,1.021304347826087,0.440285110913987,2.303043478260869,0.6304864260470624,3.244782608695652,0.6043093582189949,3.6513043478260867,0.5359617777252295,34623712775.9563,-0.16399454928616844,11784187253.6333,0.437329945248184,92.5881563190625,0.3768531308544012,3.1,0.23183474781204308,6.0,0.09783877939676344
2,2012-02,NY,NEW YORK,2012-02,3.9,"(-73.989992, 40.710378999999996)",24588.8,Other FHA,0.1410714285714286,0.20253228771716847,0.19146190476190478,0.2096263504660571,0.2500238095238095,0.22098215627505344,0.3686547619047619,0.22771860734508811,0.5032404761904763,0.23754669240548557,0.7572880952380953,0.25111563390294767,1.0711880952380954,0.27286130112818213,0.06350000000000003,0.2239139427835145,0.124,0.23744908134130482,0.161,0.25967145291594323,0.8310000000000001,0.440285110913987,1.9674999999999998,0.6304864260470624,2.7479999999999998,0.6043093582189949,3.109,0.5359617777252295,36623269866.4569,-0.16399454928616844,12770391029.1034,0.437329945248184,91.3646878868074,0.3768531308544012,2.9,0.23183474781204308,6.0,0.09783877939676344
3,2012-03,NY,NEW YORK,2012-03,3.59,"(-87.617651, 41.769040999999994)",56023.815,Other FHA,0.14720000000000003,0.20253228771716847,0.1893409090909091,0.2096263504660571,0.24185227272727275,0.22098215627505344,0.35079999999999995,0.22771860734508811,0.4732886363636363,0.23754669240548557,0.741275,0.25111563390294767,1.0534477272727274,0.27286130112818213,0.06363636363636366,0.2239139427835145,0.14227272727272727,0.23744908134130482,0.19000000000000003,0.25967145291594323,1.0172727272727273,0.440285110913987,2.1727272727272724,0.6304864260470624,2.9404545454545454,0.6043093582189949,3.281363636363636,0.5359617777252295,36777908030.9335,-0.16399454928616844,14585937143.4485,0.437329945248184,90.35087768078328,0.3768531308544012,3.0,0.23183474781204308,6.0,0.09783877939676344
4,2012-07,NY,NEW YORK,2012-07,3.055,"(-73.978161, 40.726019)",140916.615,Other FHA,0.16720454545454547,0.20253228771716847,0.19873636363636368,0.2096263504660571,0.24646136363636365,0.22098215627505344,0.34024999999999994,0.22771860734508811,0.4535545454545455,0.23754669240548557,0.7302181818181818,0.25111563390294767,1.0653181818181816,0.27286130112818213,0.06952380952380956,0.2239139427835145,0.14571428571428574,0.23744908134130482,0.18571428571428572,0.25967145291594323,0.6195238095238095,0.440285110913987,1.5266666666666664,0.6304864260470624,2.217142857142857,0.6043093582189949,2.5900000000000003,0.5359617777252295,37571290060.6541,-0.16399454928616844,12022315813.7363,0.437329945248184,90.0868950067716,0.3768531308544012,2.7,0.23183474781204308,5.3,0.09783877939676344
5,2013-01,NY,NEW YORK,2013-01,2.97,"(-73.991962, 40.699914)",57093.51,Other FHA,0.16043181818181818,0.20253228771716847,0.17947272727272726,0.2096263504660571,0.20497272727272725,0.22098215627505344,0.2497954545454545,0.22771860734508811,0.30261363636363625,0.23754669240548557,0.48810454545454546,0.25111563390294767,0.8142727272727271,0.27286130112818213,0.05190476190476192,0.2239139427835145,0.10761904761904766,0.23744908134130482,0.14523809523809525,0.25967145291594323,0.8052380952380951,0.440285110913987,1.9147619047619049,0.6304864260470624,2.681428571428571,0.6043093582189949,3.0804761904761913,0.5359617777252295,39298206327.5877,-0.16399454928616844,9123117418.53368,0.437329945248184,89.513287195688,0.3768531308544012,2.5,0.23183474781204308,5.4,0.09783877939676344
6,2014-03,NY,NEW YORK,2014-03,3.9,"(-73.96716500000001, 40.792708000000005)",90118.56,Other FHA,0.0888,0.20253228771716847,0.1207452380952381,0.2096263504660571,0.15488333333333335,0.22098215627505344,0.19711666666666672,0.22771860734508811,0.23409761904761903,0.23754669240548557,0.33106666666666673,0.25111563390294767,0.5571428571428573,0.27286130112818213,0.051428571428571455,0.2239139427835145,0.07857142857142858,0.23744908134130482,0.1280952380952381,0.25967145291594323,1.6395238095238096,0.440285110913987,2.7233333333333327,0.6304864260470624,3.3466666666666667,0.6043093582189949,3.6209523809523807,0.5359617777252295,44462292713.4678,-0.16399454928616844,10121843859.6075,0.437329945248184,88.4263020205016,0.3768531308544012,2.2,0.23183474781204308,4.3,0.09783877939676344
7,2014-10,NY,NEW YORK,2014-10,3.7920000000000003,"(-73.9283878, 40.8055941)",74542.928,Other FHA,0.09059565217391304,0.20253228771716847,0.11953260869565213,0.2096263504660571,0.15351739130434783,0.22098215627505344,0.1974043478260869,0.22771860734508811,0.2313760869565217,0.23754669240548557,0.3236195652173913,0.25111563390294767,0.5523869565217392,0.27286130112818213,0.020909090909090912,0.2239139427835145,0.05045454545454548,0.23744908134130482,0.10454545454545458,0.25967145291594323,1.5459090909090911,0.440285110913987,2.304090909090909,0.6304864260470624,2.7731818181818184,0.6043093582189949,3.039999999999999,0.5359617777252295,45241950015.4561,-0.16399454928616844,11733364706.6996,0.437329945248184,81.9669757663089,0.3768531308544012,2.1,0.23183474781204308,3.9,0.09783877939676344
8,2015-06,NY,NEW YORK,2015-06,3.32,"(-73.946299, 40.793313)",110563.87,Other FHA,0.12293636363636364,0.20253228771716847,0.14681590909090908,0.2096263504660571,0.1858840909090909,0.22098215627505344,0.23472954545454539,0.22771860734508811,0.2827113636363637,0.23754669240548557,0.43974545454545466,0.25111563390294767,0.7702659090909093,0.27286130112818213,0.007727272727272728,0.2239139427835145,0.08681818181818185,0.23744908134130482,0.2754545454545455,0.25967145291594323,1.6836363636363636,0.440285110913987,2.3636363636363638,0.6304864260470624,2.8454545454545452,0.6043093582189949,3.1118181818181814,0.5359617777252295,48836554747.323,-0.16399454928616844,11492007418.0579,0.437329945248184,82.122236078369,0.3768531308544012,2.3,0.23183474781204308,3.2,0.09783877939676344
9,2015-08,NY,NEW YORK,2015-08,3.17,"(-74.002937, 40.752309000000004)",178496.83,Other FHA,0.13010000000000005,0.20253228771716847,0.151965,0.2096263504660571,0.1967275,0.22098215627505344,0.2610100000000001,0.22771860734508811,0.3207975,0.23754669240548557,0.5193599999999999,0.25111563390294767,0.8364375,0.27286130112818213,0.03523809523809525,0.2239139427835145,0.22000000000000006,0.23744908134130482,0.3757142857142857,0.25967145291594323,1.5414285714285714,0.440285110913987,2.167142857142857,0.6304864260470624,2.5466666666666664,0.6043093582189949,2.8557142857142854,0.5359617777252295,48752987466.2114,-0.16399454928616844,10798655053.3939,0.437329945248184,79.25862065623551,0.3768531308544012,2.3,0.23183474781204308,3.0,0.09783877939676344
