,PROPERTY STATE,PROPERTY CITY,Month,INTEREST RATE,Category,ON,spread between libor ON,Corr with libor ON,1W,spread between libor 1W,Corr with libor 1W,1M,spread between libor 1M,Corr with libor 1M,2M,spread between libor 2M,Corr with libor 2M,3M,spread between libor 3M,Corr with libor 3M,6M,spread between libor 6M,Corr with libor 6M,12M,spread between libor 12M,Corr with libor 12M,1 Mo,spread between 1 Mo treasury,Corr with 1 Mo treasury,6 Mo,spread between 6 Mo treasury,Corr with 6 Mo treasury,1 Yr,spread between 1 Yr treasury,Corr with 1 Yr treasury,5 Yr,spread between 5 Yr treasury,Corr with 5 Yr treasury,10 Yr,spread between 10 Yr treasury,Corr with 10 Yr treasury,20 Yr,spread between 20 Yr treasury,Corr with 20 Yr treasury,30 Yr,spread between 30 Yr treasury,Corr with 30 Yr treasury,auto_vol(2),Corr with auto_vol(2),student_vol,Corr with student_vol,credit_tightness(1),Corr with credit_tightness(1),mortgage 30-89(-3),Corr with mortgage 30-89(-3),mortgage 90(-2),Corr with mortgage 90(-2)
0,IN,ANDERSON,2010-03,4.39,Refinancing of Apt,0.20298217391304352,4.187017826086956,-0.1423508153916376,0.22118086956521738,4.168819130434782,-0.14635791788131763,0.23731173913043485,4.1526882608695646,-0.1584041756889945,0.25031173913043475,4.139688260869565,-0.1806427496562083,0.2684247826086957,4.121575217391304,-0.19944988346703243,0.41060652173913054,3.979393478260869,-0.2287602298068064,0.8732952173913044,3.516704782608695,-0.17709557583465058,0.11652173913043477,4.273478260869565,-0.17821236626323175,0.22565217391304354,4.164347826086956,-0.14626035390307818,0.3956521739130435,3.994347826086956,-0.0989123052824246,2.433043478260869,1.9569565217391305,0.6839773804908698,3.7273913043478255,0.6626086956521742,0.8605686460150159,4.489130434782608,-0.09913043478260875,0.8040652735786722,4.644782608695651,-0.2547826086956517,0.7831695909297023,27396832704.0094,-0.5089373011947442,14217328271.8582,0.5988492231450889,99.0214107435932,0.48588761929826774,4.5,0.42828132756814646,4.8,0.4228486885550971
1,IN,ANDERSON,2010-11,3.96,Refinancing of Apt,0.22869727272727272,3.7313027272727273,-0.1423508153916376,0.24913818181818187,3.7108618181818183,-0.14635791788131763,0.2541922727272727,3.7058077272727274,-0.1584041756889945,0.27004181818181816,3.6899581818181817,-0.1806427496562083,0.2871204545454545,3.6728795454545455,-0.19944988346703243,0.44597000000000014,3.51403,-0.2287602298068064,0.7651345454545454,3.1948654545454547,-0.17709557583465058,0.13400000000000004,3.826,-0.17821236626323175,0.182,3.778,-0.14626035390307818,0.25200000000000006,3.7079999999999997,-0.0989123052824246,1.35,2.61,0.6839773804908698,2.7630000000000003,1.1969999999999996,0.8605686460150159,3.817999999999999,0.1420000000000008,0.8040652735786722,4.186,-0.22599999999999998,0.7831695909297023,31618591270.7387,-0.5089373011947442,11082139451.8714,0.5988492231450889,94.7176548951663,0.48588761929826774,4.0,0.42828132756814646,3.7,0.4228486885550971
2,IN,ANDERSON,2012-11,2.35,Refinancing of Apt,0.1555,2.1945,-0.1423508153916376,0.18060909090909089,2.169390909090909,-0.14635791788131763,0.20888636363636362,2.1411136363636363,-0.1584041756889945,0.25813636363636355,2.0918636363636365,-0.1806427496562083,0.31102272727272723,2.038977272727273,-0.19944988346703243,0.528347727272727,1.821652272727273,-0.2287602298068064,0.8631931818181818,1.4868068181818184,-0.17709557583465058,0.12449999999999999,2.2255000000000003,-0.17821236626323175,0.14450000000000002,2.2055000000000002,-0.14626035390307818,0.17850000000000002,2.1715,-0.0989123052824246,0.665,1.685,0.6839773804908698,1.654,0.6960000000000002,0.8605686460150159,2.3894999999999995,-0.039499999999999424,0.8040652735786722,2.8034999999999997,-0.45349999999999957,0.7831695909297023,39268596272.9965,-0.5089373011947442,10740081615.3953,0.5988492231450889,89.2801736441717,0.48588761929826774,3.6,0.42828132756814646,3.3,0.4228486885550971
3,IN,ANDERSON,2014-09,3.4,Refinancing of Apt,0.09027272727272727,3.309727272727273,-0.1423508153916376,0.12087045454545454,3.2791295454545453,-0.14635791788131763,0.15410454545454544,3.2458954545454546,-0.1584041756889945,0.19699999999999998,3.203,-0.1806427496562083,0.23403181818181817,3.1659681818181817,-0.19944988346703243,0.32999090909090917,3.0700090909090907,-0.2287602298068064,0.5770545454545455,2.8229454545454544,-0.17709557583465058,0.01142857142857143,3.3885714285714283,-0.17821236626323175,0.04380952380952382,3.356190476190476,-0.14626035390307818,0.10952380952380954,3.2904761904761903,-0.0989123052824246,1.7738095238095242,1.6261904761904757,0.6839773804908698,2.5342857142857147,0.8657142857142852,0.8605686460150159,3.0133333333333328,0.38666666666666716,0.8040652735786722,3.26,0.14000000000000012,0.7831695909297023,44940573200.2924,-0.5089373011947442,11159124696.1814,0.5988492231450889,82.08517590205541,0.48588761929826774,2.7,0.42828132756814646,2.2,0.4228486885550971
4,IN,ANDERSON,2014-10,3.55,Refinancing of Apt,0.09059565217391304,3.4594043478260867,-0.1423508153916376,0.11953260869565213,3.4304673913043477,-0.14635791788131763,0.15351739130434783,3.396482608695652,-0.1584041756889945,0.1974043478260869,3.352595652173913,-0.1806427496562083,0.2313760869565217,3.3186239130434783,-0.19944988346703243,0.3236195652173913,3.2263804347826084,-0.2287602298068064,0.5523869565217392,2.9976130434782604,-0.17709557583465058,0.020909090909090912,3.529090909090909,-0.17821236626323175,0.05045454545454548,3.4995454545454545,-0.14626035390307818,0.10454545454545458,3.4454545454545453,-0.0989123052824246,1.5459090909090911,2.004090909090909,0.6839773804908698,2.304090909090909,1.2459090909090906,0.8605686460150159,2.7731818181818184,0.7768181818181814,0.8040652735786722,3.039999999999999,0.5100000000000007,0.7831695909297023,45241950015.4561,-0.5089373011947442,10950177839.1879,0.5988492231450889,82.72786465890579,0.48588761929826774,2.9,0.42828132756814646,2.2,0.4228486885550971
5,IN,ANDERSON,2015-11,3.38,Refinancing of Apt,0.13066666666666668,3.2493333333333334,-0.1423508153916376,0.1559214285714286,3.224078571428571,-0.14635791788131763,0.20844761904761913,3.171552380952381,-0.1584041756889945,0.286702380952381,3.093297619047619,-0.1806427496562083,0.3709714285714286,3.0090285714285714,-0.19944988346703243,0.6063738095238096,2.7736261904761905,-0.2287602298068064,0.9343738095238093,2.4456261904761907,-0.17709557583465058,0.07105263157894738,3.3089473684210526,-0.17821236626323175,0.32789473684210524,3.0521052631578947,-0.14626035390307818,0.47684210526315784,2.903157894736842,-0.0989123052824246,1.6710526315789473,1.7089473684210525,0.6839773804908698,2.2631578947368416,1.1168421052631583,0.8605686460150159,2.6863157894736847,0.6936842105263152,0.8040652735786722,3.03,0.3500000000000001,0.7831695909297023,48154770296.6926,-0.5089373011947442,10798655053.3939,0.5988492231450889,82.3313446344394,0.48588761929826774,2.8,0.42828132756814646,1.7,0.4228486885550971
6,IN,ANDERSON,2016-04,3.45,Refinancing of Apt,0.38031428571428566,3.0696857142857144,-0.1423508153916376,0.39864523809523805,3.0513547619047623,-0.14635791788131763,0.4373976190476192,3.012602380952381,-0.1584041756889945,0.5229452380952381,2.927054761904762,-0.1806427496562083,0.6327499999999999,2.8172500000000005,-0.19944988346703243,0.9025404761904764,2.5474595238095237,-0.2287602298068064,1.2222214285714286,2.227778571428572,-0.17709557583465058,0.18761904761904763,3.2623809523809526,-0.17821236626323175,0.37238095238095237,3.0776190476190477,-0.14626035390307818,0.5557142857142858,2.894285714285714,-0.0989123052824246,1.2580952380952382,2.191904761904762,0.6839773804908698,1.8052380952380953,1.6447619047619049,0.8605686460150159,2.2104761904761907,1.2395238095238095,0.8040652735786722,2.6233333333333335,0.8266666666666667,0.7831695909297023,49206523977.8161,-0.5089373011947442,10916249757.9916,0.5988492231450889,85.2359522201137,0.48588761929826774,2.8,0.42828132756814646,1.8,0.4228486885550971
7,IN,ANDERSON,2017-05,3.46,Refinancing of Apt,0.9286509523809523,2.531349047619048,-0.1423508153916376,0.9479980952380954,2.5120019047619047,-0.14635791788131763,1.0114261904761905,2.4485738095238094,-0.1584041756889945,1.0843647619047618,2.375635238095238,-0.1806427496562083,1.185849523809524,2.274150476190476,-0.19944988346703243,1.424545714285714,2.0354542857142857,-0.2287602298068064,1.7495038095238098,1.7104961904761902,-0.17709557583465058,0.7281818181818184,2.7318181818181815,-0.17821236626323175,1.035,2.425,-0.14626035390307818,1.1227272727272726,2.3372727272727274,-0.0989123052824246,1.836818181818182,1.623181818181818,0.6839773804908698,2.3036363636363633,1.1563636363636367,0.8605686460150159,2.695909090909091,0.7640909090909092,0.8040652735786722,2.9590909090909094,0.5009090909090905,0.7831695909297023,48416221734.2909,-0.5089373011947442,12747516848.3499,0.5988492231450889,88.94830277813108,0.48588761929826774,2.3,0.42828132756814646,1.2,0.4228486885550971
8,IN,ANDERSON,2017-09,3.25,Refinancing of Apt,1.1784444999999997,2.0715555000000005,-0.1423508153916376,1.1967471428571432,2.0532528571428568,-0.14635791788131763,1.23492,2.01508,-0.1584041756889945,1.2721638095238097,1.9778361904761903,-0.1806427496562083,1.3232957142857147,1.9267042857142853,-0.19944988346703243,1.4732157142857143,1.7767842857142857,-0.2287602298068064,1.738246666666667,1.511753333333333,-0.17709557583465058,0.9940000000000001,2.256,-0.17821236626323175,1.171,2.0789999999999997,-0.14626035390307818,1.2799999999999998,1.9700000000000002,-0.0989123052824246,1.7975,1.4525,0.6839773804908698,2.2020000000000004,1.0479999999999996,0.8605686460150159,2.5300000000000002,0.7199999999999998,0.8040652735786722,2.7764999999999995,0.4735000000000005,0.7831695909297023,50938614889.0817,-0.5089373011947442,11813706431.8634,0.5988492231450889,87.46440959377459,0.48588761929826774,2.0,0.42828132756814646,1.1,0.4228486885550971
9,IN,ANDERSON,2017-11,3.25,Refinancing of Apt,1.183300476190476,2.066699523809524,-0.1423508153916376,1.2036563636363637,2.0463436363636363,-0.14635791788131763,1.2878790909090911,1.9621209090909089,-0.1584041756889945,1.3757831818181818,1.8742168181818182,-0.1806427496562083,1.4342040909090912,1.8157959090909088,-0.19944988346703243,1.6264599999999996,1.6235400000000004,-0.2287602298068064,1.9015695454545458,1.3484304545454542,-0.17709557583465058,1.09,2.16,-0.17821236626323175,1.3895238095238096,1.8604761904761904,-0.14626035390307818,1.5600000000000003,1.6899999999999997,-0.0989123052824246,2.05,1.2000000000000002,0.6839773804908698,2.353333333333333,0.896666666666667,0.8605686460150159,2.6023809523809525,0.6476190476190475,0.8040652735786722,2.801904761904762,0.4480952380952381,0.7831695909297023,49589347299.2381,-0.5089373011947442,11707722927.962,0.5988492231450889,88.55316323110772,0.48588761929826774,2.2,0.42828132756814646,1.1,0.4228486885550971
