,PROPERTY STATE,PROPERTY CITY,Month,INTEREST RATE,Category,ON,spread between libor ON,Corr with libor ON,1W,spread between libor 1W,Corr with libor 1W,1M,spread between libor 1M,Corr with libor 1M,2M,spread between libor 2M,Corr with libor 2M,3M,spread between libor 3M,Corr with libor 3M,6M,spread between libor 6M,Corr with libor 6M,12M,spread between libor 12M,Corr with libor 12M,1 Mo,spread between 1 Mo treasury,Corr with 1 Mo treasury,6 Mo,spread between 6 Mo treasury,Corr with 6 Mo treasury,1 Yr,spread between 1 Yr treasury,Corr with 1 Yr treasury,5 Yr,spread between 5 Yr treasury,Corr with 5 Yr treasury,10 Yr,spread between 10 Yr treasury,Corr with 10 Yr treasury,20 Yr,spread between 20 Yr treasury,Corr with 20 Yr treasury,30 Yr,spread between 30 Yr treasury,Corr with 30 Yr treasury,auto_vol(3),Corr with auto_vol(3),student_vol(4),Corr with student_vol(4),credit_tightness(3),Corr with credit_tightness(3),mortgage 30-89(2),Corr with mortgage 30-89(2),mortgage 90(-2),Corr with mortgage 90(-2)
0,NV,HENDERSON,2011-01,2.9,Refinancing of Apt,0.2391115000000001,2.6608885,0.13477423212519546,0.25406500000000004,2.6459349999999997,0.14291149881940296,0.2606254999999999,2.6393745,0.13629958620334615,0.2827834999999999,2.6172165,0.11930050568759139,0.30341049999999997,2.5965895,0.09616748602722677,0.4554005000000002,2.4445995,0.025011467547683568,0.7818229999999999,2.118177,-0.035852964218164356,0.14099999999999996,2.759,0.14079184603824912,0.1815,2.7184999999999997,0.09370866644736374,0.27349999999999997,2.6265,0.03630402298451801,1.9944999999999997,0.9055000000000002,-0.1038182980386025,3.3940000000000006,-0.49400000000000066,-0.06632711255925511,4.281000000000001,-1.3810000000000007,-0.05343487620800354,4.5230000000000015,-1.6230000000000016,-0.06540463585810524,31252070876.7547,0.2187771789494981,13753511368.0623,-0.7183291318978259,92.5881563190625,-0.5775359687047802,3.5,-0.3458893288453123,9.0,-0.1789931166858635
1,NV,HENDERSON,2011-08,3.75,Refinancing of Apt,0.14468363636363638,3.6053163636363634,0.13477423212519546,0.18038681818181818,3.5696131818181818,0.14291149881940296,0.21116590909090904,3.538834090909091,0.13629958620334615,0.24895727272727275,3.5010427272727274,0.11930050568759139,0.29323772727272723,3.4567622727272727,0.09616748602722677,0.45919454545454547,3.2908054545454544,0.025011467547683568,0.7783581818181818,2.9716418181818183,-0.035852964218164356,0.017391304347826094,3.732608695652174,0.14079184603824912,0.06217391304347828,3.687826086956522,0.09370866644736374,0.11478260869565218,3.635217391304348,0.03630402298451801,1.021304347826087,2.728695652173913,-0.1038182980386025,2.303043478260869,1.4469565217391311,-0.06632711255925511,3.244782608695652,0.5052173913043481,-0.05343487620800354,3.6513043478260867,0.0986956521739133,-0.06540463585810524,34825519831.2788,0.2187771789494981,11508699084.1195,-0.7183291318978259,90.35087768078328,-0.5775359687047802,3.2,-0.3458893288453123,7.9,-0.1789931166858635
2,NV,HENDERSON,2013-12,4.41,Refinancing of Apt,0.10022500000000001,4.309775,0.13477423212519546,0.1273025,4.2826975,0.14291149881940296,0.16723,4.24277,0.13629958620334615,0.2127325,4.197267500000001,0.11930050568759139,0.24389749999999996,4.1661025,0.09616748602722677,0.34639499999999995,4.063605,0.025011467547683568,0.579045,3.8309550000000003,-0.035852964218164356,0.019047619047619053,4.390952380952381,0.14079184603824912,0.09523809523809526,4.314761904761905,0.09370866644736374,0.13285714285714287,4.277142857142858,0.03630402298451801,1.5761904761904764,2.833809523809524,-0.1038182980386025,2.901904761904762,1.5080952380952382,-0.06632711255925511,3.6266666666666674,0.7833333333333328,-0.05343487620800354,3.889047619047619,0.5209523809523811,-0.06540463585810524,44555116847.5878,0.2187771789494981,11032404366.8063,-0.7183291318978259,80.910251046009,-0.5775359687047802,1.9,-0.3458893288453123,4.2,-0.1789931166858635
3,NV,HENDERSON,2015-02,3.63,Refinancing of Apt,0.11784999999999998,3.51215,0.13477423212519546,0.13764249999999997,3.4923575,0.14291149881940296,0.17207499999999998,3.457925,0.13629958620334615,0.2121925,3.4178075,0.11930050568759139,0.25842,3.37158,0.09616748602722677,0.37596500000000005,3.254035,0.025011467547683568,0.6601375,2.9698624999999996,-0.035852964218164356,0.017894736842105265,3.6121052631578947,0.14079184603824912,0.07105263157894741,3.5589473684210526,0.09370866644736374,0.22421052631578947,3.4057894736842105,0.03630402298451801,1.472631578947368,2.157368421052632,-0.1038182980386025,1.9752631578947366,1.6547368421052633,-0.06632711255925511,2.3384210526315794,1.2915789473684205,-0.05343487620800354,2.566315789473684,1.0636842105263158,-0.06540463585810524,47692027772.9219,0.2187771789494981,11517159733.1957,-0.7183291318978259,83.34061286074021,-0.5775359687047802,1.5,-0.3458893288453123,3.3,-0.1789931166858635
4,NV,HENDERSON,2015-09,3.47,Refinancing of Apt,0.1344409090909091,3.335559090909091,0.13477423212519546,0.15661363636363634,3.313386363636364,0.14291149881940296,0.20107727272727274,3.2689227272727273,0.13629958620334615,0.26589318181818195,3.204106818181818,0.11930050568759139,0.3311113636363637,3.1388886363636366,0.09616748602722677,0.5371681818181817,2.9328318181818185,0.025011467547683568,0.8526636363636364,2.6173363636363636,-0.035852964218164356,0.008571428571428572,3.4614285714285717,0.14079184603824912,0.17952380952380947,3.2904761904761908,0.09370866644736374,0.3733333333333333,3.0966666666666667,0.03630402298451801,1.4900000000000002,1.98,-0.1038182980386025,2.1728571428571435,1.2971428571428567,-0.06632711255925511,2.618095238095238,0.8519047619047622,-0.05343487620800354,2.9528571428571433,0.5171428571428569,-0.06540463585810524,48291644449.3811,0.2187771789494981,11404853913.5663,-0.7183291318978259,82.3313446344394,-0.5775359687047802,1.6,-0.3458893288453123,2.8,-0.1789931166858635
5,NV,HENDERSON,2016-08,3.18,Refinancing of Apt,0.41817045454545454,2.7618295454545456,0.13477423212519546,0.4429568181818182,2.7370431818181817,0.14291149881940296,0.5122418181818182,2.667758181818182,0.13629958620334615,0.6351372727272727,2.5448627272727276,0.11930050568759139,0.810223181818182,2.369776818181818,0.09616748602722677,1.1977463636363632,1.982253636363637,0.025011467547683568,1.5097959090909088,1.6702040909090914,-0.035852964218164356,0.2608695652173914,2.9191304347826086,0.14079184603824912,0.4460869565217393,2.733913043478261,0.09370866644736374,0.5682608695652173,2.611739130434783,0.03630402298451801,1.1330434782608694,2.046956521739131,-0.1038182980386025,1.5565217391304347,1.6234782608695655,-0.06632711255925511,1.8895652173913038,1.2904347826086964,-0.05343487620800354,2.261739130434783,0.9182608695652172,-0.06540463585810524,49971382532.5922,0.2187771789494981,12605986919.9069,-0.7183291318978259,89.2057504560787,-0.5775359687047802,1.8,-0.3458893288453123,1.8,-0.1789931166858635
6,NV,HENDERSON,2016-11,3.55,Refinancing of Apt,0.4339245454545454,3.1160754545454545,0.13477423212519546,0.45880500000000013,3.091195,0.14291149881940296,0.5631090909090911,2.9868909090909086,0.13629958620334615,0.7006386363636362,2.8493613636363637,0.11930050568759139,0.9084640909090909,2.641535909090909,0.09616748602722677,1.2693081818181815,2.2806918181818183,0.025011467547683568,1.6029650000000002,1.9470349999999996,-0.035852964218164356,0.29999999999999993,3.25,0.14079184603824912,0.5834999999999999,2.9665,0.09370866644736374,0.736,2.814,0.03630402298451801,1.596,1.9539999999999997,-0.1038182980386025,2.142,1.408,-0.06632711255925511,2.5369999999999995,1.0130000000000003,-0.05343487620800354,2.8620000000000005,0.6879999999999993,-0.06540463585810524,48913265551.9221,0.2187771789494981,12509011080.2031,-0.7183291318978259,84.4501908643932,-0.5775359687047802,1.8,-0.3458893288453123,1.7,-0.1789931166858635
7,NV,HENDERSON,2017-03,3.93,Refinancing of Apt,0.8095565217391305,3.12044347826087,0.13477423212519546,0.8706386956521739,3.059361304347826,0.14291149881940296,0.9286352173913045,3.0013647826086958,0.13629958620334615,0.982656956521739,2.947343043478261,0.11930050568759139,1.134713043478261,2.795286956521739,0.09616748602722677,1.4258673913043478,2.5041326086956524,0.025011467547683568,1.8069104347826086,2.1230895652173913,-0.035852964218164356,0.662608695652174,3.267391304347826,0.14079184603824912,0.8856521739130436,3.0443478260869563,0.09370866644736374,1.0104347826086957,2.9195652173913045,0.03630402298451801,2.013478260869565,1.916521739130435,-0.1038182980386025,2.4817391304347827,1.4482608695652175,-0.06632711255925511,2.8317391304347823,1.0982608695652178,-0.05343487620800354,3.0813043478260873,0.8486956521739129,-0.06540463585810524,49068548953.9206,0.2187771789494981,11814606928.6527,-0.7183291318978259,88.94830277813108,-0.5775359687047802,1.5,-0.3458893288453123,1.5,-0.1789931166858635
8,NV,HENDERSON,2017-11,3.37,Refinancing of Apt,1.183300476190476,2.186699523809524,0.13477423212519546,1.2036563636363637,2.1663436363636364,0.14291149881940296,1.2878790909090911,2.082120909090909,0.13629958620334615,1.3757831818181818,1.9942168181818183,0.11930050568759139,1.4342040909090912,1.935795909090909,0.09616748602722677,1.6264599999999996,1.7435400000000005,0.025011467547683568,1.9015695454545458,1.4684304545454543,-0.035852964218164356,1.09,2.2800000000000002,0.14079184603824912,1.3895238095238096,1.9804761904761905,0.09370866644736374,1.5600000000000003,1.8099999999999998,0.03630402298451801,2.05,1.3200000000000003,-0.1038182980386025,2.353333333333333,1.016666666666667,-0.06632711255925511,2.6023809523809525,0.7676190476190476,-0.05343487620800354,2.801904761904762,0.5680952380952382,-0.06540463585810524,49574400061.0285,0.2187771789494981,11725018303.5706,-0.7183291318978259,87.010875232225,-0.5775359687047802,1.8,-0.3458893288453123,1.2,-0.1789931166858635
9,NV,HENDERSON,2018-03,3.6,Refinancing of Apt,1.5183047619047625,2.0816952380952376,0.13477423212519546,1.6006185714285712,1.9993814285714289,0.14291149881940296,1.7991309523809524,1.8008690476190476,0.13629958620334615,1.9184628571428568,1.6815371428571433,0.11930050568759139,2.173357619047619,1.426642380952381,0.09616748602722677,2.345182380952381,1.254817619047619,0.025011467547683568,2.596475714285714,1.003524285714286,-0.035852964218164356,1.636666666666667,1.9633333333333332,0.14079184603824912,1.917142857142857,1.682857142857143,0.09370866644736374,2.0628571428571427,1.5371428571428574,0.03630402298451801,2.6295238095238096,0.9704761904761905,-0.1038182980386025,2.8423809523809527,0.7576190476190474,-0.06632711255925511,2.9733333333333327,0.6266666666666674,-0.05343487620800354,3.0914285714285716,0.5085714285714285,-0.06540463585810524,50165072031.0326,0.2187771789494981,13062636860.3963,-0.7183291318978259,87.17587933428369,-0.5775359687047802,1.4,-0.3458893288453123,1.0,-0.1789931166858635
