,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(3),Corr with auto_vol(3),student_vol(-1),Corr with student_vol(-1),credit_tightness(-4),Corr with credit_tightness(-4),mortgage 30-89,Corr with mortgage 30-89,mortgage 90(3),Corr with mortgage 90(3)
0,2010-02,FL,JACKSONVILLE,2010-02,5.35,"(-81.776738, 30.269674)",7449.54,Refinancing of Apt,0.172487,0.007106711884368162,0.20809400000000006,0.00865931931294648,0.22906349999999992,0.013178338308249882,0.23978050000000012,0.01905887030603994,0.25051950000000006,0.02812234993868125,0.38779850000000005,0.02946618905550969,0.8515799999999999,0.06672821446541183,0.05736842105263157,0.02368100930898095,0.18105263157894735,0.025021564300300326,0.34578947368421054,0.04383561988752071,2.363684210526315,0.36791255306359183,3.691052631578947,0.5982582274976234,4.481052631578947,0.5885090669021255,4.619473684210526,0.5537902489662576,27396832704.0094,-0.43969801746948767,14107591663.4702,0.47828172553377135,101.129830992893,0.5124279039132787,4.5,0.39137420046294014,6.0,0.27630960589087744
1,2010-07,FL,JACKSONVILLE,2010-07,4.4,"(-81.392202, 30.304725)",16704.08,Refinancing of Apt,0.26711500000000005,0.007106711884368162,0.31483090909090916,0.00865931931294648,0.3341213636363637,0.013178338308249882,0.41480272727272727,0.01905887030603994,0.5103277272727272,0.02812234993868125,0.7185045454545452,0.02946618905550969,1.117797727272727,0.06672821446541183,0.15666666666666668,0.02368100930898095,0.20047619047619053,0.025021564300300326,0.2914285714285714,0.04383561988752071,1.7628571428571433,0.36791255306359183,3.0114285714285716,0.5982582274976234,3.796190476190476,0.5885090669021255,3.994285714285714,0.5537902489662576,30512069858.4251,-0.43969801746948767,11833891080.8667,0.47828172553377135,99.3021234972081,0.5124279039132787,4.7,0.39137420046294014,5.9,0.27630960589087744
2,2011-03,FL,JACKSONVILLE,2011-03,3.72,"(-81.699163, 30.433221999999997)",36662.63,Refinancing of Apt,0.2076739130434783,0.007106711884368162,0.23889782608695653,0.00865931931294648,0.2532847826086956,0.013178338308249882,0.2829456521739131,0.01905887030603994,0.30843478260869567,0.02812234993868125,0.4607826086956522,0.02946618905550969,0.7797065217391305,0.06672821446541183,0.06478260869565221,0.02368100930898095,0.15652173913043482,0.025021564300300326,0.25913043478260867,0.04383561988752071,2.1134782608695653,0.36791255306359183,3.414347826086956,0.5982582274976234,4.26608695652174,0.5885090669021255,4.5139130434782615,0.5537902489662576,31300541846.2612,-0.43969801746948767,11726514214.1317,0.47828172553377135,92.8594669911348,0.5124279039132787,4.0,0.39137420046294014,6.1,0.27630960589087744
3,2011-12,FL,JACKSONVILLE,2011-12,4.3,"(-81.600567, 30.249534000000004)",53722.48,Refinancing of Apt,0.1499335,0.007106711884368162,0.2029985,0.00865931931294648,0.2836085,0.013178338308249882,0.40829250000000006,0.01905887030603994,0.5557375,0.02812234993868125,0.7798775000000001,0.02946618905550969,1.1003555000000003,0.06672821446541183,0.0033333333333333335,0.02368100930898095,0.048571428571428585,0.025021564300300326,0.11523809523809528,0.04383561988752071,0.8914285714285713,0.36791255306359183,1.9780952380952384,0.5982582274976234,2.6676190476190476,0.5885090669021255,2.9823809523809524,0.5537902489662576,35767585536.868996,-0.43969801746948767,11784187253.6333,0.47828172553377135,88.33905735772379,0.5124279039132787,4.2,0.39137420046294014,6.8,0.27630960589087744
4,2012-05,FL,JACKSONVILLE,2012-05,3.65,"(-81.722208, 30.404020000000003)",20524.92,Refinancing of Apt,0.15161363636363637,0.007106711884368162,0.19053181818181822,0.00865931931294648,0.23893181818181805,0.013178338308249882,0.3457045454545453,0.01905887030603994,0.4665318181818183,0.02812234993868125,0.732990909090909,0.02946618905550969,1.0615068181818177,0.06672821446541183,0.06590909090909093,0.02368100930898095,0.14545454545454548,0.025021564300300326,0.19181818181818186,0.04383561988752071,0.7618181818181818,0.36791255306359183,1.8031818181818189,0.5982582274976234,2.525909090909091,0.5885090669021255,2.930909090909091,0.5537902489662576,37160101000.5239,-0.43969801746948767,11641401212.0971,0.47828172553377135,90.7743282432688,0.5124279039132787,3.6,0.39137420046294014,6.4,0.27630960589087744
5,2012-09,FL,JACKSONVILLE,2012-09,4.118,"(-81.685245, 30.373781)",30591.86,Refinancing of Apt,0.15189500000000006,0.007106711884368162,0.183625,0.00865931931294648,0.22133750000000002,0.013178338308249882,0.3079875,0.01905887030603994,0.3856325000000001,0.02812234993868125,0.6716749999999999,0.02946618905550969,0.9997750000000002,0.06672821446541183,0.07526315789473685,0.02368100930898095,0.13736842105263158,0.025021564300300326,0.17578947368421055,0.04383561988752071,0.6689473684210526,0.36791255306359183,1.7231578947368422,0.5982582274976234,2.488421052631579,0.5885090669021255,2.8815789473684212,0.5537902489662576,38808856509.5085,-0.43969801746948767,11986368496.8635,0.47828172553377135,89.6038877472871,0.5124279039132787,4.3,0.39137420046294014,6.2,0.27630960589087744
6,2013-01,FL,JACKSONVILLE,2013-01,3.17,"(-81.49149, 30.293789)",161077.46,Refinancing of Apt,0.16043181818181818,0.007106711884368162,0.17947272727272726,0.00865931931294648,0.20497272727272725,0.013178338308249882,0.2497954545454545,0.01905887030603994,0.30261363636363625,0.02812234993868125,0.48810454545454546,0.02946618905550969,0.8142727272727271,0.06672821446541183,0.05190476190476192,0.02368100930898095,0.10761904761904766,0.025021564300300326,0.14523809523809525,0.04383561988752071,0.8052380952380951,0.36791255306359183,1.9147619047619049,0.5982582274976234,2.681428571428571,0.5885090669021255,3.0804761904761913,0.5537902489662576,40395555554.9932,-0.43969801746948767,11337096053.4966,0.47828172553377135,89.513287195688,0.5124279039132787,4.2,0.39137420046294014,5.8,0.27630960589087744
7,2013-02,FL,JACKSONVILLE,2013-02,4.0145,"(-81.52991999999999, 30.284109)",32904.76,Refinancing of Apt,0.15464999999999998,0.007106711884368162,0.17315,0.00865931931294648,0.20129999999999998,0.013178338308249882,0.2455,0.01905887030603994,0.29049499999999995,0.02812234993868125,0.463425,0.02946618905550969,0.761875,0.06672821446541183,0.0768421052631579,0.02368100930898095,0.12421052631578947,0.025021564300300326,0.15736842105263157,0.04383561988752071,0.8463157894736841,0.36791255306359183,1.9842105263157896,0.5982582274976234,2.782631578947368,0.5885090669021255,3.165263157894737,0.5537902489662576,40995097959.5386,-0.43969801746948767,11154944519.578999,0.47828172553377135,90.37816904639429,0.5124279039132787,3.9,0.39137420046294014,5.5,0.27630960589087744
8,2013-04,FL,JACKSONVILLE,2013-04,2.62,"(-81.672457, 30.458091999999997)",59652.94,Refinancing of Apt,0.1539047619047619,0.007106711884368162,0.17210476190476193,0.00865931931294648,0.19953333333333334,0.013178338308249882,0.24005714285714277,0.01905887030603994,0.27714285714285714,0.02812234993868125,0.4360190476190476,0.02946618905550969,0.7168333333333334,0.06672821446541183,0.049090909090909116,0.02368100930898095,0.09409090909090913,0.025021564300300326,0.12454545454545456,0.04383561988752071,0.7104545454545454,0.36791255306359183,1.7590909090909093,0.5982582274976234,2.5500000000000003,0.5885090669021255,2.9327272727272726,0.5537902489662576,41471481477.9035,-0.43969801746948767,9855625468.0504,0.47828172553377135,89.2801736441717,0.5124279039132787,3.2,0.39137420046294014,4.6,0.27630960589087744
9,2013-12,FL,JACKSONVILLE,2013-12,4.29,"(-84.32983399999999, 30.452514)",18008.34,Refinancing of Apt,0.10022500000000001,0.007106711884368162,0.1273025,0.00865931931294648,0.16723,0.013178338308249882,0.2127325,0.01905887030603994,0.24389749999999996,0.02812234993868125,0.34639499999999995,0.02946618905550969,0.579045,0.06672821446541183,0.019047619047619053,0.02368100930898095,0.09523809523809526,0.025021564300300326,0.13285714285714287,0.04383561988752071,1.5761904761904764,0.36791255306359183,2.901904761904762,0.5982582274976234,3.6266666666666674,0.5885090669021255,3.889047619047619,0.5537902489662576,44555116847.5878,-0.43969801746948767,10396023519.0372,0.47828172553377135,88.1059676388142,0.5124279039132787,3.4,0.39137420046294014,4.0,0.27630960589087744
