,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(-2),Corr with auto_vol(-2),student_vol(4),Corr with student_vol(4),credit_tightness(2),Corr with credit_tightness(2),mortgage 30-89(-3),Corr with mortgage 30-89(-3),mortgage 90(-3),Corr with mortgage 90(-3),long,lat
0,2010-12,TN,CHATTANOOGA,2010-12,4.55,"(-85.135774, 35.047674)",27946.5,Refinancing_Purchase of Apartments_Coops,0.24122190476190472,0.36939442323671057,0.25412380952380953,0.3607281508017423,0.26178857142857137,0.3513203682929815,0.28196571428571415,0.33379068563741,0.30272333333333334,0.3024278189672592,0.4583942857142857,0.2354520992553279,0.7839004761904763,0.20203968128247835,0.0854166666666667,0.36539373186395624,0.19333333333333338,0.37002951874413437,0.2937499999999999,0.36593974696997333,1.9429166666666664,0.6599122791195953,3.2949999999999995,0.7687880757442861,4.173333333333333,0.6150991925168853,4.415,0.5149169215754363,30512069858.4251,0.02993069640720332,15995126134.7035,0.5542327374028689,93.74313363440879,0.1880043273990206,4.5,0.33681190867155103,3.6,-0.07848298341639247,-85.135774,35.047674
1,2012-05,TN,CHATTANOOGA,2012-05,3.5,"(-85.164902, 35.012265)",97222.08,Refinancing_Purchase of Apartments_Coops,0.15161363636363637,0.36939442323671057,0.19053181818181822,0.3607281508017423,0.23893181818181805,0.3513203682929815,0.3457045454545453,0.33379068563741,0.4665318181818183,0.3024278189672592,0.732990909090909,0.2354520992553279,1.0615068181818177,0.20203968128247835,0.06590909090909093,0.36539373186395624,0.14545454545454548,0.37002951874413437,0.19181818181818186,0.36593974696997333,0.7618181818181818,0.6599122791195953,1.8031818181818189,0.7687880757442861,2.525909090909091,0.6150991925168853,2.930909090909091,0.5149169215754363,35767585536.868996,0.02993069640720332,11631947675.6117,0.5542327374028689,89.02745876405929,0.1880043273990206,3.6,0.33681190867155103,3.0,-0.07848298341639247,-85.164902,35.012265
2,2012-08,TN,CHATTANOOGA,2012-08,3.08,"(-89.81822259999998, 39.3883761)",40038.34,Refinancing_Purchase of Apartments_Coops,0.15374090909090915,0.36939442323671057,0.18745454545454548,0.3607281508017423,0.23783863636363634,0.3513203682929815,0.3331136363636364,0.33379068563741,0.43259999999999993,0.3024278189672592,0.7177749999999997,0.2354520992553279,1.0426272727272727,0.20203968128247835,0.09217391304347829,0.36539373186395624,0.14043478260869566,0.37002951874413437,0.18347826086956526,0.36593974696997333,0.7139130434782609,0.6599122791195953,1.6782608695652175,0.7687880757442861,2.3978260869565218,0.6150991925168853,2.7708695652173914,0.5149169215754363,36186315501.0541,0.02993069640720332,11337096053.4966,0.5542327374028689,90.37816904639429,0.1880043273990206,3.0,0.33681190867155103,2.8,-0.07848298341639247,-89.81822259999998,39.3883761
3,2012-09,TN,CHATTANOOGA,2012-09,3.18,"(-85.19009100000001, 35.092651000000004)",70289.75,Refinancing_Purchase of Apartments_Coops,0.15189500000000006,0.36939442323671057,0.183625,0.3607281508017423,0.22133750000000002,0.3513203682929815,0.3079875,0.33379068563741,0.3856325000000001,0.3024278189672592,0.6716749999999999,0.2354520992553279,0.9997750000000002,0.20203968128247835,0.07526315789473685,0.36539373186395624,0.13736842105263158,0.37002951874413437,0.17578947368421055,0.36593974696997333,0.6689473684210526,0.6599122791195953,1.7231578947368422,0.7687880757442861,2.488421052631579,0.6150991925168853,2.8815789473684212,0.5149169215754363,36601383816.48,0.02993069640720332,11154944519.578999,0.5542327374028689,90.2956809830492,0.1880043273990206,3.3,0.33681190867155103,3.0,-0.07848298341639247,-85.19009100000001,35.092651000000004
4,2013-06,TN,CHATTANOOGA,2013-06,3.395,"(-85.1590512, 35.0080781)",30814.379999999997,Refinancing_Purchase of Apartments_Coops,0.13074,0.36939442323671057,0.15964599999999998,0.3607281508017423,0.19319250000000002,0.3513203682929815,0.23164600000000002,0.33379068563741,0.27374,0.3024278189672592,0.4139935,0.2354520992553279,0.6839425000000002,0.20203968128247835,0.0345,0.36539373186395624,0.08750000000000002,0.37002951874413437,0.142,0.36593974696997333,1.2035,0.6599122791195953,2.3000000000000003,0.7687880757442861,3.0740000000000003,0.6150991925168853,3.400000000000001,0.5149169215754363,40395555554.9932,0.02993069640720332,9473893018.88319,0.5542327374028689,88.1059676388142,0.1880043273990206,3.4,0.33681190867155103,2.8,-0.07848298341639247,-85.1590512,35.0080781
5,2013-09,TN,CHATTANOOGA,2013-09,4.1,"(-85.168485, 35.015784000000004)",104654.76,Refinancing_Purchase of Apartments_Coops,0.11272380952380952,0.36939442323671057,0.14323238095238094,0.3607281508017423,0.18057476190476196,0.3513203682929815,0.22133904761904755,0.33379068563741,0.2531785714285715,0.3024278189672592,0.38033809523809525,0.2354520992553279,0.6526857142857143,0.20203968128247835,0.017500000000000005,0.36539373186395624,0.04150000000000001,0.37002951874413437,0.11850000000000002,0.36593974696997333,1.5959999999999999,0.6599122791195953,2.8095,0.7687880757442861,3.526,0.6150991925168853,3.7870000000000004,0.5149169215754363,41471481477.9035,0.02993069640720332,9438159522.248821,0.5542327374028689,88.4263020205016,0.1880043273990206,3.7,0.33681190867155103,2.3,-0.07848298341639247,-85.168485,35.015784000000004
6,2015-11,TN,CHATTANOOGA,2015-11,3.98,"(-85.1590512, 35.0080781)",32346.4,Refinancing_Purchase of Apartments_Coops,0.13066666666666668,0.36939442323671057,0.1559214285714286,0.3607281508017423,0.20844761904761913,0.3513203682929815,0.286702380952381,0.33379068563741,0.3709714285714286,0.3024278189672592,0.6063738095238096,0.2354520992553279,0.9343738095238093,0.20203968128247835,0.07105263157894738,0.36539373186395624,0.32789473684210524,0.37002951874413437,0.47684210526315784,0.36593974696997333,1.6710526315789473,0.6599122791195953,2.2631578947368416,0.7687880757442861,2.6863157894736847,0.6150991925168853,3.03,0.5149169215754363,49379202635.7798,0.02993069640720332,11362184412.0981,0.5542327374028689,83.80897781081251,0.1880043273990206,2.8,0.33681190867155103,1.6,-0.07848298341639247,-85.1590512,35.0080781
7,2016-12,TN,CHATTANOOGA,2016-12,3.31,"(118.610451, -20.312820000000002)",28354.17,Refinancing_Purchase of Apartments_Coops,0.5606285,0.36939442323671057,0.6315605,0.3607281508017423,0.7119585,0.3513203682929815,0.7883325000000001,0.33379068563741,0.9753284999999998,0.3024278189672592,1.3063339999999999,0.2354520992553279,1.6692235,0.20203968128247835,0.42333333333333334,0.36539373186395624,0.638095238095238,0.37002951874413437,0.8661904761904763,0.36593974696997333,1.9590476190476194,0.6599122791195953,2.491904761904762,0.7687880757442861,2.835238095238095,0.6150991925168853,3.1133333333333324,0.5149169215754363,50034086230.3872,0.02993069640720332,12388258203.7622,0.5542327374028689,84.4501908643932,0.1880043273990206,2.6,0.33681190867155103,1.2,-0.07848298341639247,118.610451,-20.312820000000002
8,2017-07,TN,CHATTANOOGA,2017-07,3.6,"(-85.319013, 35.047841)",44101.39,Refinancing_Purchase of Apartments_Coops,1.1766928571428568,0.36939442323671057,1.1913757142857144,0.3607281508017423,1.2280366666666667,0.3513203682929815,1.2566676190476191,0.33379068563741,1.307512857142857,0.3024278189672592,1.4570814285714284,0.2354520992553279,1.7410885714285718,0.20203968128247835,0.9720000000000001,0.36539373186395624,1.1284999999999996,0.37002951874413437,1.2235,0.36593974696997333,1.8720000000000003,0.6599122791195953,2.3179999999999996,0.7687880757442861,2.6505,0.6150991925168853,2.884,0.5149169215754363,48693341763.9087,0.02993069640720332,11707722927.962,0.5542327374028689,89.9213768261837,0.1880043273990206,2.4,0.33681190867155103,1.1,-0.07848298341639247,-85.319013,35.047841
9,2017-12,TN,CHATTANOOGA,2017-12,3.83,"(-85.316224, 35.032849)",69549.89,Refinancing_Purchase of Apartments_Coops,1.3144094736842107,0.36939442323671057,1.3913115789473685,0.3607281508017423,1.4850410526315792,0.3513203682929815,1.5354463157894738,0.33379068563741,1.6017521052631578,0.3024278189672592,1.7680373684210524,0.2354520992553279,2.0434931578947366,0.20203968128247835,1.204,0.36539373186395624,1.4950000000000003,0.37002951874413437,1.7005,0.36593974696997333,2.1819999999999995,0.6599122791195953,2.4025,0.7687880757442861,2.5970000000000004,0.6150991925168853,2.768,0.5149169215754363,49855182727.6109,0.02993069640720332,12344213844.2875,0.5542327374028689,87.010875232225,0.1880043273990206,2.6,0.33681190867155103,0.7,-0.07848298341639247,-85.316224,35.032849
