,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('PROPERTY ZIP', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(4),Corr with auto_vol(4),student_vol(-4),Corr with student_vol(-4),credit_tightness(4),Corr with credit_tightness(4),mortgage 30-89(-2),Corr with mortgage 30-89(-2),mortgage 90(4),Corr with mortgage 90(4),long,lat
0,2012-06,PA,PHILADELPHIA,2012-06,3.05,"(-75.179736, 39.952471)",19103,244370.59,Refinancing_Purchase of Apartments_Coops,0.163,0.30931774596988165,0.19464736842105262,0.3126508567133778,0.24319736842105263,0.31766608446950795,0.3459342105263157,0.3107089435931286,0.46558684210526313,0.29345933789596046,0.7364000000000004,0.2373050855887442,1.0691894736842107,0.21200599794216385,0.05190476190476193,0.3551806462597713,0.14809523809523809,0.325904516345727,0.18904761904761905,0.3207384553789811,0.7114285714285714,0.5987280768406547,1.6223809523809525,0.8059544829763294,2.3061904761904763,0.7174381703167675,2.698095238095238,0.6190275766376678,37685204803.0042,0.31736858516524136,10728874885.7875,-0.5379700907865856,90.37816904639429,-0.6379045611525461,3.6,-0.35420094620116294,4.3,-0.28195229164436764,-75.179736,39.952471
1,2012-11,PA,PHILADELPHIA,2012-11,2.29,"(-75.232851, 39.963752)",19139,22165.69,Refinancing_Purchase of Apartments_Coops,0.1555,0.30931774596988165,0.18060909090909089,0.3126508567133778,0.20888636363636362,0.31766608446950795,0.25813636363636355,0.3107089435931286,0.31102272727272723,0.29345933789596046,0.528347727272727,0.2373050855887442,0.8631931818181818,0.21200599794216385,0.12449999999999999,0.3551806462597713,0.14450000000000002,0.325904516345727,0.17850000000000002,0.3207384553789811,0.665,0.5987280768406547,1.654,0.8059544829763294,2.3894999999999995,0.7174381703167675,2.8034999999999997,0.6190275766376678,39298206327.5877,0.31736858516524136,16111780903.4699,-0.5379700907865856,88.920473853359,-0.6379045611525461,4.1,-0.35420094620116294,4.3,-0.28195229164436764,-75.232851,39.963752
2,2013-03,PA,PHILADELPHIA,2013-03,2.73,"(-75.01678000000001, 40.096454)",19115,52933.09,Refinancing_Purchase of Apartments_Coops,0.15505000000000002,0.30931774596988165,0.17309999999999998,0.3126508567133778,0.20345,0.31766608446950795,0.2419,0.3107089435931286,0.28190000000000004,0.29345933789596046,0.44782500000000003,0.2373050855887442,0.7351250000000001,0.21200599794216385,0.07800000000000003,0.3551806462597713,0.11450000000000005,0.325904516345727,0.14750000000000002,0.3207384553789811,0.8185000000000002,0.5987280768406547,1.9575,0.8059544829763294,2.7840000000000003,0.7174381703167675,3.1625000000000005,0.6190275766376678,41471481477.9035,0.31736858516524136,10740081615.3953,-0.5379700907865856,90.32258801944451,-0.6379045611525461,4.1,-0.35420094620116294,3.9,-0.28195229164436764,-75.01678000000001,40.096454
3,2013-09,PA,PHILADELPHIA,2013-09,4.0600000000000005,"(-75.163673, 39.944275)",19147,26430.095,Refinancing_Purchase of Apartments_Coops,0.11272380952380952,0.30931774596988165,0.14323238095238094,0.3126508567133778,0.18057476190476196,0.31766608446950795,0.22133904761904755,0.3107089435931286,0.2531785714285715,0.29345933789596046,0.38033809523809525,0.2373050855887442,0.6526857142857143,0.21200599794216385,0.017500000000000005,0.3551806462597713,0.04150000000000001,0.325904516345727,0.11850000000000002,0.3207384553789811,1.5959999999999999,0.5987280768406547,2.8095,0.8059544829763294,3.526,0.7174381703167675,3.7870000000000004,0.6190275766376678,42151687038.4775,0.31736858516524136,9498561196.652071,-0.5379700907865856,84.4459748156831,-0.6379045611525461,3.6,-0.35420094620116294,3.7,-0.28195229164436764,-75.163673,39.944275
4,2013-10,PA,PHILADELPHIA,2013-10,4.15,"(-75.127966, 39.991766999999996)",19134,29880.0,Refinancing_Purchase of Apartments_Coops,0.10426086956521738,0.30931774596988165,0.13668260869565219,0.3126508567133778,0.17241521739130433,0.31766608446950795,0.21265,0.3107089435931286,0.2417652173913043,0.29345933789596046,0.36121521739130424,0.2373050855887442,0.6177847826086957,0.21200599794216385,0.1059090909090909,0.3551806462597713,0.07590909090909094,0.325904516345727,0.12136363636363635,0.3207384553789811,1.366818181818182,0.5987280768406547,2.615909090909091,0.8059544829763294,3.3795454545454544,0.7174381703167675,3.6759090909090903,0.6190275766376678,43204378466.7468,0.31736858516524136,9260696074.4491,-0.5379700907865856,83.69462947740479,-0.6379045611525461,3.6,-0.35420094620116294,3.5,-0.28195229164436764,-75.127966,39.991766999999996
5,2013-11,PA,PHILADELPHIA,2013-11,5.0,"(-75.185415, 40.039507)",19111,29775.64,Refinancing_Purchase of Apartments_Coops,0.10274761904761903,0.30931774596988165,0.12919047619047616,0.3126508567133778,0.1672714285714286,0.31766608446950795,0.20747142857142856,0.3107089435931286,0.2382452380952381,0.29345933789596046,0.35063809523809525,0.2373050855887442,0.5866738095238094,0.21200599794216385,0.046842105263157914,0.3551806462597713,0.09842105263157898,0.325904516345727,0.12157894736842105,0.3207384553789811,1.3710526315789473,0.5987280768406547,2.7184210526315793,0.8059544829763294,3.503684210526316,0.7174381703167675,3.7999999999999985,0.6190275766376678,44555116847.5878,0.31736858516524136,8901986132.75728,-0.5379700907865856,80.910251046009,-0.6379045611525461,3.2,-0.35420094620116294,3.4,-0.28195229164436764,-75.185415,40.039507
6,2014-09,PA,PHILADELPHIA,2014-09,3.825,"(-75.212389, 40.002477)",19131,91060.865,Refinancing_Purchase of Apartments_Coops,0.09027272727272727,0.30931774596988165,0.12087045454545454,0.3126508567133778,0.15410454545454544,0.31766608446950795,0.19699999999999998,0.3107089435931286,0.23403181818181817,0.29345933789596046,0.32999090909090917,0.2373050855887442,0.5770545454545455,0.21200599794216385,0.01142857142857143,0.3551806462597713,0.04380952380952382,0.325904516345727,0.10952380952380954,0.3207384553789811,1.7738095238095242,0.5987280768406547,2.5342857142857147,0.8059544829763294,3.0133333333333328,0.7174381703167675,3.26,0.6190275766376678,45667781053.6763,0.31736858516524136,9507943209.106209,-0.5379700907865856,80.33849809561521,-0.6379045611525461,3.2,-0.35420094620116294,3.3,-0.28195229164436764,-75.212389,40.002477
7,2014-10,PA,PHILADELPHIA,2014-10,3.98,"(-75.155519, 39.955784)",19107,14645.9,Refinancing_Purchase of Apartments_Coops,0.09059565217391304,0.30931774596988165,0.11953260869565213,0.3126508567133778,0.15351739130434783,0.31766608446950795,0.1974043478260869,0.3107089435931286,0.2313760869565217,0.29345933789596046,0.3236195652173913,0.2373050855887442,0.5523869565217392,0.21200599794216385,0.020909090909090912,0.3551806462597713,0.05045454545454548,0.325904516345727,0.10454545454545458,0.3207384553789811,1.5459090909090911,0.5987280768406547,2.304090909090909,0.8059544829763294,2.7731818181818184,0.7174381703167675,3.039999999999999,0.6190275766376678,45758876905.2845,0.31736858516524136,10121843859.6075,-0.5379700907865856,82.122236078369,-0.6379045611525461,3.4,-0.35420094620116294,3.2,-0.28195229164436764,-75.155519,39.955784
8,2014-11,PA,PHILADELPHIA,2014-11,3.67,"(-75.168593, 39.942397)",19146,40570.95,Refinancing_Purchase of Apartments_Coops,0.09656999999999999,0.30931774596988165,0.12222499999999999,0.3126508567133778,0.1548075,0.31766608446950795,0.20246,0.3107089435931286,0.23286250000000003,0.29345933789596046,0.32679500000000006,0.2373050855887442,0.56206,0.21200599794216385,0.04166666666666668,0.3551806462597713,0.06944444444444448,0.325904516345727,0.13444444444444448,0.3207384553789811,1.6205555555555557,0.5987280768406547,2.325555555555556,0.8059544829763294,2.7644444444444445,0.7174381703167675,3.038333333333333,0.6190275766376678,47944164595.1044,0.31736858516524136,10638305940.4607,-0.5379700907865856,82.23381292700279,-0.6379045611525461,3.2,-0.35420094620116294,3.0,-0.28195229164436764,-75.168593,39.942397
9,2015-08,PA,PHILADELPHIA,2015-08,3.5,"(-94.71158100000001, 39.129090999999995)",19139,21036.08,Refinancing_Purchase of Apartments_Coops,0.13010000000000005,0.30931774596988165,0.151965,0.3126508567133778,0.1967275,0.31766608446950795,0.2610100000000001,0.3107089435931286,0.3207975,0.29345933789596046,0.5193599999999999,0.2373050855887442,0.8364375,0.21200599794216385,0.03523809523809525,0.3551806462597713,0.22000000000000006,0.325904516345727,0.3757142857142857,0.3207384553789811,1.5414285714285714,0.5987280768406547,2.167142857142857,0.8059544829763294,2.5466666666666664,0.7174381703167675,2.8557142857142854,0.6190275766376678,48291644449.3811,0.31736858516524136,11835194000.8273,-0.5379700907865856,82.3313446344394,-0.6379045611525461,2.7,-0.35420094620116294,2.7,-0.28195229164436764,-94.71158100000001,39.129090999999995
10,2016-06,PA,PHILADELPHIA,2016-06,3.58,"(-75.052459, 40.04776)",19152,71718.35,Refinancing_Purchase of Apartments_Coops,0.3904409090909091,0.30931774596988165,0.41572500000000007,0.3126508567133778,0.4527090909090909,0.31766608446950795,0.5394386363636363,0.3107089435931286,0.6516204545454546,0.29345933789596046,0.9360386363636366,0.2373050855887442,1.2592227272727274,0.21200599794216385,0.22136363636363632,0.3551806462597713,0.40409090909090906,0.325904516345727,0.5522727272727272,0.3207384553789811,1.1663636363636367,0.5987280768406547,1.6440909090909095,0.8059544829763294,2.019090909090909,0.7174381703167675,2.452272727272727,0.6190275766376678,50034086230.3872,0.31736858516524136,11240513229.2606,-0.5379700907865856,88.43997566936979,-0.6379045611525461,2.5,-0.35420094620116294,2.3,-0.28195229164436764,-75.052459,40.04776
11,2016-09,PA,PHILADELPHIA,2016-09,2.97,"(-80.04760300000001, 40.558318)",19152,138259.98,Refinancing_Purchase of Apartments_Coops,0.42159363636363634,0.30931774596988165,0.4495609090909092,0.3126508567133778,0.5270018181818182,0.31766608446950795,0.6625254545454545,0.3107089435931286,0.8496804545454547,0.29345933789596046,1.2471445454545458,0.2373050855887442,1.5560313636363639,0.21200599794216385,0.1914285714285715,0.3551806462597713,0.4671428571428572,0.325904516345727,0.5933333333333333,0.3207384553789811,1.178095238095238,0.5987280768406547,1.6304761904761906,0.8059544829763294,2.0152380952380957,0.7174381703167675,2.350476190476191,0.6190275766376678,49588706606.1033,0.31736858516524136,11703539581.608,-0.5379700907865856,87.62096056152771,-0.6379045611525461,2.9,-0.35420094620116294,2.4,-0.28195229164436764,-80.04760300000001,40.558318
12,2016-10,PA,PHILADELPHIA,2016-10,2.975,"(-75.128615, 40.056144)",19126,45556.445,Refinancing_Purchase of Apartments_Coops,0.4307719047619048,0.30931774596988165,0.457582380952381,0.3126508567133778,0.5307795238095238,0.31766608446950795,0.6609890476190475,0.3107089435931286,0.8786828571428573,0.29345933789596046,1.258856666666667,0.2373050855887442,1.577814761904762,0.21200599794216385,0.24400000000000005,0.3551806462597713,0.47700000000000004,0.325904516345727,0.6595000000000001,0.3207384553789811,1.2719999999999998,0.5987280768406547,1.7645000000000004,0.8059544829763294,2.1705,0.7174381703167675,2.5004999999999997,0.6190275766376678,48913265551.9221,0.31736858516524136,11496937509.4445,-0.5379700907865856,84.4501908643932,-0.6379045611525461,3.0,-0.35420094620116294,2.3,-0.28195229164436764,-75.128615,40.056144
13,2016-11,PA,PHILADELPHIA,2016-11,3.51,"(-75.217177, 43.091528000000004)",19104,15806.95,Refinancing_Purchase of Apartments_Coops,0.4339245454545454,0.30931774596988165,0.45880500000000013,0.3126508567133778,0.5631090909090911,0.31766608446950795,0.7006386363636362,0.3107089435931286,0.9084640909090909,0.29345933789596046,1.2693081818181815,0.2373050855887442,1.6029650000000002,0.21200599794216385,0.29999999999999993,0.3551806462597713,0.5834999999999999,0.325904516345727,0.736,0.3207384553789811,1.596,0.5987280768406547,2.142,0.8059544829763294,2.5369999999999995,0.7174381703167675,2.8620000000000005,0.6190275766376678,48441183549.9275,0.31736858516524136,11531266279.4831,-0.5379700907865856,88.7707153640316,-0.6379045611525461,2.9,-0.35420094620116294,2.2,-0.28195229164436764,-75.217177,43.091528000000004
14,2016-12,PA,PHILADELPHIA,2016-12,3.6,"(-75.460021, 40.58956)",19147,124908.05,Refinancing_Purchase of Apartments_Coops,0.5606285,0.30931774596988165,0.6315605,0.3126508567133778,0.7119585,0.31766608446950795,0.7883325000000001,0.3107089435931286,0.9753284999999998,0.29345933789596046,1.3063339999999999,0.2373050855887442,1.6692235,0.21200599794216385,0.42333333333333334,0.3551806462597713,0.638095238095238,0.325904516345727,0.8661904761904763,0.3207384553789811,1.9590476190476194,0.5987280768406547,2.491904761904762,0.8059544829763294,2.835238095238095,0.7174381703167675,3.1133333333333324,0.6190275766376678,47316214443.3566,0.31736858516524136,11412820253.2316,-0.5379700907865856,89.1200725980081,-0.6379045611525461,3.1,-0.35420094620116294,2.1,-0.28195229164436764,-75.460021,40.58956
15,2017-02,PA,PHILADELPHIA,2017-02,3.66,"(-75.192461, 39.963661)",19104,8943.78,Refinancing_Purchase of Apartments_Coops,0.6863609999999999,0.30931774596988165,0.7163664999999999,0.3126508567133778,0.7767084999999999,0.31766608446950795,0.8480275,0.3107089435931286,1.0445964999999997,0.29345933789596046,1.3514585000000001,0.2373050855887442,1.723958,0.21200599794216385,0.48210526315789465,0.3551806462597713,0.653157894736842,0.325904516345727,0.8205263157894739,0.3207384553789811,1.9015789473684213,0.5987280768406547,2.4189473684210525,0.8059544829763294,2.763684210526316,0.7174381703167675,3.0321052631578946,0.6190275766376678,49068548953.9206,0.31736858516524136,11692339154.1207,-0.5379700907865856,88.94830277813108,-0.6379045611525461,3.1,-0.35420094620116294,2.0,-0.28195229164436764,-75.192461,39.963661
16,2017-06,PA,PHILADELPHIA,2017-06,3.5,"(-75.191946, 39.902833)",19145,150404.73,Refinancing_Purchase of Apartments_Coops,1.0640909090909094,0.30931774596988165,1.1183336363636365,0.3126508567133778,1.1714068181818182,0.31766608446950795,1.2101513636363637,0.3107089435931286,1.2624095454545452,0.29345933789596046,1.4322822727272726,0.2373050855887442,1.7322577272727273,0.21200599794216385,0.8413636363636363,0.3551806462597713,1.1095454545454546,0.325904516345727,1.200909090909091,0.3207384553789811,1.7740909090909094,0.5987280768406547,2.186818181818182,0.8059544829763294,2.5399999999999996,0.7174381703167675,2.796363636363637,0.6190275766376678,49855182727.6109,0.31736858516524136,12722317795.1324,-0.5379700907865856,87.46440959377459,-0.6379045611525461,2.6,-0.35420094620116294,1.8,-0.28195229164436764,-75.191946,39.902833
17,2017-07,PA,PHILADELPHIA,2017-07,3.59,"(-75.21266, 39.955665)",19139,16855.56,Refinancing_Purchase of Apartments_Coops,1.1766928571428568,0.30931774596988165,1.1913757142857144,0.3126508567133778,1.2280366666666667,0.31766608446950795,1.2566676190476191,0.3107089435931286,1.307512857142857,0.29345933789596046,1.4570814285714284,0.2373050855887442,1.7410885714285718,0.21200599794216385,0.9720000000000001,0.3551806462597713,1.1284999999999996,0.325904516345727,1.2235,0.3207384553789811,1.8720000000000003,0.5987280768406547,2.3179999999999996,0.8059544829763294,2.6505,0.7174381703167675,2.884,0.6190275766376678,50938614889.0817,0.31736858516524136,12509011080.2031,-0.5379700907865856,87.3618752869242,-0.6379045611525461,2.9,-0.35420094620116294,1.8,-0.28195229164436764,-75.21266,39.955665
