,PROPERTY STATE,PROPERTY CITY,Month,INTEREST RATE,Category,ON,spread between libor ON,Corr with libor ON,1W,spread between libor 1W,Corr with libor 1W,1M,spread between libor 1M,Corr with libor 1M,2M,spread between libor 2M,Corr with libor 2M,3M,spread between libor 3M,Corr with libor 3M,6M,spread between libor 6M,Corr with libor 6M,12M,spread between libor 12M,Corr with libor 12M,1 Mo,spread between 1 Mo treasury,Corr with 1 Mo treasury,6 Mo,spread between 6 Mo treasury,Corr with 6 Mo treasury,1 Yr,spread between 1 Yr treasury,Corr with 1 Yr treasury,5 Yr,spread between 5 Yr treasury,Corr with 5 Yr treasury,10 Yr,spread between 10 Yr treasury,Corr with 10 Yr treasury,20 Yr,spread between 20 Yr treasury,Corr with 20 Yr treasury,30 Yr,spread between 30 Yr treasury,Corr with 30 Yr treasury,auto_vol(2),Corr with auto_vol(2),student_vol(3),Corr with student_vol(3),credit_tightness,Corr with credit_tightness,mortgage 30-89(2),Corr with mortgage 30-89(2),mortgage 90,Corr with mortgage 90
0,MN,ROCHESTER,2010-05,4.07,Refinancing_Purchase of Apartments_Coops,0.2957715789473684,3.774228421052632,0.07254019668226358,0.3152057894736842,3.754794210526316,0.07248480932595536,0.3354642105263158,3.7345357894736844,0.06893468600490009,0.39242105263157895,3.6775789473684215,0.06320028737850716,0.45851421052631586,3.6114857894736843,0.056958825942871424,0.6592468421052632,3.410753157894737,0.035514043663199914,1.129987894736842,2.9400121052631585,0.02250084762411939,0.147,3.9230000000000005,0.0833345143630873,0.22350000000000003,3.8465000000000003,0.06457716468679413,0.37099999999999994,3.6990000000000003,0.07199677111597838,2.1799999999999997,1.8900000000000006,0.17087479853107185,3.4199999999999995,0.6500000000000008,0.025256910433495483,4.1145,-0.04449999999999932,-0.08941268041132121,4.286,-0.2159999999999993,-0.13482948095888833,28477062769.4533,0.2592059220067667,11556490165.0911,0.33286443682784284,98.6449594200431,-0.46426030573218613,1.6,-0.6381038016360197,2.2,-0.18408247006328674
1,MN,ROCHESTER,2010-12,3.87,Refinancing_Purchase of Apartments_Coops,0.24122190476190472,3.6287780952380952,0.07254019668226358,0.25412380952380953,3.6158761904761905,0.07248480932595536,0.26178857142857137,3.608211428571429,0.06893468600490009,0.28196571428571415,3.588034285714286,0.06320028737850716,0.30272333333333334,3.567276666666667,0.056958825942871424,0.4583942857142857,3.4116057142857144,0.035514043663199914,0.7839004761904763,3.0860995238095237,0.02250084762411939,0.0854166666666667,3.7845833333333334,0.0833345143630873,0.19333333333333338,3.6766666666666667,0.06457716468679413,0.2937499999999999,3.5762500000000004,0.07199677111597838,1.9429166666666664,1.9270833333333337,0.17087479853107185,3.2949999999999995,0.5750000000000006,0.025256910433495483,4.173333333333333,-0.3033333333333328,-0.08941268041132121,4.415,-0.5449999999999999,-0.13482948095888833,32217867353.4185,0.2592059220067667,11311909309.5948,0.33286443682784284,94.7176548951663,-0.46426030573218613,1.8,-0.6381038016360197,1.8,-0.18408247006328674
2,MN,ROCHESTER,2011-12,3.68,Refinancing_Purchase of Apartments_Coops,0.1499335,3.5300665,0.07254019668226358,0.2029985,3.4770015,0.07248480932595536,0.2836085,3.3963915,0.06893468600490009,0.40829250000000006,3.2717075,0.06320028737850716,0.5557375,3.1242625000000004,0.056958825942871424,0.7798775000000001,2.9001225,0.035514043663199914,1.1003555000000003,2.5796444999999997,0.02250084762411939,0.0033333333333333335,3.6766666666666667,0.0833345143630873,0.048571428571428585,3.6314285714285717,0.06457716468679413,0.11523809523809528,3.564761904761905,0.07199677111597838,0.8914285714285713,2.7885714285714287,0.17087479853107185,1.9780952380952384,1.7019047619047618,0.025256910433495483,2.6676190476190476,1.0123809523809526,-0.08941268041132121,2.9823809523809524,0.6976190476190478,-0.13482948095888833,35532707747.113,0.2592059220067667,11251067892.2966,0.33286443682784284,90.48744874686929,-0.46426030573218613,1.4,-0.6381038016360197,1.4,-0.18408247006328674
3,MN,ROCHESTER,2013-01,3.35,Refinancing_Purchase of Apartments_Coops,0.16043181818181818,3.189568181818182,0.07254019668226358,0.17947272727272726,3.1705272727272726,0.07248480932595536,0.20497272727272725,3.145027272727273,0.06893468600490009,0.2497954545454545,3.1002045454545457,0.06320028737850716,0.30261363636363625,3.047386363636364,0.056958825942871424,0.48810454545454546,2.8618954545454547,0.035514043663199914,0.8142727272727271,2.535727272727273,0.02250084762411939,0.05190476190476192,3.298095238095238,0.0833345143630873,0.10761904761904766,3.2423809523809526,0.06457716468679413,0.14523809523809525,3.204761904761905,0.07199677111597838,0.8052380952380951,2.544761904761905,0.17087479853107185,1.9147619047619049,1.4352380952380952,0.025256910433495483,2.681428571428571,0.668571428571429,-0.08941268041132121,3.0804761904761913,0.26952380952380883,-0.13482948095888833,39298206327.5877,0.2592059220067667,9123117418.53368,0.33286443682784284,91.578064558499,-0.46426030573218613,1.8,-0.6381038016360197,1.6,-0.18408247006328674
4,MN,ROCHESTER,2013-06,3.36,Refinancing_Purchase of Apartments_Coops,0.13074,3.22926,0.07254019668226358,0.15964599999999998,3.200354,0.07248480932595536,0.19319250000000002,3.1668075,0.06893468600490009,0.23164600000000002,3.128354,0.06320028737850716,0.27374,3.08626,0.056958825942871424,0.4139935,2.9460064999999998,0.035514043663199914,0.6839425000000002,2.6760574999999998,0.02250084762411939,0.0345,3.3255,0.0833345143630873,0.08750000000000002,3.2725,0.06457716468679413,0.142,3.218,0.07199677111597838,1.2035,2.1565,0.17087479853107185,2.3000000000000003,1.0599999999999996,0.025256910433495483,3.0740000000000003,0.2859999999999996,-0.08941268041132121,3.400000000000001,-0.040000000000000924,-0.13482948095888833,41334062733.8549,0.2592059220067667,10216278752.7557,0.33286443682784284,89.95115518901541,-0.46426030573218613,2.0,-0.6381038016360197,1.1,-0.18408247006328674
5,MN,ROCHESTER,2013-08,5.0,Refinancing_Purchase of Apartments_Coops,0.11782999999999999,4.88217,0.07254019668226358,0.1493142857142857,4.8506857142857145,0.07248480932595536,0.1840704761904762,4.815929523809523,0.06893468600490009,0.22633523809523812,4.773664761904762,0.06320028737850716,0.2633952380952381,4.736604761904762,0.056958825942871424,0.3949285714285714,4.605071428571429,0.035514043663199914,0.6679499999999999,4.33205,0.02250084762411939,0.03681818181818183,4.963181818181818,0.0833345143630873,0.07181818181818184,4.928181818181818,0.06457716468679413,0.12681818181818183,4.873181818181818,0.07199677111597838,1.5204545454545455,3.4795454545454545,0.17087479853107185,2.7372727272727273,2.2627272727272727,0.025256910433495483,3.488181818181818,1.5118181818181822,-0.08941268041132121,3.757727272727273,1.2422727272727272,-0.13482948095888833,41244159430.5284,0.2592059220067667,10396023519.0372,0.33286443682784284,88.1059676388142,-0.46426030573218613,1.7,-0.6381038016360197,1.1,-0.18408247006328674
6,MN,ROCHESTER,2014-10,3.675,Refinancing_Purchase of Apartments_Coops,0.09059565217391304,3.5844043478260867,0.07254019668226358,0.11953260869565213,3.5554673913043477,0.07248480932595536,0.15351739130434783,3.521482608695652,0.06893468600490009,0.1974043478260869,3.477595652173913,0.06320028737850716,0.2313760869565217,3.4436239130434783,0.056958825942871424,0.3236195652173913,3.3513804347826084,0.035514043663199914,0.5523869565217392,3.1226130434782604,0.02250084762411939,0.020909090909090912,3.654090909090909,0.0833345143630873,0.05045454545454548,3.6245454545454545,0.06457716468679413,0.10454545454545458,3.5704545454545453,0.07199677111597838,1.5459090909090911,2.129090909090909,0.17087479853107185,2.304090909090909,1.3709090909090906,0.025256910433495483,2.7731818181818184,0.9018181818181814,-0.08941268041132121,3.039999999999999,0.6350000000000007,-0.13482948095888833,45241950015.4561,0.2592059220067667,11733364706.6996,0.33286443682784284,82.08517590205541,-0.46426030573218613,2.0,-0.6381038016360197,1.1,-0.18408247006328674
7,MN,ROCHESTER,2015-04,5.75,Refinancing_Purchase of Apartments_Coops,0.12200000000000003,5.628,0.07254019668226358,0.14605250000000003,5.6039475,0.07248480932595536,0.18076750000000003,5.5692325,0.06893468600490009,0.22830999999999996,5.52169,0.06320028737850716,0.27596,5.4740400000000005,0.056958825942871424,0.404505,5.345495,0.035514043663199914,0.6969449999999999,5.0530550000000005,0.02250084762411939,0.018181818181818188,5.7318181818181815,0.0833345143630873,0.09363636363636368,5.656363636363636,0.06457716468679413,0.23363636363636367,5.516363636363637,0.07199677111597838,1.3545454545454545,4.3954545454545455,0.17087479853107185,1.9349999999999996,3.8150000000000004,0.025256910433495483,2.334090909090909,3.415909090909091,-0.08941268041132121,2.5859090909090905,3.1640909090909095,-0.13482948095888833,48997735451.5931,0.2592059220067667,11834405659.8436,0.33286443682784284,79.25862065623551,-0.46426030573218613,1.2,-0.6381038016360197,0.8,-0.18408247006328674
8,MN,ROCHESTER,2017-11,3.55,Refinancing_Purchase of Apartments_Coops,1.183300476190476,2.366699523809524,0.07254019668226358,1.2036563636363637,2.346343636363636,0.07248480932595536,1.2878790909090911,2.2621209090909087,0.06893468600490009,1.3757831818181818,2.174216818181818,0.06320028737850716,1.4342040909090912,2.1157959090909086,0.056958825942871424,1.6264599999999996,1.9235400000000002,0.035514043663199914,1.9015695454545458,1.648430454545454,0.02250084762411939,1.09,2.46,0.0833345143630873,1.3895238095238096,2.1604761904761904,0.06457716468679413,1.5600000000000003,1.9899999999999995,0.07199677111597838,2.05,1.5,0.17087479853107185,2.353333333333333,1.1966666666666668,0.025256910433495483,2.6023809523809525,0.9476190476190474,-0.08941268041132121,2.801904761904762,0.7480952380952379,-0.13482948095888833,49589347299.2381,0.2592059220067667,11318405616.2761,0.33286443682784284,87.3618752869242,-0.46426030573218613,1.6,-0.6381038016360197,0.3,-0.18408247006328674
9,MN,ROCHESTER,2018-05,4.19,Refinancing_Purchase of Apartments_Coops,1.7065971428571427,2.483402857142858,0.07254019668226358,1.7524533333333332,2.437546666666667,0.07248480932595536,1.94629,2.24371,0.06893468600490009,2.0937409523809523,2.096259047619048,0.06320028737850716,2.3356085714285713,1.8543914285714291,0.056958825942871424,2.499740476190476,1.6902595238095244,0.035514043663199914,2.754757142857143,1.4352428571428573,0.02250084762411939,1.706818181818182,2.4831818181818184,0.0833345143630873,2.0731818181818187,2.1168181818181817,0.06457716468679413,2.2736363636363635,1.916363636363637,0.07199677111597838,2.816818181818181,1.3731818181818194,0.17087479853107185,2.977727272727273,1.2122727272727274,0.025256910433495483,3.0518181818181818,1.1381818181818186,-0.08941268041132121,3.1318181818181827,1.0581818181818177,-0.13482948095888833,50800995008.8069,0.2592059220067667,12917630009.557,0.33286443682784284,86.55198240492871,-0.46426030573218613,1.5,-0.6381038016360197,0.2,-0.18408247006328674
