,PROPERTY STATE,PROPERTY CITY,Month,INTEREST RATE,Category,ON,spread between libor ON,Corr with libor ON,1W,spread between libor 1W,Corr with libor 1W,1M,spread between libor 1M,Corr with libor 1M,2M,spread between libor 2M,Corr with libor 2M,3M,spread between libor 3M,Corr with libor 3M,6M,spread between libor 6M,Corr with libor 6M,12M,spread between libor 12M,Corr with libor 12M,1 Mo,spread between 1 Mo treasury,Corr with 1 Mo treasury,6 Mo,spread between 6 Mo treasury,Corr with 6 Mo treasury,1 Yr,spread between 1 Yr treasury,Corr with 1 Yr treasury,5 Yr,spread between 5 Yr treasury,Corr with 5 Yr treasury,10 Yr,spread between 10 Yr treasury,Corr with 10 Yr treasury,20 Yr,spread between 20 Yr treasury,Corr with 20 Yr treasury,30 Yr,spread between 30 Yr treasury,Corr with 30 Yr treasury,auto_vol(-4),Corr with auto_vol(-4),student_vol(-1),Corr with student_vol(-1),credit_tightness(-4),Corr with credit_tightness(-4),mortgage 30-89(-4),Corr with mortgage 30-89(-4),mortgage 90(-4),Corr with mortgage 90(-4)
0,DC,WASHINGTON,2009-12,5.55,Refinancing_Purchase of Apartments_Coops,0.17885714285714288,5.371142857142857,-0.15031842879166613,0.2141833333333333,5.335816666666666,-0.15065853084375422,0.23288904761904766,5.317110952380952,-0.15602382679733776,0.24197238095238102,5.3080276190476186,-0.1635457443949218,0.2530461904761905,5.296953809523809,-0.17605938063915055,0.4528776190476191,5.0971223809523805,-0.1948706473879384,0.9993009523809523,4.550699047619047,-0.16819807489845995,0.03181818181818183,5.518181818181818,-0.13042355534265804,0.16772727272727275,5.382272727272727,-0.14025851365471612,0.37136363636363634,5.178636363636364,-0.13052867828792178,2.3404545454545453,3.2095454545454545,0.22063420202810152,3.589999999999999,1.9600000000000009,0.5088022549911297,4.399545454545455,1.1504545454545445,0.5291400650901319,4.494090909090908,1.0559090909090916,0.509227167305134,28639144125.4552,-0.32417297329781447,14438684843.1307,-0.13167038671089057,104.452941325903,0.2967413492611813,3.8,0.33793352487061595,4.7,0.3190877950903984
1,DC,WASHINGTON,2010-06,6.1,Refinancing_Purchase of Apartments_Coops,0.29840136363636366,5.801598636363636,-0.15031842879166613,0.3291213636363637,5.770878636363636,-0.15065853084375422,0.3487363636363637,5.751263636363636,-0.15602382679733776,0.4336950000000001,5.6663049999999995,-0.1635457443949218,0.5368986363636363,5.563101363636363,-0.17605938063915055,0.7518195454545455,5.348180454545454,-0.1948706473879384,1.187955909090909,4.912044090909091,-0.16819807489845995,0.07954545454545457,6.0204545454545455,-0.13042355534265804,0.19090909090909092,5.909090909090908,-0.14025851365471612,0.3181818181818181,5.781818181818181,-0.13052867828792178,1.9963636363636363,4.1036363636363635,0.22063420202810152,3.2040909090909095,2.89590909090909,0.5088022549911297,3.9499999999999997,2.15,0.5291400650901319,4.127727272727272,1.9722727272727276,0.509227167305134,25116521917.8418,-0.32417297329781447,11978266411.3233,-0.13167038671089057,97.8799778094334,0.2967413492611813,3.7,0.33793352487061595,5.7,0.3190877950903984
2,DC,WASHINGTON,2010-08,4.59,Refinancing_Purchase of Apartments_Coops,0.23101619047619049,4.358983809523809,-0.15031842879166613,0.2659952380952381,4.324004761904762,-0.15065853084375422,0.27546238095238096,4.314537619047619,-0.15602382679733776,0.3123080952380952,4.277691904761904,-0.1635457443949218,0.3625466666666667,4.227453333333333,-0.17605938063915055,0.5790957142857143,4.010904285714286,-0.1948706473879384,0.9435780952380955,3.646421904761904,-0.16819807489845995,0.15409090909090908,4.435909090909091,-0.13042355534265804,0.19136363636363637,4.3986363636363635,-0.14025851365471612,0.25909090909090904,4.330909090909091,-0.13052867828792178,1.4654545454545451,3.124545454545455,0.22063420202810152,2.6986363636363637,1.8913636363636361,0.5088022549911297,3.516818181818181,1.0731818181818187,0.5291400650901319,3.8031818181818178,0.7868181818181821,0.509227167305134,27606233351.339,-0.32417297329781447,10534224377.9144,-0.13167038671089057,99.0214107435932,0.2967413492611813,3.1,0.33793352487061595,5.3,0.3190877950903984
3,DC,WASHINGTON,2010-12,3.78,Refinancing_Purchase of Apartments_Coops,0.24122190476190472,3.538778095238095,-0.15031842879166613,0.25412380952380953,3.52587619047619,-0.15065853084375422,0.26178857142857137,3.5182114285714285,-0.15602382679733776,0.28196571428571415,3.4980342857142857,-0.1635457443949218,0.30272333333333334,3.4772766666666666,-0.17605938063915055,0.4583942857142857,3.321605714285714,-0.1948706473879384,0.7839004761904763,2.9960995238095234,-0.16819807489845995,0.0854166666666667,3.694583333333333,-0.13042355534265804,0.19333333333333338,3.5866666666666664,-0.14025851365471612,0.2937499999999999,3.48625,-0.13052867828792178,1.9429166666666664,1.8370833333333334,0.22063420202810152,3.2949999999999995,0.4850000000000003,0.5088022549911297,4.173333333333333,-0.3933333333333331,0.5291400650901319,4.415,-0.6350000000000002,0.509227167305134,29160609360.1217,-0.32417297329781447,11082139451.8714,-0.13167038671089057,95.6415096715633,0.2967413492611813,3.4,0.33793352487061595,4.9,0.3190877950903984
4,DC,WASHINGTON,2011-06,4.4996,Refinancing_Purchase of Apartments_Coops,0.12706818181818183,4.372531818181818,-0.15031842879166613,0.1615431818181819,4.338056818181818,-0.15065853084375422,0.18716409090909092,4.312435909090909,-0.15602382679733776,0.21923909090909086,4.280360909090909,-0.1635457443949218,0.24782409090909094,4.2517759090909095,-0.17605938063915055,0.39758,4.10202,-0.1948706473879384,0.7268749999999999,3.7727250000000003,-0.16819807489845995,0.0190909090909091,4.4805090909090906,-0.13042355534265804,0.1013636363636364,4.3982363636363635,-0.14025851365471612,0.18090909090909094,4.318690909090909,-0.13052867828792178,1.5799999999999998,2.9196,0.22063420202810152,3.002272727272727,1.497327272727273,0.5088022549911297,3.9145454545454546,0.5850545454545455,0.5291400650901319,4.2327272727272724,0.2668727272727276,0.509227167305134,32217867353.4185,-0.32417297329781447,13753511368.0623,-0.13167038671089057,93.74313363440879,0.2967413492611813,3.3,0.33793352487061595,5.1,0.3190877950903984
5,DC,WASHINGTON,2011-07,3.88,Refinancing_Purchase of Apartments_Coops,0.12388095238095237,3.7561190476190474,-0.15031842879166613,0.1598857142857143,3.7201142857142857,-0.15065853084375422,0.18661904761904766,3.693380952380952,-0.15602382679733776,0.2182333333333334,3.6617666666666664,-0.1635457443949218,0.24991190476190472,3.6300880952380954,-0.17605938063915055,0.41392857142857137,3.4660714285714285,-0.1948706473879384,0.7452261904761905,3.1347738095238094,-0.16819807489845995,0.037500000000000006,3.8425,-0.13042355534265804,0.08400000000000002,3.796,-0.14025851365471612,0.185,3.695,-0.13052867828792178,1.541,2.339,0.22063420202810152,3.003,0.8769999999999998,0.5088022549911297,3.9475000000000002,-0.06750000000000034,0.5291400650901319,4.2705,-0.3905000000000003,0.509227167305134,31565012894.7234,-0.32417297329781447,12472473242.0863,-0.13167038671089057,91.59671843464591,0.2967413492611813,3.0,0.33793352487061595,5.0,0.3190877950903984
6,DC,WASHINGTON,2011-08,3.55,Refinancing_Purchase of Apartments_Coops,0.14468363636363638,3.4053163636363633,-0.15031842879166613,0.18038681818181818,3.3696131818181816,-0.15065853084375422,0.21116590909090904,3.338834090909091,-0.15602382679733776,0.24895727272727275,3.301042727272727,-0.1635457443949218,0.29323772727272723,3.2567622727272725,-0.17605938063915055,0.45919454545454547,3.090805454545454,-0.1948706473879384,0.7783581818181818,2.771641818181818,-0.16819807489845995,0.017391304347826094,3.532608695652174,-0.13042355534265804,0.06217391304347828,3.4878260869565216,-0.14025851365471612,0.11478260869565218,3.435217391304348,-0.13052867828792178,1.021304347826087,2.528695652173913,0.22063420202810152,2.303043478260869,1.246956521739131,0.5088022549911297,3.244782608695652,0.3052173913043479,0.5291400650901319,3.6513043478260867,-0.10130434782608688,0.509227167305134,31252070876.7547,-0.32417297329781447,13238482167.5647,-0.13167038671089057,92.5881563190625,0.2967413492611813,2.8,0.33793352487061595,4.8,0.3190877950903984
7,DC,WASHINGTON,2011-10,3.9,Refinancing_Purchase of Apartments_Coops,0.1416352380952381,3.7583647619047618,-0.15031842879166613,0.19074095238095234,3.7092590476190477,-0.15065853084375422,0.24373904761904758,3.6562609523809524,-0.15602382679733776,0.3185252380952381,3.581474761904762,-0.1635457443949218,0.4064785714285714,3.4935214285714284,-0.17605938063915055,0.59521,3.3047899999999997,-0.1948706473879384,0.9086428571428572,2.991357142857143,-0.16819807489845995,0.013500000000000003,3.8865,-0.13042355534265804,0.05450000000000003,3.8455,-0.14025851365471612,0.1145,3.7855,-0.13052867828792178,1.0614999999999999,2.8385,0.22063420202810152,2.1519999999999997,1.7480000000000002,0.5088022549911297,2.8695,1.0305,0.5291400650901319,3.128,0.7719999999999998,0.509227167305134,31300541846.2612,-0.32417297329781447,11655650147.2578,-0.13167038671089057,90.24550000965358,0.2967413492611813,2.9,0.33793352487061595,4.8,0.3190877950903984
8,DC,WASHINGTON,2012-03,3.1,Refinancing_Purchase of Apartments_Coops,0.14720000000000003,2.9528,-0.15031842879166613,0.1893409090909091,2.910659090909091,-0.15065853084375422,0.24185227272727275,2.858147727272727,-0.15602382679733776,0.35079999999999995,2.7492,-0.1635457443949218,0.4732886363636363,2.626711363636364,-0.17605938063915055,0.741275,2.358725,-0.1948706473879384,1.0534477272727274,2.046552272727273,-0.16819807489845995,0.06363636363636366,3.0363636363636366,-0.13042355534265804,0.14227272727272727,2.957727272727273,-0.14025851365471612,0.19000000000000003,2.91,-0.13052867828792178,1.0172727272727273,2.082727272727273,0.22063420202810152,2.1727272727272724,0.9272727272727277,0.5088022549911297,2.9404545454545454,0.15954545454545466,0.5291400650901319,3.281363636363636,-0.18136363636363573,0.509227167305134,34825519831.2788,-0.32417297329781447,10728874885.7875,-0.13167038671089057,90.35087768078328,0.2967413492611813,3.1,0.33793352487061595,4.8,0.3190877950903984
9,DC,WASHINGTON,2012-06,3.55,Refinancing_Purchase of Apartments_Coops,0.163,3.387,-0.15031842879166613,0.19464736842105262,3.3553526315789473,-0.15065853084375422,0.24319736842105263,3.306802631578947,-0.15602382679733776,0.3459342105263157,3.204065789473684,-0.1635457443949218,0.46558684210526313,3.084413157894737,-0.17605938063915055,0.7364000000000004,2.813599999999999,-0.1948706473879384,1.0691894736842107,2.480810526315789,-0.16819807489845995,0.05190476190476193,3.498095238095238,-0.13042355534265804,0.14809523809523809,3.4019047619047615,-0.14025851365471612,0.18904761904761905,3.360952380952381,-0.13052867828792178,0.7114285714285714,2.8385714285714285,0.22063420202810152,1.6223809523809525,1.9276190476190473,0.5088022549911297,2.3061904761904763,1.2438095238095235,0.5291400650901319,2.698095238095238,0.8519047619047617,0.509227167305134,35532707747.113,-0.32417297329781447,12770391029.1034,-0.13167038671089057,90.6452366150782,0.2967413492611813,3.0,0.33793352487061595,4.8,0.3190877950903984
10,DC,WASHINGTON,2012-08,2.44,Refinancing_Purchase of Apartments_Coops,0.15374090909090915,2.2862590909090907,-0.15031842879166613,0.18745454545454548,2.2525454545454546,-0.15065853084375422,0.23783863636363634,2.2021613636363635,-0.15602382679733776,0.3331136363636364,2.1068863636363635,-0.1635457443949218,0.43259999999999993,2.0074,-0.17605938063915055,0.7177749999999997,1.7222250000000003,-0.1948706473879384,1.0426272727272727,1.3973727272727272,-0.16819807489845995,0.09217391304347829,2.3478260869565215,-0.13042355534265804,0.14043478260869566,2.2995652173913044,-0.14025851365471612,0.18347826086956526,2.256521739130435,-0.13052867828792178,0.7139130434782609,1.7260869565217392,0.22063420202810152,1.6782608695652175,0.7617391304347825,0.5088022549911297,2.3978260869565218,0.04217391304347817,0.5291400650901319,2.7708695652173914,-0.3308695652173914,0.509227167305134,36623269866.4569,-0.32417297329781447,16111780903.4699,-0.13167038671089057,89.00857713430821,0.2967413492611813,2.9,0.33793352487061595,4.7,0.3190877950903984
