,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol,Corr with auto_vol,student_vol,Corr with student_vol,credit_tightness(2),Corr with credit_tightness(2),mortgage 30-89(-2),Corr with mortgage 30-89(-2),mortgage 90(-4),Corr with mortgage 90(-4),long,lat
0,2010-09,NC,WILMINGTON,2010-09,3.63,"(-77.89461700000001, 34.153042)",40474.78,Refinancing_Purchase of Apartments_Coops,0.22657136363636363,0.36527836185536466,0.251059090909091,0.3673755879201013,0.25699454545454536,0.3685954444551343,0.2738163636363636,0.3769116319805678,0.2913659090909092,0.37280240082827315,0.4777727272727273,0.347534545357567,0.8043745454545456,0.32792730827612676,0.1166666666666667,0.3652318521953389,0.19333333333333336,0.3431286118390148,0.2566666666666666,0.33306561818503855,1.4104761904761904,0.4096641393944411,2.6476190476190475,0.3760044602231567,3.4690476190476183,0.19287697212252788,3.773333333333333,0.1142635537389251,29826615528.9652,0.2105950309622155,12342273869.2704,0.5976970205756607,92.8594669911348,-0.25833958396355844,4.2,-0.2344487249204471,3.9,-0.0898059451847318,-77.89461700000001,34.153042
1,2010-11,NC,WILMINGTON,2010-11,3.69,"(-77.89461700000001, 34.153042)",27912.35,Refinancing_Purchase of Apartments_Coops,0.22869727272727272,0.36527836185536466,0.24913818181818187,0.3673755879201013,0.2541922727272727,0.3685954444551343,0.27004181818181816,0.3769116319805678,0.2871204545454545,0.37280240082827315,0.44597000000000014,0.347534545357567,0.7651345454545454,0.32792730827612676,0.13400000000000004,0.3652318521953389,0.182,0.3431286118390148,0.25200000000000006,0.33306561818503855,1.35,0.4096641393944411,2.7630000000000003,0.3760044602231567,3.817999999999999,0.19287697212252788,4.186,0.1142635537389251,30207558860.6451,0.2105950309622155,11082139451.8714,0.5976970205756607,94.0022251537174,-0.25833958396355844,4.5,-0.2344487249204471,4.3,-0.0898059451847318,-77.89461700000001,34.153042
2,2011-11,NC,WILMINGTON,2011-11,4.15,"(-77.793609, 34.299812)",81264.77,Refinancing_Purchase of Apartments_Coops,0.14255090909090912,0.36527836185536466,0.19244863636363635,0.3673755879201013,0.2536463636363637,0.3685954444551343,0.3593790909090909,0.3769116319805678,0.47529181818181826,0.37280240082827315,0.6805422727272729,0.347534545357567,1.000305,0.32792730827612676,0.013999999999999999,0.3652318521953389,0.04650000000000002,0.3431286118390148,0.11200000000000002,0.33306561818503855,0.908,0.4096641393944411,2.0134999999999996,0.3760044602231567,2.7180000000000004,0.19287697212252788,3.0155000000000003,0.1142635537389251,34825519831.2788,0.2105950309622155,11784187253.6333,0.5976970205756607,90.7743282432688,-0.25833958396355844,3.9,-0.2344487249204471,4.0,-0.0898059451847318,-77.793609,34.299812
3,2012-11,NC,WILMINGTON,2012-11,2.64,"(-77.801618, 34.288734999999996)",92820.49,Refinancing_Purchase of Apartments_Coops,0.1555,0.36527836185536466,0.18060909090909089,0.3673755879201013,0.20888636363636362,0.3685954444551343,0.25813636363636355,0.3769116319805678,0.31102272727272723,0.37280240082827315,0.528347727272727,0.347534545357567,0.8631931818181818,0.32792730827612676,0.12449999999999999,0.3652318521953389,0.14450000000000002,0.3431286118390148,0.17850000000000002,0.33306561818503855,0.665,0.4096641393944411,1.654,0.3760044602231567,2.3894999999999995,0.19287697212252788,2.8034999999999997,0.1142635537389251,38410438812.4053,0.2105950309622155,10740081615.3953,0.5976970205756607,91.578064558499,-0.25833958396355844,4.4,-0.2344487249204471,3.7,-0.0898059451847318,-77.801618,34.288734999999996
4,2013-05,NC,WILMINGTON,2013-05,3.02,"(-77.94681, 34.244912)",50549.75,Refinancing_Purchase of Apartments_Coops,0.1435047619047619,0.36527836185536466,0.1638380952380952,0.3673755879201013,0.19670952380952378,0.3685954444551343,0.23396000000000003,0.3769116319805678,0.27416904761904765,0.37280240082827315,0.42137333333333327,0.347534545357567,0.6936104761904763,0.32792730827612676,0.020454545454545458,0.3652318521953389,0.08090909090909093,0.3431286118390148,0.11863636363636366,0.33306561818503855,0.840909090909091,0.4096641393944411,1.9281818181818182,0.3760044602231567,2.7286363636363635,0.19287697212252788,3.112727272727273,0.1142635537389251,40995097959.5386,0.2105950309622155,9498561196.652071,0.5976970205756607,90.32258801944451,-0.25833958396355844,3.2,-0.2344487249204471,3.2,-0.0898059451847318,-77.94681,34.244912
5,2013-08,NC,WILMINGTON,2013-08,4.08,"(-77.902108, 34.233439000000004)",132055.34,Refinancing_Purchase of Apartments_Coops,0.11782999999999999,0.36527836185536466,0.1493142857142857,0.3673755879201013,0.1840704761904762,0.3685954444551343,0.22633523809523812,0.3769116319805678,0.2633952380952381,0.37280240082827315,0.3949285714285714,0.347534545357567,0.6679499999999999,0.32792730827612676,0.03681818181818183,0.3652318521953389,0.07181818181818184,0.3431286118390148,0.12681818181818183,0.33306561818503855,1.5204545454545455,0.4096641393944411,2.7372727272727273,0.3760044602231567,3.488181818181818,0.19287697212252788,3.757727272727273,0.1142635537389251,41334062733.8549,0.2105950309622155,10210246554.7955,0.5976970205756607,85.7873584996498,-0.25833958396355844,3.1,-0.2344487249204471,2.7,-0.0898059451847318,-77.902108,34.233439000000004
6,2014-12,NC,WILMINGTON,2014-12,3.98,"(-77.59933249999999, 35.2719045)",97066.42,Refinancing_Purchase of Apartments_Coops,0.1101,0.36527836185536466,0.1330809523809524,0.3673755879201013,0.16305,0.3685954444551343,0.20744285714285715,0.3769116319805678,0.2446071428571429,0.37280240082827315,0.34302142857142864,0.347534545357567,0.6021190476190476,0.32792730827612676,0.02500000000000001,0.3652318521953389,0.1063636363636364,0.3431286118390148,0.21454545454545454,0.33306561818503855,1.64,0.4096641393944411,2.2072727272727275,0.3760044602231567,2.5504545454545453,0.19287697212252788,2.8331818181818185,0.1142635537389251,45241950015.4561,0.2105950309622155,14245911418.8887,0.5976970205756607,82.122236078369,-0.25833958396355844,3.0,-0.2344487249204471,2.3,-0.0898059451847318,-77.59933249999999,35.2719045
7,2016-03,NC,WILMINGTON,2016-03,3.23,"(-77.804121, 34.284413)",76152.12,Refinancing_Purchase of Apartments_Coops,0.3739333333333333,0.36527836185536466,0.39734047619047613,0.3673755879201013,0.43639523809523806,0.3685954444551343,0.5204357142857143,0.3769116319805678,0.632,0.37280240082827315,0.9009761904761905,0.347534545357567,1.2156690476190475,0.32792730827612676,0.2531818181818182,0.3652318521953389,0.47,0.3431286118390148,0.6563636363636364,0.33306561818503855,1.3759090909090912,0.4096641393944411,1.889090909090909,0.3760044602231567,2.2759090909090913,0.19287697212252788,2.6845454545454546,0.1142635537389251,48187387172.2131,0.2105950309622155,11362184412.0981,0.5976970205756607,85.2359522201137,-0.25833958396355844,3.0,-0.2344487249204471,1.4,-0.0898059451847318,-77.804121,34.284413
8,2016-06,NC,WILMINGTON,2016-06,4.28,"(-77.90185100000001, 34.235213)",7500.96,Refinancing_Purchase of Apartments_Coops,0.3904409090909091,0.36527836185536466,0.41572500000000007,0.3673755879201013,0.4527090909090909,0.3685954444551343,0.5394386363636363,0.3769116319805678,0.6516204545454546,0.37280240082827315,0.9360386363636366,0.347534545357567,1.2592227272727274,0.32792730827612676,0.22136363636363632,0.3652318521953389,0.40409090909090906,0.3431286118390148,0.5522727272727272,0.33306561818503855,1.1663636363636367,0.4096641393944411,1.6440909090909095,0.3760044602231567,2.019090909090909,0.19287697212252788,2.452272727272727,0.1142635537389251,49206523977.8161,0.2105950309622155,11496937509.4445,0.5976970205756607,88.1942388876454,-0.25833958396355844,2.3,-0.2344487249204471,1.1,-0.0898059451847318,-77.90185100000001,34.235213
9,2016-07,NC,WILMINGTON,2016-07,3.47,"(-77.92745, 34.195529)",11979.853333333333,Refinancing_Purchase of Apartments_Coops,0.41380476190476195,0.36527836185536466,0.43819285714285716,0.3673755879201013,0.4828833333333333,0.3685954444551343,0.5734595238095239,0.3769116319805678,0.6963095238095237,0.37280240082827315,0.9990666666666668,0.347534545357567,1.31707619047619,0.32792730827612676,0.2635000000000001,0.3652318521953389,0.4040000000000001,0.3431286118390148,0.5135000000000001,0.33306561818503855,1.0715,0.4096641393944411,1.504,0.3760044602231567,1.8224999999999998,0.19287697212252788,2.227,0.1142635537389251,49692544708.3448,0.2105950309622155,11531266279.4831,0.5976970205756607,88.3913281030881,-0.25833958396355844,2.1,-0.2344487249204471,1.2,-0.0898059451847318,-77.92745,34.195529
10,2017-02,NC,WILMINGTON,2017-02,3.45,"(-77.898526, 34.175977)",9882.87,Refinancing_Purchase of Apartments_Coops,0.6863609999999999,0.36527836185536466,0.7163664999999999,0.3673755879201013,0.7767084999999999,0.3685954444551343,0.8480275,0.3769116319805678,1.0445964999999997,0.37280240082827315,1.3514585000000001,0.347534545357567,1.723958,0.32792730827612676,0.48210526315789465,0.3652318521953389,0.653157894736842,0.3431286118390148,0.8205263157894739,0.33306561818503855,1.9015789473684213,0.4096641393944411,2.4189473684210525,0.3760044602231567,2.763684210526316,0.19287697212252788,3.0321052631578946,0.1142635537389251,48913265551.9221,0.2105950309622155,12722317795.1324,0.5976970205756607,89.1200725980081,-0.25833958396355844,2.9,-0.2344487249204471,0.9,-0.0898059451847318,-77.898526,34.175977
11,2017-10,NC,WILMINGTON,2017-10,3.4699999999999998,"(-77.898412, 34.246254)",45451.515,Refinancing_Purchase of Apartments_Coops,1.1834895238095235,0.36527836185536466,1.2040609090909093,0.3673755879201013,1.2385486363636362,0.3685954444551343,1.287584090909091,0.3769116319805678,1.3607931818181818,0.37280240082827315,1.541957272727273,0.347534545357567,1.8208568181818179,0.32792730827612676,0.9957142857142858,0.3652318521953389,1.2495238095238093,0.3431286118390148,1.3976190476190478,0.33306561818503855,1.9809523809523806,0.4096641393944411,2.3600000000000003,0.3760044602231567,2.649047619047619,0.19287697212252788,2.8780952380952383,0.1142635537389251,49855182727.6109,0.2105950309622155,11537595366.1601,0.5976970205756607,88.55316323110772,-0.25833958396355844,2.4,-0.2344487249204471,1.1,-0.0898059451847318,-77.898412,34.246254
12,2018-05,NC,WILMINGTON,2018-05,3.99,"(-77.881519, 34.217599)",36239.76,Refinancing_Purchase of Apartments_Coops,1.7065971428571427,0.36527836185536466,1.7524533333333332,0.3673755879201013,1.94629,0.3685954444551343,2.0937409523809523,0.3769116319805678,2.3356085714285713,0.37280240082827315,2.499740476190476,0.347534545357567,2.754757142857143,0.32792730827612676,1.706818181818182,0.3652318521953389,2.0731818181818187,0.3431286118390148,2.2736363636363635,0.33306561818503855,2.816818181818181,0.4096641393944411,2.977727272727273,0.3760044602231567,3.0518181818181818,0.19287697212252788,3.1318181818181827,0.1142635537389251,50407042046.8076,0.2105950309622155,12109088557.0787,0.5976970205756607,89.25060298401242,-0.25833958396355844,2.2,-0.2344487249204471,1.6,-0.0898059451847318,-77.881519,34.217599
13,2018-07,NC,WILMINGTON,2018-07,3.5,"(-77.948052, 34.23773)",18139.74,Refinancing_Purchase of Apartments_Coops,1.918467142857143,0.36527836185536466,1.9587813636363633,0.3673755879201013,2.0789990909090905,0.3685954444551343,2.1733236363636363,0.3769116319805678,2.3391181818181823,0.37280240082827315,2.519525454545455,0.347534545357567,2.7944931818181815,0.32792730827612676,1.8933333333333329,0.3652318521953389,2.1680952380952383,0.3431286118390148,2.3876190476190478,0.33306561818503855,2.7776190476190483,0.4096641393944411,2.8890476190476195,0.3760044602231567,2.944761904761905,0.19287697212252788,3.006666666666667,0.1142635537389251,50800995008.8069,0.2105950309622155,13062636860.3963,0.5976970205756607,,-0.25833958396355844,1.9,-0.2344487249204471,1.4,-0.0898059451847318,-77.948052,34.23773
