,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol,Corr with auto_vol,student_vol(-3),Corr with student_vol(-3),credit_tightness(4),Corr with credit_tightness(4),mortgage 30-89,Corr with mortgage 30-89,mortgage 90(-3),Corr with mortgage 90(-3),long,lat
0,2010-12,RI,PROVIDENCE,2010-12,6.2,"(-71.43327, 41.856846000000004)",48748.5,Risk Sharing,0.24122190476190472,-0.6482809434983939,0.25412380952380953,-0.6407938053702228,0.26178857142857137,-0.6412167949196675,0.28196571428571415,-0.6357519983757149,0.30272333333333334,-0.6291443798852738,0.4583942857142857,-0.6306083957552161,0.7839004761904763,-0.646582437353488,0.0854166666666667,-0.6013476923322215,0.19333333333333338,-0.6094494481774441,0.2937499999999999,-0.6237051771273989,1.9429166666666664,-0.29860371002164976,3.2949999999999995,0.007293820565286987,4.173333333333333,0.08451531436342258,4.415,0.14167637167408387,31044830349.9256,-0.2320233305262291,12342273869.2704,-0.5871281491360663,92.5881563190625,-0.5262976663445169,3.8,0.5152244658454775,4.3,0.4470476769348144,-71.43327,41.856846000000004
1,2011-04,RI,PROVIDENCE,2011-04,6.5,"(-71.4128, 41.824)",12060.41,Risk Sharing,0.14759444444444447,-0.6482809434983939,0.19237777777777781,-0.6407938053702228,0.22143500000000005,-0.6412167949196675,0.25190277777777786,-0.6357519983757149,0.28138222222222226,-0.6291443798852738,0.44229888888888896,-0.6306083957552161,0.7700555555555555,-0.646582437353488,0.029500000000000005,-0.6013476923322215,0.11950000000000002,-0.6094494481774441,0.24650000000000002,-0.6237051771273989,2.169,-0.29860371002164976,3.4549999999999996,0.007293820565286987,4.276000000000001,0.08451531436342258,4.5015,0.14167637167408387,31252070876.7547,-0.2320233305262291,11568364841.7538,-0.5871281491360663,88.33905735772379,-0.5262976663445169,3.0,0.5152244658454775,4.5,0.4470476769348144,-71.4128,41.824
2,2011-09,RI,PROVIDENCE,2011-09,6.6,"(-75.37966800000001, 43.044878999999995)",32832.47,Risk Sharing,0.14525181818181823,-0.6482809434983939,0.1884,-0.6407938053702228,0.23085045454545455,-0.6412167949196675,0.2845913636363636,-0.6357519983757149,0.3502268181818181,-0.6291443798852738,0.5222018181818182,-0.6306083957552161,0.8332045454545454,-0.646582437353488,0.005714285714285713,-0.6013476923322215,0.04333333333333335,-0.6094494481774441,0.10476190476190479,-0.6237051771273989,0.9004761904761904,-0.29860371002164976,1.9752380952380955,0.007293820565286987,2.8271428571428574,0.08451531436342258,3.182380952380953,0.14167637167408387,33690910289.8878,-0.2320233305262291,12472473242.0863,-0.5871281491360663,90.7743282432688,-0.5262976663445169,3.4,0.5152244658454775,4.4,0.4470476769348144,-75.37966800000001,43.044878999999995
3,2014-12,RI,PROVIDENCE,2014-12,8.0,"(-71.431147, 41.806828)",12474.0,Risk Sharing,0.1101,-0.6482809434983939,0.1330809523809524,-0.6407938053702228,0.16305,-0.6412167949196675,0.20744285714285715,-0.6357519983757149,0.2446071428571429,-0.6291443798852738,0.34302142857142864,-0.6306083957552161,0.6021190476190476,-0.646582437353488,0.02500000000000001,-0.6013476923322215,0.1063636363636364,-0.6094494481774441,0.21454545454545454,-0.6237051771273989,1.64,-0.29860371002164976,2.2072727272727275,0.007293820565286987,2.5504545454545453,0.08451531436342258,2.8331818181818185,0.14167637167408387,45241950015.4561,-0.2320233305262291,11159124696.1814,-0.5871281491360663,79.25862065623551,-0.5262976663445169,2.9,0.5152244658454775,2.9,0.4470476769348144,-71.431147,41.806828
4,2015-01,RI,PROVIDENCE,2015-01,6.0,"(-71.405106, 41.839256)",14254.74,Risk Sharing,0.11871428571428574,-0.6482809434983939,0.1349785714285714,-0.6407938053702228,0.16807857142857144,-0.6412167949196675,0.2135952380952381,-0.6357519983757149,0.2543190476190476,-0.6291443798852738,0.35825714285714294,-0.6306083957552161,0.6221666666666666,-0.646582437353488,0.018000000000000006,-0.6013476923322215,0.08300000000000003,-0.6094494481774441,0.19549999999999998,-0.6237051771273989,1.3744999999999998,-0.29860371002164976,1.8814999999999997,0.007293820565286987,2.199,0.08451531436342258,2.455,0.14167637167408387,45667781053.6763,-0.2320233305262291,10950177839.1879,-0.5871281491360663,83.34061286074021,-0.5262976663445169,3.1,0.5152244658454775,2.8,0.4470476769348144,-71.405106,41.839256
5,2015-12,RI,PROVIDENCE,2015-12,8.0,"(123.51754, 10.85064)",5870.12,Risk Sharing,0.2286238095238095,-0.6482809434983939,0.289352380952381,-0.6407938053702228,0.3523071428571429,-0.6412167949196675,0.44092857142857156,-0.6357519983757149,0.5332357142857143,-0.6291443798852738,0.7638285714285715,-0.6306083957552161,1.0841380952380955,-0.646582437353488,0.17181818181818184,-0.6013476923322215,0.4990909090909091,-0.6094494481774441,0.6536363636363638,-0.6237051771273989,1.6986363636363635,-0.29860371002164976,2.2427272727272736,0.007293820565286987,2.6072727272727274,0.08451531436342258,2.97,0.14167637167408387,48291644449.3811,-0.2320233305262291,11492007418.0579,-0.5871281491360663,84.0267577476249,-0.5262976663445169,2.7,0.5152244658454775,2.6,0.4470476769348144,123.51754,10.85064
6,2016-08,RI,PROVIDENCE,2016-08,6.291666666666667,"(-71.411254, 41.837353)",30498.663333333334,Risk Sharing,0.41817045454545454,-0.6482809434983939,0.4429568181818182,-0.6407938053702228,0.5122418181818182,-0.6412167949196675,0.6351372727272727,-0.6357519983757149,0.810223181818182,-0.6291443798852738,1.1977463636363632,-0.6306083957552161,1.5097959090909088,-0.646582437353488,0.2608695652173914,-0.6013476923322215,0.4460869565217393,-0.6094494481774441,0.5682608695652173,-0.6237051771273989,1.1330434782608694,-0.29860371002164976,1.5565217391304347,0.007293820565286987,1.8895652173913038,0.08451531436342258,2.261739130434783,0.14167637167408387,50596067254.1766,-0.2320233305262291,11703539581.608,-0.5871281491360663,88.1697673489486,-0.5262976663445169,2.7,0.5152244658454775,1.9,0.4470476769348144,-71.411254,41.837353
7,2017-06,RI,PROVIDENCE,2017-06,5.25,"(-71.43176700000001, 41.802477)",30929.96,Risk Sharing,1.0640909090909094,-0.6482809434983939,1.1183336363636365,-0.6407938053702228,1.1714068181818182,-0.6412167949196675,1.2101513636363637,-0.6357519983757149,1.2624095454545452,-0.6291443798852738,1.4322822727272726,-0.6306083957552161,1.7322577272727273,-0.646582437353488,0.8413636363636363,-0.6013476923322215,1.1095454545454546,-0.6094494481774441,1.200909090909091,-0.6237051771273989,1.7740909090909094,-0.29860371002164976,2.186818181818182,0.007293820565286987,2.5399999999999996,0.08451531436342258,2.796363636363637,0.14167637167408387,49068548953.9206,-0.2320233305262291,12509011080.2031,-0.5871281491360663,87.46440959377459,-0.5262976663445169,1.9,0.5152244658454775,1.7,0.4470476769348144,-71.43176700000001,41.802477
8,2017-09,RI,PROVIDENCE,2017-09,5.0,"(-71.42903299999999, 41.813203)",51595.04,Risk Sharing,1.1784444999999997,-0.6482809434983939,1.1967471428571432,-0.6407938053702228,1.23492,-0.6412167949196675,1.2721638095238097,-0.6357519983757149,1.3232957142857147,-0.6291443798852738,1.4732157142857143,-0.6306083957552161,1.738246666666667,-0.646582437353488,0.9940000000000001,-0.6013476923322215,1.171,-0.6094494481774441,1.2799999999999998,-0.6237051771273989,1.7975,-0.29860371002164976,2.2020000000000004,0.007293820565286987,2.5300000000000002,0.08451531436342258,2.7764999999999995,0.14167637167408387,49256214828.7987,-0.2320233305262291,12745337772.3068,-0.5871281491360663,88.1148323663994,-0.5262976663445169,1.8,0.5152244658454775,1.5,0.4470476769348144,-71.42903299999999,41.813203
9,2017-11,RI,PROVIDENCE,2017-11,4.66,"(-71.419381, 41.818277)",55187.89,Risk Sharing,1.183300476190476,-0.6482809434983939,1.2036563636363637,-0.6407938053702228,1.2878790909090911,-0.6412167949196675,1.3757831818181818,-0.6357519983757149,1.4342040909090912,-0.6291443798852738,1.6264599999999996,-0.6306083957552161,1.9015695454545458,-0.646582437353488,1.09,-0.6013476923322215,1.3895238095238096,-0.6094494481774441,1.5600000000000003,-0.6237051771273989,2.05,-0.29860371002164976,2.353333333333333,0.007293820565286987,2.6023809523809525,0.08451531436342258,2.801904761904762,0.14167637167408387,50938614889.0817,-0.2320233305262291,12103218541.1776,-0.5871281491360663,88.50967086025801,-0.5262976663445169,2.1,0.5152244658454775,1.5,0.4470476769348144,-71.419381,41.818277
