,Month,PROPERTY CITY,mortgage 30-89,mortgage 90
1,2008-01,BOSTON,2.9,1.1
2,2008-02,BOSTON,2.6,1.2
3,2008-03,BOSTON,2.6,1.2
4,2008-04,BOSTON,2.5,1.2
5,2008-05,BOSTON,2.5,1.2
6,2008-06,BOSTON,2.5,1.4
7,2008-07,BOSTON,2.8,1.6
8,2008-08,BOSTON,2.9,1.7
9,2008-09,BOSTON,2.9,1.8
10,2008-10,BOSTON,3.1,1.9
11,2008-11,BOSTON,3.0,2.1
12,2008-12,BOSTON,3.3,2.3
13,2009-01,BOSTON,3.3,2.4
14,2009-02,BOSTON,3.2,2.5
15,2009-03,BOSTON,3.0,2.6
16,2009-04,BOSTON,2.9,2.6
17,2009-05,BOSTON,3.1,2.8
18,2009-06,BOSTON,2.9,2.9
19,2009-07,BOSTON,3.0,3.1
20,2009-08,BOSTON,3.0,3.2
21,2009-09,BOSTON,3.0,3.4
22,2009-10,BOSTON,3.1,3.5
23,2009-11,BOSTON,2.9,3.6
24,2009-12,BOSTON,3.1,3.6
25,2010-01,BOSTON,3.2,3.7
26,2010-02,BOSTON,3.0,3.8
27,2010-03,BOSTON,2.7,3.7
28,2010-04,BOSTON,2.6,3.5
29,2010-05,BOSTON,2.8,3.5
30,2010-06,BOSTON,2.7,3.4
31,2010-07,BOSTON,2.9,3.3
32,2010-08,BOSTON,2.9,3.3
33,2010-09,BOSTON,2.8,3.2
34,2010-10,BOSTON,2.8,3.2
35,2010-11,BOSTON,2.7,3.3
36,2010-12,BOSTON,2.9,3.3
37,2011-01,BOSTON,3.0,3.3
38,2011-02,BOSTON,2.7,3.3
39,2011-03,BOSTON,2.6,3.3
40,2011-04,BOSTON,2.4,3.2
41,2011-05,BOSTON,2.4,3.1
42,2011-06,BOSTON,2.5,3.0
43,2011-07,BOSTON,2.7,3.0
44,2011-08,BOSTON,2.7,3.0
45,2011-09,BOSTON,2.5,3.0
46,2011-10,BOSTON,2.5,3.1
47,2011-11,BOSTON,2.5,3.1
48,2011-12,BOSTON,2.6,3.1
49,2012-01,BOSTON,2.7,3.1
50,2012-02,BOSTON,2.4,3.1
51,2012-03,BOSTON,2.5,3.0
52,2012-04,BOSTON,2.5,3.0
53,2012-05,BOSTON,2.6,2.9
54,2012-06,BOSTON,2.5,2.8
55,2012-07,BOSTON,2.7,2.8
56,2012-08,BOSTON,2.7,2.8
57,2012-09,BOSTON,2.7,2.7
58,2012-10,BOSTON,2.8,2.6
59,2012-11,BOSTON,2.6,2.5
60,2012-12,BOSTON,2.8,2.5
61,2013-01,BOSTON,2.8,2.6
62,2013-02,BOSTON,2.4,2.5
63,2013-03,BOSTON,2.6,2.6
64,2013-04,BOSTON,2.3,2.4
65,2013-05,BOSTON,2.4,2.3
66,2013-06,BOSTON,2.3,2.4
67,2013-07,BOSTON,2.4,2.3
68,2013-08,BOSTON,2.4,2.3
69,2013-09,BOSTON,2.0,2.3
70,2013-10,BOSTON,2.4,2.2
71,2013-11,BOSTON,2.1,2.3
72,2013-12,BOSTON,2.4,2.3
73,2014-01,BOSTON,2.4,2.3
74,2014-02,BOSTON,1.9,2.3
75,2014-03,BOSTON,2.1,2.2
76,2014-04,BOSTON,1.8,2.1
77,2014-05,BOSTON,2.1,2.2
78,2014-06,BOSTON,1.7,2.1
79,2014-07,BOSTON,2.0,2.1
80,2014-08,BOSTON,2.1,2.1
81,2014-09,BOSTON,1.9,2.1
82,2014-10,BOSTON,1.9,2.1
83,2014-11,BOSTON,1.8,2.1
84,2014-12,BOSTON,1.9,2.1
85,2015-01,BOSTON,2.1,2.1
86,2015-02,BOSTON,1.8,2.0
87,2015-03,BOSTON,1.6,1.9
88,2015-04,BOSTON,1.4,1.8
89,2015-05,BOSTON,1.7,1.8
90,2015-06,BOSTON,1.5,1.7
91,2015-07,BOSTON,1.6,1.7
92,2015-08,BOSTON,1.9,1.7
93,2015-09,BOSTON,1.6,1.6
94,2015-10,BOSTON,1.8,1.6
95,2015-11,BOSTON,1.6,1.5
96,2015-12,BOSTON,1.9,1.5
97,2016-01,BOSTON,2.0,1.5
98,2016-02,BOSTON,1.7,1.5
99,2016-03,BOSTON,1.6,1.4
100,2016-04,BOSTON,1.4,1.3
101,2016-05,BOSTON,1.5,1.3
102,2016-06,BOSTON,1.5,1.2
103,2016-07,BOSTON,1.6,1.2
104,2016-08,BOSTON,1.8,1.2
105,2016-09,BOSTON,1.6,1.2
106,2016-10,BOSTON,1.7,1.2
107,2016-11,BOSTON,1.5,1.2
108,2016-12,BOSTON,1.7,1.1
109,2017-01,BOSTON,1.8,1.1
110,2017-02,BOSTON,1.4,1.1
111,2017-03,BOSTON,1.5,1.0
112,2017-04,BOSTON,1.3,1.0
113,2017-05,BOSTON,1.6,1.0
114,2017-06,BOSTON,1.5,0.9
115,2017-07,BOSTON,1.6,0.9
116,2017-08,BOSTON,1.7,1.0
117,2017-09,BOSTON,1.4,1.0
118,2017-10,BOSTON,1.7,0.9
119,2017-11,BOSTON,1.5,0.9
120,2017-12,BOSTON,1.7,1.0
121,2018-01,BOSTON,1.9,0.9
122,2018-02,BOSTON,1.4,0.9
123,2018-03,BOSTON,1.5,0.9
124,2018-04,BOSTON,1.3,0.8
125,2018-05,BOSTON,1.5,0.9
126,2018-06,BOSTON,1.2,0.8
127,2018-07,BOSTON,1.4,0.7
128,2018-08,BOSTON,1.5,0.7
129,2018-09,BOSTON,1.3,0.7
130,2018-10,BOSTON,1.5,0.7
131,2018-11,BOSTON,1.3,0.7
132,2018-12,BOSTON,1.6,0.7
133,2019-01,BOSTON,1.6,0.7
134,2019-02,BOSTON,1.3,0.6
135,2019-03,BOSTON,1.4,0.5
1,2008-01,PHILADELPHIA,3.8,1.4
2,2008-02,PHILADELPHIA,3.3,1.5
3,2008-03,PHILADELPHIA,3.3,1.5
4,2008-04,PHILADELPHIA,3.3,1.4
5,2008-05,PHILADELPHIA,3.4,1.4
6,2008-06,PHILADELPHIA,3.4,1.5
7,2008-07,PHILADELPHIA,3.6,1.7
8,2008-08,PHILADELPHIA,3.8,1.7
9,2008-09,PHILADELPHIA,3.8,1.8
10,2008-10,PHILADELPHIA,3.9,2.0
11,2008-11,PHILADELPHIA,4.0,2.1
12,2008-12,PHILADELPHIA,4.3,2.3
13,2009-01,PHILADELPHIA,4.3,2.5
14,2009-02,PHILADELPHIA,3.9,2.6
15,2009-03,PHILADELPHIA,3.8,2.7
16,2009-04,PHILADELPHIA,3.8,2.9
17,2009-05,PHILADELPHIA,4.1,2.9
18,2009-06,PHILADELPHIA,4.0,3.0
19,2009-07,PHILADELPHIA,4.1,3.2
20,2009-08,PHILADELPHIA,4.1,3.3
21,2009-09,PHILADELPHIA,4.1,3.7
22,2009-10,PHILADELPHIA,4.1,3.9
23,2009-11,PHILADELPHIA,4.1,3.9
24,2009-12,PHILADELPHIA,4.2,4.0
25,2010-01,PHILADELPHIA,4.3,4.1
26,2010-02,PHILADELPHIA,4.0,3.9
27,2010-03,PHILADELPHIA,3.6,3.8
28,2010-04,PHILADELPHIA,3.6,3.7
29,2010-05,PHILADELPHIA,3.7,3.6
30,2010-06,PHILADELPHIA,3.8,3.6
31,2010-07,PHILADELPHIA,4.0,3.6
32,2010-08,PHILADELPHIA,4.0,3.5
33,2010-09,PHILADELPHIA,4.2,3.5
34,2010-10,PHILADELPHIA,4.1,3.5
35,2010-11,PHILADELPHIA,4.1,3.5
36,2010-12,PHILADELPHIA,4.3,3.5
37,2011-01,PHILADELPHIA,4.4,3.6
38,2011-02,PHILADELPHIA,4.0,3.7
39,2011-03,PHILADELPHIA,3.5,3.6
40,2011-04,PHILADELPHIA,3.4,3.6
41,2011-05,PHILADELPHIA,3.6,3.7
42,2011-06,PHILADELPHIA,3.8,3.7
43,2011-07,PHILADELPHIA,3.9,3.8
44,2011-08,PHILADELPHIA,4.0,3.9
45,2011-09,PHILADELPHIA,4.0,4.0
46,2011-10,PHILADELPHIA,4.0,4.1
47,2011-11,PHILADELPHIA,3.9,4.2
48,2011-12,PHILADELPHIA,4.2,4.3
49,2012-01,PHILADELPHIA,4.4,4.4
50,2012-02,PHILADELPHIA,3.9,4.4
51,2012-03,PHILADELPHIA,3.6,4.3
52,2012-04,PHILADELPHIA,3.6,4.3
53,2012-05,PHILADELPHIA,3.8,4.3
54,2012-06,PHILADELPHIA,3.8,4.4
55,2012-07,PHILADELPHIA,4.0,4.4
56,2012-08,PHILADELPHIA,4.0,4.3
57,2012-09,PHILADELPHIA,4.1,4.4
58,2012-10,PHILADELPHIA,4.0,4.3
59,2012-11,PHILADELPHIA,3.7,4.2
60,2012-12,PHILADELPHIA,4.0,4.4
61,2013-01,PHILADELPHIA,4.1,4.4
62,2013-02,PHILADELPHIA,3.7,4.4
63,2013-03,PHILADELPHIA,3.7,4.3
64,2013-04,PHILADELPHIA,3.5,4.0
65,2013-05,PHILADELPHIA,3.4,4.0
66,2013-06,PHILADELPHIA,3.6,3.9
67,2013-07,PHILADELPHIA,3.6,3.9
68,2013-08,PHILADELPHIA,3.6,3.9
69,2013-09,PHILADELPHIA,3.2,3.9
70,2013-10,PHILADELPHIA,3.5,3.8
71,2013-11,PHILADELPHIA,3.3,3.8
72,2013-12,PHILADELPHIA,3.8,3.7
73,2014-01,PHILADELPHIA,3.8,3.7
74,2014-02,PHILADELPHIA,3.2,3.5
75,2014-03,PHILADELPHIA,3.1,3.4
76,2014-04,PHILADELPHIA,2.8,3.4
77,2014-05,PHILADELPHIA,3.2,3.4
78,2014-06,PHILADELPHIA,2.8,3.3
79,2014-07,PHILADELPHIA,3.2,3.3
80,2014-08,PHILADELPHIA,3.4,3.2
81,2014-09,PHILADELPHIA,3.2,3.2
82,2014-10,PHILADELPHIA,3.2,3.2
83,2014-11,PHILADELPHIA,3.1,3.2
84,2014-12,PHILADELPHIA,3.4,3.3
85,2015-01,PHILADELPHIA,3.5,3.3
86,2015-02,PHILADELPHIA,2.8,3.2
87,2015-03,PHILADELPHIA,2.7,3.0
88,2015-04,PHILADELPHIA,2.6,2.9
89,2015-05,PHILADELPHIA,2.9,2.9
90,2015-06,PHILADELPHIA,2.7,2.9
91,2015-07,PHILADELPHIA,2.8,2.8
92,2015-08,PHILADELPHIA,3.0,2.7
93,2015-09,PHILADELPHIA,3.0,2.6
94,2015-10,PHILADELPHIA,3.2,2.6
95,2015-11,PHILADELPHIA,3.0,2.6
96,2015-12,PHILADELPHIA,3.4,2.7
97,2016-01,PHILADELPHIA,3.3,2.8
98,2016-02,PHILADELPHIA,2.9,3.0
99,2016-03,PHILADELPHIA,2.6,2.6
100,2016-04,PHILADELPHIA,2.5,2.4
101,2016-05,PHILADELPHIA,2.7,2.4
102,2016-06,PHILADELPHIA,2.6,2.3
103,2016-07,PHILADELPHIA,2.9,2.4
104,2016-08,PHILADELPHIA,3.0,2.5
105,2016-09,PHILADELPHIA,2.9,2.3
106,2016-10,PHILADELPHIA,3.1,2.3
107,2016-11,PHILADELPHIA,2.8,2.3
108,2016-12,PHILADELPHIA,3.1,2.3
109,2017-01,PHILADELPHIA,3.2,2.4
110,2017-02,PHILADELPHIA,2.8,2.3
111,2017-03,PHILADELPHIA,2.7,2.2
112,2017-04,PHILADELPHIA,2.6,2.1
113,2017-05,PHILADELPHIA,2.9,2.0
114,2017-06,PHILADELPHIA,2.7,2.0
115,2017-07,PHILADELPHIA,3.1,1.9
116,2017-08,PHILADELPHIA,3.0,1.9
117,2017-09,PHILADELPHIA,2.8,1.9
118,2017-10,PHILADELPHIA,3.1,1.8
119,2017-11,PHILADELPHIA,2.9,1.8
120,2017-12,PHILADELPHIA,3.2,1.9
121,2018-01,PHILADELPHIA,3.5,1.8
122,2018-02,PHILADELPHIA,2.8,1.7
123,2018-03,PHILADELPHIA,2.9,1.6
124,2018-04,PHILADELPHIA,2.4,1.4
125,2018-05,PHILADELPHIA,2.8,1.4
126,2018-06,PHILADELPHIA,2.5,1.4
127,2018-07,PHILADELPHIA,2.9,1.4
128,2018-08,PHILADELPHIA,3.0,1.4
129,2018-09,PHILADELPHIA,2.6,1.5
130,2018-10,PHILADELPHIA,2.9,1.4
131,2018-11,PHILADELPHIA,2.6,1.4
132,2018-12,PHILADELPHIA,3.1,1.5
133,2019-01,PHILADELPHIA,3.2,1.4
134,2019-02,PHILADELPHIA,2.5,1.3
135,2019-03,PHILADELPHIA,2.5,1.2
1,2008-01,NEW YORK,2.9,1.3
2,2008-02,NEW YORK,2.7,1.4
3,2008-03,NEW YORK,2.7,1.4
4,2008-04,NEW YORK,2.6,1.4
5,2008-05,NEW YORK,2.7,1.5
6,2008-06,NEW YORK,2.7,1.5
7,2008-07,NEW YORK,2.8,1.7
8,2008-08,NEW YORK,3.1,1.7
9,2008-09,NEW YORK,3.2,1.8
10,2008-10,NEW YORK,3.3,2.1
11,2008-11,NEW YORK,3.3,2.3
12,2008-12,NEW YORK,3.6,2.5
13,2009-01,NEW YORK,3.7,2.8
14,2009-02,NEW YORK,3.6,3.1
15,2009-03,NEW YORK,3.5,3.3
16,2009-04,NEW YORK,3.4,3.6
17,2009-05,NEW YORK,3.5,3.7
18,2009-06,NEW YORK,3.4,3.9
19,2009-07,NEW YORK,3.5,4.1
20,2009-08,NEW YORK,3.6,4.3
21,2009-09,NEW YORK,3.6,4.7
22,2009-10,NEW YORK,3.6,4.9
23,2009-11,NEW YORK,3.4,5.0
24,2009-12,NEW YORK,3.5,5.1
25,2010-01,NEW YORK,3.5,5.3
26,2010-02,NEW YORK,3.3,5.4
27,2010-03,NEW YORK,3.1,5.4
28,2010-04,NEW YORK,3.0,5.2
29,2010-05,NEW YORK,3.0,5.2
30,2010-06,NEW YORK,3.0,5.2
31,2010-07,NEW YORK,3.1,5.1
32,2010-08,NEW YORK,3.2,5.1
33,2010-09,NEW YORK,3.2,5.0
34,2010-10,NEW YORK,3.2,5.0
35,2010-11,NEW YORK,3.1,5.1
36,2010-12,NEW YORK,3.3,5.1
37,2011-01,NEW YORK,3.3,5.3
38,2011-02,NEW YORK,3.1,5.6
39,2011-03,NEW YORK,2.9,5.6
40,2011-04,NEW YORK,2.6,5.6
41,2011-05,NEW YORK,2.8,5.5
42,2011-06,NEW YORK,2.7,5.6
43,2011-07,NEW YORK,3.0,5.5
44,2011-08,NEW YORK,3.1,5.6
45,2011-09,NEW YORK,3.0,5.7
46,2011-10,NEW YORK,3.1,5.7
47,2011-11,NEW YORK,3.0,5.9
48,2011-12,NEW YORK,3.1,6.0
49,2012-01,NEW YORK,3.2,6.1
50,2012-02,NEW YORK,3.0,6.1
51,2012-03,NEW YORK,2.9,6.1
52,2012-04,NEW YORK,2.7,6.0
53,2012-05,NEW YORK,2.8,6.0
54,2012-06,NEW YORK,2.9,6.0
55,2012-07,NEW YORK,3.0,6.0
56,2012-08,NEW YORK,3.0,5.9
57,2012-09,NEW YORK,3.1,5.9
58,2012-10,NEW YORK,3.0,5.6
59,2012-11,NEW YORK,2.7,5.3
60,2012-12,NEW YORK,2.7,5.4
61,2013-01,NEW YORK,2.6,5.4
62,2013-02,NEW YORK,2.4,5.3
63,2013-03,NEW YORK,2.6,5.3
64,2013-04,NEW YORK,2.4,5.2
65,2013-05,NEW YORK,2.5,5.4
66,2013-06,NEW YORK,2.4,5.3
67,2013-07,NEW YORK,2.5,4.9
68,2013-08,NEW YORK,2.5,4.8
69,2013-09,NEW YORK,2.3,4.8
70,2013-10,NEW YORK,2.6,4.6
71,2013-11,NEW YORK,2.4,4.7
72,2013-12,NEW YORK,2.7,4.7
73,2014-01,NEW YORK,2.7,4.6
74,2014-02,NEW YORK,2.3,4.5
75,2014-03,NEW YORK,2.4,4.3
76,2014-04,NEW YORK,2.1,4.2
77,2014-05,NEW YORK,2.3,4.4
78,2014-06,NEW YORK,2.0,4.3
79,2014-07,NEW YORK,2.2,4.3
80,2014-08,NEW YORK,2.5,4.3
81,2014-09,NEW YORK,2.3,4.2
82,2014-10,NEW YORK,2.3,4.0
83,2014-11,NEW YORK,2.3,4.0
84,2014-12,NEW YORK,2.4,4.0
85,2015-01,NEW YORK,2.5,4.0
86,2015-02,NEW YORK,2.1,3.9
87,2015-03,NEW YORK,2.0,3.8
88,2015-04,NEW YORK,1.9,3.7
89,2015-05,NEW YORK,2.0,3.7
90,2015-06,NEW YORK,2.0,3.6
91,2015-07,NEW YORK,2.1,3.5
92,2015-08,NEW YORK,2.3,3.3
93,2015-09,NEW YORK,2.2,3.3
94,2015-10,NEW YORK,2.3,3.2
95,2015-11,NEW YORK,2.2,3.1
96,2015-12,NEW YORK,2.3,3.0
97,2016-01,NEW YORK,2.3,3.0
98,2016-02,NEW YORK,2.1,3.4
99,2016-03,NEW YORK,2.0,3.0
100,2016-04,NEW YORK,1.8,2.7
101,2016-05,NEW YORK,1.9,2.7
102,2016-06,NEW YORK,1.9,2.6
103,2016-07,NEW YORK,2.1,2.7
104,2016-08,NEW YORK,2.2,2.6
105,2016-09,NEW YORK,2.1,2.5
106,2016-10,NEW YORK,2.2,2.5
107,2016-11,NEW YORK,2.0,2.5
108,2016-12,NEW YORK,2.2,2.4
109,2017-01,NEW YORK,2.2,2.5
110,2017-02,NEW YORK,1.9,2.3
111,2017-03,NEW YORK,2.0,2.3
112,2017-04,NEW YORK,1.8,2.2
113,2017-05,NEW YORK,1.9,2.2
114,2017-06,NEW YORK,1.8,2.1
115,2017-07,NEW YORK,2.1,2.0
116,2017-08,NEW YORK,2.1,2.0
117,2017-09,NEW YORK,1.9,2.0
118,2017-10,NEW YORK,2.0,1.9
119,2017-11,NEW YORK,2.0,1.9
120,2017-12,NEW YORK,2.1,1.9
121,2018-01,NEW YORK,2.3,1.8
122,2018-02,NEW YORK,2.0,1.7
123,2018-03,NEW YORK,1.9,1.7
124,2018-04,NEW YORK,1.8,1.6
125,2018-05,NEW YORK,1.8,1.5
126,2018-06,NEW YORK,1.7,1.5
127,2018-07,NEW YORK,1.9,1.4
128,2018-08,NEW YORK,2.0,1.4
129,2018-09,NEW YORK,2.0,1.4
130,2018-10,NEW YORK,2.0,1.3
131,2018-11,NEW YORK,1.8,1.3
132,2018-12,NEW YORK,2.1,1.3
133,2019-01,NEW YORK,2.1,1.3
134,2019-02,NEW YORK,1.8,1.2
135,2019-03,NEW YORK,1.8,1.1
1,2008-01,WASHINGTON,3.1,1.5
2,2008-02,WASHINGTON,3.0,1.6
3,2008-03,WASHINGTON,2.8,1.6
4,2008-04,WASHINGTON,2.8,1.6
5,2008-05,WASHINGTON,3.0,1.7
6,2008-06,WASHINGTON,3.0,1.9
7,2008-07,WASHINGTON,3.2,2.2
8,2008-08,WASHINGTON,3.3,2.4
9,2008-09,WASHINGTON,3.5,2.5
10,2008-10,WASHINGTON,3.8,2.8
11,2008-11,WASHINGTON,3.9,3.0
12,2008-12,WASHINGTON,4.0,3.3
13,2009-01,WASHINGTON,4.1,3.6
14,2009-02,WASHINGTON,3.9,3.8
15,2009-03,WASHINGTON,3.8,4.0
16,2009-04,WASHINGTON,3.5,4.2
17,2009-05,WASHINGTON,3.6,4.5
18,2009-06,WASHINGTON,3.6,4.6
19,2009-07,WASHINGTON,3.8,4.7
20,2009-08,WASHINGTON,3.8,4.7
21,2009-09,WASHINGTON,3.9,5.0
22,2009-10,WASHINGTON,3.9,5.2
23,2009-11,WASHINGTON,3.7,5.3
24,2009-12,WASHINGTON,3.8,5.4
25,2010-01,WASHINGTON,3.8,5.5
26,2010-02,WASHINGTON,3.7,5.7
27,2010-03,WASHINGTON,3.5,5.6
28,2010-04,WASHINGTON,3.1,5.3
29,2010-05,WASHINGTON,3.2,5.2
30,2010-06,WASHINGTON,3.4,5.0
31,2010-07,WASHINGTON,3.4,4.8
32,2010-08,WASHINGTON,3.4,4.9
33,2010-09,WASHINGTON,3.4,4.9
34,2010-10,WASHINGTON,3.5,4.9
35,2010-11,WASHINGTON,3.3,5.0
36,2010-12,WASHINGTON,3.4,5.0
37,2011-01,WASHINGTON,3.5,5.0
38,2011-02,WASHINGTON,3.3,5.1
39,2011-03,WASHINGTON,3.0,5.0
40,2011-04,WASHINGTON,2.8,4.8
41,2011-05,WASHINGTON,2.8,4.8
42,2011-06,WASHINGTON,2.9,4.8
43,2011-07,WASHINGTON,3.1,4.7
44,2011-08,WASHINGTON,3.2,4.8
45,2011-09,WASHINGTON,2.9,4.7
46,2011-10,WASHINGTON,3.1,4.7
