,Month,BOSTON,PHILADELPHIA,NEW YORK,WASHINGTON,CHICAGO,LOS ANGELES,ATLANTA
1,2008-01,2.9,3.8,2.9,3.1,3.3,2.8,5.0
2,2008-02,2.6,3.3,2.7,3.0,3.0,2.7,4.6
3,2008-03,2.6,3.3,2.7,2.8,2.9,2.7,4.4
4,2008-04,2.5,3.3,2.6,2.8,2.8,2.6,4.5
5,2008-05,2.5,3.4,2.7,3.0,3.0,2.7,4.6
6,2008-06,2.5,3.4,2.7,3.0,3.1,2.8,4.5
7,2008-07,2.8,3.6,2.8,3.2,3.3,3.0,4.6
8,2008-08,2.9,3.8,3.1,3.3,3.5,3.1,4.9
9,2008-09,2.9,3.8,3.2,3.5,3.5,3.3,5.1
10,2008-10,3.1,3.9,3.3,3.8,3.6,3.4,5.3
11,2008-11,3.0,4.0,3.3,3.9,3.7,3.7,5.4
12,2008-12,3.3,4.3,3.6,4.0,4.0,3.9,5.7
13,2009-01,3.3,4.3,3.7,4.1,4.1,3.9,5.7
14,2009-02,3.2,3.9,3.6,3.9,3.9,3.9,5.4
15,2009-03,3.0,3.8,3.5,3.8,3.7,3.8,5.3
16,2009-04,2.9,3.8,3.4,3.5,3.6,3.5,5.2
17,2009-05,3.1,4.1,3.5,3.6,3.7,3.4,5.3
18,2009-06,2.9,4.0,3.4,3.6,3.8,3.5,5.3
19,2009-07,3.0,4.1,3.5,3.8,4.0,3.6,5.5
20,2009-08,3.0,4.1,3.6,3.8,4.0,3.6,5.4
21,2009-09,3.0,4.1,3.6,3.9,3.9,3.6,5.5
22,2009-10,3.1,4.1,3.6,3.9,3.8,3.6,5.6
23,2009-11,2.9,4.1,3.4,3.7,3.8,3.5,5.4
24,2009-12,3.1,4.2,3.5,3.8,3.8,3.4,5.3
25,2010-01,3.2,4.3,3.5,3.8,3.8,3.4,5.5
26,2010-02,3.0,4.0,3.3,3.7,3.7,3.4,5.2
27,2010-03,2.7,3.6,3.1,3.5,3.3,3.2,4.8
28,2010-04,2.6,3.6,3.0,3.1,3.2,3.1,4.7
29,2010-05,2.8,3.7,3.0,3.2,3.2,3.0,4.7
30,2010-06,2.7,3.8,3.0,3.4,3.4,3.0,5.0
31,2010-07,2.9,4.0,3.1,3.4,3.5,3.1,5.3
32,2010-08,2.9,4.0,3.2,3.4,3.5,3.1,5.2
33,2010-09,2.8,4.2,3.2,3.4,3.4,3.0,5.2
34,2010-10,2.8,4.1,3.2,3.5,3.4,2.9,5.3
35,2010-11,2.7,4.1,3.1,3.3,3.3,2.9,5.0
36,2010-12,2.9,4.3,3.3,3.4,3.5,3.1,5.2
37,2011-01,3.0,4.4,3.3,3.5,3.6,3.0,5.2
38,2011-02,2.7,4.0,3.1,3.3,3.3,2.9,5.0
39,2011-03,2.6,3.5,2.9,3.0,3.0,2.7,4.5
40,2011-04,2.4,3.4,2.6,2.8,2.9,2.6,4.2
41,2011-05,2.4,3.6,2.8,2.8,3.1,2.7,4.5
42,2011-06,2.5,3.8,2.7,2.9,3.1,2.6,4.4
43,2011-07,2.7,3.9,3.0,3.1,3.3,2.7,4.8
44,2011-08,2.7,4.0,3.1,3.2,3.3,2.8,4.8
45,2011-09,2.5,4.0,3.0,2.9,3.2,2.7,4.7
46,2011-10,2.5,4.0,3.1,3.1,3.3,2.6,4.8
47,2011-11,2.5,3.9,3.0,3.1,3.2,2.6,4.7
48,2011-12,2.6,4.2,3.1,3.1,3.3,2.8,4.8
49,2012-01,2.7,4.4,3.2,3.3,3.5,2.9,5.2
50,2012-02,2.4,3.9,3.0,3.0,3.1,2.6,4.7
51,2012-03,2.5,3.6,2.9,3.0,2.8,2.6,4.4
52,2012-04,2.5,3.6,2.7,2.9,2.8,2.5,4.2
53,2012-05,2.6,3.8,2.8,2.9,2.9,2.5,4.4
54,2012-06,2.5,3.8,2.9,2.9,3.0,2.5,4.3
55,2012-07,2.7,4.0,3.0,3.0,3.2,2.7,4.5
56,2012-08,2.7,4.0,3.0,3.1,3.2,2.7,4.5
57,2012-09,2.7,4.1,3.1,3.0,3.2,2.6,4.6
58,2012-10,2.8,4.0,3.0,3.0,3.2,2.7,4.5
59,2012-11,2.6,3.7,2.7,2.8,3.0,2.6,4.4
60,2012-12,2.8,4.0,2.7,3.0,3.1,2.7,4.6
61,2013-01,2.8,4.1,2.6,3.2,3.1,2.7,4.6
62,2013-02,2.4,3.7,2.4,2.9,2.8,2.5,4.3
63,2013-03,2.6,3.7,2.6,2.9,2.7,2.5,4.2
64,2013-04,2.3,3.5,2.4,2.6,2.5,2.2,3.8
65,2013-05,2.4,3.4,2.5,2.6,2.5,2.1,3.6
66,2013-06,2.3,3.6,2.4,2.6,2.5,2.1,3.5
67,2013-07,2.4,3.6,2.5,2.6,2.6,2.0,3.6
68,2013-08,2.4,3.6,2.5,2.5,2.5,2.1,3.7
69,2013-09,2.0,3.2,2.3,2.2,2.3,1.8,3.3
70,2013-10,2.4,3.5,2.6,2.4,2.6,2.0,3.7
71,2013-11,2.1,3.3,2.4,2.3,2.4,1.8,3.4
72,2013-12,2.4,3.8,2.7,2.6,2.5,2.1,3.7
73,2014-01,2.4,3.8,2.7,2.6,2.5,2.0,3.8
74,2014-02,1.9,3.2,2.3,2.2,2.1,1.7,3.2
75,2014-03,2.1,3.1,2.4,2.3,2.1,1.8,3.2
76,2014-04,1.8,2.8,2.1,1.9,1.9,1.4,2.9
77,2014-05,2.1,3.2,2.3,2.1,2.2,1.7,3.1
78,2014-06,1.7,2.8,2.0,1.9,1.9,1.4,2.7
79,2014-07,2.0,3.2,2.2,2.1,2.2,1.7,3.1
80,2014-08,2.1,3.4,2.5,2.3,2.4,1.9,3.3
81,2014-09,1.9,3.2,2.3,2.1,2.2,1.6,2.9
82,2014-10,1.9,3.2,2.3,2.2,2.2,1.7,3.1
83,2014-11,1.8,3.1,2.3,2.1,2.1,1.6,3.0
84,2014-12,1.9,3.4,2.4,2.3,2.1,1.8,3.3
85,2015-01,2.1,3.5,2.5,2.4,2.2,1.9,3.4
86,2015-02,1.8,2.8,2.1,2.0,2.0,1.5,2.8
87,2015-03,1.6,2.7,2.0,1.9,1.8,1.5,2.7
88,2015-04,1.4,2.6,1.9,1.8,1.8,1.4,2.5
89,2015-05,1.7,2.9,2.0,1.9,1.9,1.5,2.8
90,2015-06,1.5,2.7,2.0,1.8,1.8,1.4,2.6
91,2015-07,1.6,2.8,2.1,1.9,1.9,1.5,2.8
92,2015-08,1.9,3.0,2.3,2.1,2.1,1.6,3.1
93,2015-09,1.6,3.0,2.2,2.0,2.0,1.5,2.8
94,2015-10,1.8,3.2,2.3,2.1,2.1,1.6,3.1
95,2015-11,1.6,3.0,2.2,2.1,1.9,1.5,2.9
96,2015-12,1.9,3.4,2.3,2.2,2.1,1.7,3.2
97,2016-01,2.0,3.3,2.3,2.2,2.2,1.8,3.4
98,2016-02,1.7,2.9,2.1,1.9,1.9,1.6,2.8
99,2016-03,1.6,2.6,2.0,1.8,1.7,1.4,2.5
100,2016-04,1.4,2.5,1.8,1.6,1.6,1.3,2.4
101,2016-05,1.5,2.7,1.9,1.8,1.7,1.4,2.6
102,2016-06,1.5,2.6,1.9,1.8,1.8,1.3,2.6
103,2016-07,1.6,2.9,2.1,2.1,2.0,1.4,2.7
104,2016-08,1.8,3.0,2.2,2.3,2.0,1.5,2.9
105,2016-09,1.6,2.9,2.1,2.1,2.0,1.3,2.6
106,2016-10,1.7,3.1,2.2,2.1,2.1,1.5,2.9
107,2016-11,1.5,2.8,2.0,2.0,1.9,1.4,2.8
108,2016-12,1.7,3.1,2.2,2.1,2.1,1.4,2.9
109,2017-01,1.8,3.2,2.2,2.1,2.1,1.5,2.9
110,2017-02,1.4,2.8,1.9,1.9,1.8,1.4,2.6
111,2017-03,1.5,2.7,2.0,1.9,1.8,1.3,2.7
112,2017-04,1.3,2.6,1.8,1.8,1.7,1.2,2.3
113,2017-05,1.6,2.9,1.9,1.9,1.9,1.3,2.6
114,2017-06,1.5,2.7,1.8,1.8,1.7,1.1,2.4
115,2017-07,1.6,3.1,2.1,2.0,2.0,1.4,2.6
116,2017-08,1.7,3.0,2.1,2.1,2.0,1.4,2.7
117,2017-09,1.4,2.8,1.9,2.0,1.9,1.3,2.2
118,2017-10,1.7,3.1,2.0,2.0,2.0,1.3,2.3
119,2017-11,1.5,2.9,2.0,2.0,1.9,1.2,2.1
120,2017-12,1.7,3.2,2.1,2.1,2.0,1.3,2.5
121,2018-01,1.9,3.5,2.3,2.3,2.2,1.3,2.9
122,2018-02,1.4,2.8,2.0,1.9,1.8,0.9,2.4
123,2018-03,1.5,2.9,1.9,1.9,1.8,1.0,2.4
124,2018-04,1.3,2.4,1.8,1.6,1.6,1.0,2.1
125,2018-05,1.5,2.8,1.8,1.8,1.7,1.1,2.4
126,2018-06,1.2,2.5,1.7,1.9,1.6,1.1,2.3
127,2018-07,1.4,2.9,1.9,2.0,1.9,1.2,2.5
128,2018-08,1.5,3.0,2.0,2.0,2.0,1.3,2.7
129,2018-09,1.3,2.6,2.0,2.0,1.9,1.2,2.5
130,2018-10,1.5,2.9,2.0,2.0,1.9,1.1,2.7
131,2018-11,1.3,2.6,1.8,1.8,1.8,1.1,2.4
132,2018-12,1.6,3.1,2.1,2.0,1.9,1.0,2.7
133,2019-01,1.6,3.2,2.1,2.1,2.1,1.1,2.9
134,2019-02,1.3,2.5,1.8,1.7,1.7,1.0,2.3
135,2019-03,1.4,2.5,1.8,1.7,1.7,1.1,2.3
136,score,30-89,30-89,30-89,30-89,30-89,30-89,30-89
