month,date,vol,vol_unadj
60,2005-01,10407340535.7815,7449143496
61,2005-02,10916397711.9645,6330406680
62,2005-03,11484898411.54,6825925392
63,2005-04,11767904954.5421,6440963640
64,2005-05,11926484014.3601,7859544784
65,2005-06,14368825928.9316,12166102992
66,2005-07,14777739136.9451,14712799848
67,2005-08,11556334080.1975,31354665828
68,2005-09,12115373877.1754,23450482176
69,2005-10,14617361548.2227,15126007708
70,2005-11,15001837247.6653,11850822540
71,2005-12,15014415689.7572,9132819876
72,2006-01,12428250096.3715,9402187248
73,2006-02,13614497683.3746,8017160872
74,2006-03,14289089103.9305,8473513744
75,2006-04,15333454413.2644,8062519364
76,2006-05,18572625351.5677,12605281536
77,2006-06,19966880469.7931,16681941012
78,2006-07,18271225609.8084,17716052388
79,2006-08,12030792881.0427,32830937760
80,2006-09,12122693037.5353,22781341884
81,2006-10,12772878867.9735,13795786272
82,2006-11,13728581334.7476,10694034048
83,2006-12,13079711673.9064,7621736400
84,2007-01,12359463542.6657,9974908452
85,2007-02,11737359181.1914,7053811032
86,2007-03,12830422668.848,7332761760
87,2007-04,12703729903.0139,6851396952
88,2007-05,11121201937.8881,7500035472
89,2007-06,11416963163.6965,8934074136
90,2007-07,10827680972.3869,10316401656
91,2007-08,11074396525.0812,30701044968
92,2007-09,11772767840.0503,21800323308
93,2007-10,9573459470.74071,10767935160
94,2007-11,10382389568.2366,7837426224
95,2007-12,9903904201.03828,5627732784
96,2008-01,10515667849.3698,8772616920
97,2008-02,10634864275.0937,6786991632
98,2008-03,9493911622.10487,5232217176
99,2008-04,9055979954.42749,5046196320
100,2008-05,8915289473.81872,5827834104
101,2008-06,7391780238.6025,5569370064
102,2008-07,9937062201.95958,9237322680
103,2008-08,11973285699.1147,31585770144
104,2008-09,12451537412.7047,25219088192
105,2008-10,13741066505.5833,15488480640
106,2008-11,12154619804.3481,8279725512
107,2008-12,13393358335.6492,7900552836
108,2009-01,14167878718.2947,11737666656
109,2009-02,13736935532.4034,8466262320
110,2009-03,13237868942.4833,7494466848
111,2009-04,13046638597.2767,7250579088
112,2009-05,13305279008.6277,8538005088
113,2009-06,10161898031.3102,7652546532
114,2009-07,12025307008.067,10658180544
115,2009-08,12931336765.2583,34778640120
116,2009-09,12891808542.898,26537935544
117,2009-10,14402813469.2945,15714804248
118,2009-11,14438684843.1307,9725454312
119,2009-12,14018940117.4091,8054524440
120,2010-01,14107591663.4702,11460634884
121,2010-02,14228362706.5907,8770437600
122,2010-03,14217328271.8582,8269086792
123,2010-04,13493693756.3064,7496428368
124,2010-05,11978266411.3233,7912906368
125,2010-06,11833891080.8667,8739740524
126,2010-07,10534224377.9144,8813676080
127,2010-08,11556490165.0911,32654255832
128,2010-09,12342273869.2704,25542966396
129,2010-10,11822726022.5574,12338322916
130,2010-11,11082139451.8714,7519699488
131,2010-12,10792773250.4017,6114709616
132,2011-01,11568364841.7538,9342320232
133,2011-02,11726514214.1317,7178279376
134,2011-03,11311909309.5948,6586875480
135,2011-04,15995126134.7035,8631655344
136,2011-05,13753511368.0623,9663502128
137,2011-06,12472473242.0863,9114792720
138,2011-07,13238482167.5647,10703781456
139,2011-08,12477113046.1263,36972333956
140,2011-09,11655650147.2578,24115203612
141,2011-10,10258833668.6773,10422931512
142,2011-11,11784187253.6333,7831572480
143,2011-12,11508699084.1195,6299984052
144,2012-01,11510278467.2037,9490229844
145,2012-02,10728874885.7875,6819361220
146,2012-03,11251067892.2966,6411460488
147,2012-04,11641401212.0971,6352111128
148,2012-05,12770391029.1034,9456326468
149,2012-06,14585937143.4485,10268561328
150,2012-07,16111780903.4699,13591883676
151,2012-08,11986368496.8635,35827213884
152,2012-09,11631947675.6117,22473097864
153,2012-10,12022315813.7363,12540929196
154,2012-11,10740081615.3953,7068800100
155,2012-12,11337096053.4966,6078180768
156,2013-01,11154944519.579,9411036624
157,2013-02,11080080767.5225,6728296432
158,2013-03,9855625468.0504,5554606908
159,2013-04,9123117418.53368,5197933620
160,2013-05,9498561196.65207,7080237824
161,2013-06,9260696074.4491,6336915360
162,2013-07,8901986132.75728,7847366496
163,2013-08,10210246554.7955,29524227612
164,2013-09,10216278752.7557,20304969056
165,2013-10,9473893018.88319,9553978316
166,2013-11,10396023519.0372,6548920368
167,2013-12,9402239044.86975,5360137248
168,2014-01,9438159522.24882,7958039640
169,2014-02,10011024566.6146,6140167896
170,2014-03,10653400066.5467,6150947736
171,2014-04,11032404366.8063,6322911384
172,2014-05,9507943209.10621,6876642204
173,2014-06,10121843859.6075,7241871828
174,2014-07,10638305940.4607,9408436252
175,2014-08,11117378455.0815,30922283144
176,2014-09,11159124696.1814,22730734564
177,2014-10,10950177839.1879,10742638408
178,2014-11,11357071284.6333,6960202440
179,2014-12,14245911418.8887,8662756092
180,2015-01,11733364706.6996,9600699600
181,2015-02,11837215038.8922,7331360136
182,2015-03,12019442988.8631,7369389120
183,2015-04,11835194000.8273,6864367752
184,2015-05,11119760586.3258,7771857000
185,2015-06,11517159733.1957,8630862612
186,2015-07,11834405659.8436,10510058368
187,2015-08,10986955735.8103,30214215468
188,2015-09,11492007418.0579,23164471080
189,2015-10,11758109185.709,10914956556
190,2015-11,10798655053.3939,6911926392
191,2015-12,13039171751.3192,8184076860
192,2016-01,11404853913.5663,9147319152
193,2016-02,11240513229.2606,7355659224
194,2016-03,11362184412.0981,7324588896
195,2016-04,10916249757.9916,6185228832
196,2016-05,11703539581.608,8483049792
197,2016-06,11496937509.4445,8734907248
198,2016-07,11531266279.4831,9645438876
199,2016-08,11412820253.2316,33171914364
200,2016-09,11482367114.4991,22800335892
201,2016-10,11692339154.1207,10337959200
202,2016-11,12137144620.0221,8146921368
203,2016-12,12605986919.9069,7858368768
204,2017-01,12351593318.9066,10426341432
205,2017-02,12722317795.1324,7992170880
206,2017-03,12509011080.2031,8128418568
207,2017-04,12388258203.7622,6829481160
208,2017-05,12747516848.3499,9625617624
209,2017-06,12745337772.3068,9813884124
210,2017-07,11814606928.6527,9972371892
211,2017-08,12103218541.1776,34847662392
212,2017-09,11813706431.8634,22304091216
213,2017-10,11537595366.1601,10439637792
214,2017-11,11707722927.962,7947954504
